scope,prototype_key,prototype_name,prototype_regime_label,row,col,lat,lon,temp_mean,temp_std,region_label,region_label_id,boundary_score,gradient_magnitude,gradient_direction,distance_to_boundary,region_id
global,class_05,prototype_class_05,single_gradient,0,33,39.38888931274414,-9.365615844726562,1.5568846,0.48353514,single_gradient,0,0.16760379,1.383118,2.6337194,,1
global,class_05,prototype_class_05,single_gradient,0,34,39.38888931274414,-9.359859466552734,1.5499291,0.4836012,single_gradient,0,0.18018939,1.4869783,2.6523373,,1
global,class_05,prototype_class_05,single_gradient,0,35,39.38888931274414,-9.354104042053223,1.5417849,0.48369718,single_gradient,0,0.19479601,1.6075165,2.6719513,,1
global,class_05,prototype_class_05,single_gradient,0,36,39.38888931274414,-9.348348617553711,1.5334246,0.48393452,single_gradient,0,0.19842967,1.6375027,2.6613064,,1
global,class_05,prototype_class_05,single_gradient,0,37,39.38888931274414,-9.342592239379883,1.5250645,0.48433647,single_gradient,0,0.20005159,1.6508874,2.6456194,,1
global,class_05,prototype_class_05,single_gradient,0,38,39.38888931274414,-9.336836814880371,1.5167043,0.48490286,single_gradient,0,0.20181642,1.6654512,2.6304405,,1
global,class_05,prototype_class_05,single_gradient,0,39,39.38888931274414,-9.33108139038086,1.5083442,0.48563302,single_gradient,0,0.20352364,1.6795396,2.6152444,,1
global,class_05,prototype_class_05,single_gradient,0,40,39.38888931274414,-9.325325012207031,1.4999839,0.4865261,single_gradient,0,0.20541911,1.6951816,2.600709,,1
global,class_05,prototype_class_05,single_gradient,0,41,39.38888931274414,-9.31956958770752,1.4916238,0.48758113,single_gradient,0,0.20729902,1.7106954,2.5862687,,1
global,class_05,prototype_class_05,single_gradient,0,42,39.38888931274414,-9.313814163208008,1.4832636,0.4887974,single_gradient,0,0.21316484,1.7591017,2.5839014,,1
global,class_05,prototype_class_05,single_gradient,0,43,39.38888931274414,-9.30805778503418,1.474424,0.49005568,single_gradient,0,0.22925374,1.8918724,2.608906,,1
global,class_05,prototype_class_05,single_gradient,0,44,39.38888931274414,-9.302302360534668,1.4645061,0.49122134,single_gradient,0,0.24103835,1.9891226,2.6193483,,1
global,class_05,prototype_class_05,single_gradient,0,45,39.38888931274414,-9.296546936035156,1.4545879,0.49256524,single_gradient,0,0.2428448,2.00403,2.6054537,,1
global,class_05,prototype_class_05,single_gradient,0,46,39.38888931274414,-9.290790557861328,1.44467,0.49408576,single_gradient,0,0.24486855,2.0207305,2.592195,,1
global,class_05,prototype_class_05,single_gradient,0,47,39.38888931274414,-9.285035133361816,1.4347521,0.4957816,single_gradient,0,0.24680899,2.0367436,2.5788534,,1
global,class_05,prototype_class_05,single_gradient,0,48,39.38888931274414,-9.279279708862305,1.424834,0.49765077,single_gradient,0,0.24890618,2.0540504,2.566009,,1
global,class_05,prototype_class_05,single_gradient,0,49,39.38888931274414,-9.273523330688477,1.4149162,0.49969134,single_gradient,0,0.250973,2.0711062,2.5531936,,1
global,class_05,prototype_class_05,single_gradient,0,50,39.38888931274414,-9.267767906188965,1.4049981,0.5019015,single_gradient,0,0.25322664,2.089704,2.5409667,,1
global,class_05,prototype_class_05,single_gradient,0,51,39.38888931274414,-9.262012481689453,1.3950801,0.5042784,single_gradient,0,0.26862088,2.216742,2.5628715,,1
global,class_05,prototype_class_05,single_gradient,0,52,39.38888931274414,-9.256256103515625,1.3836315,0.50605327,single_gradient,0,0.28833398,2.3794208,2.5904498,,1
global,class_05,prototype_class_05,single_gradient,0,53,39.38888931274414,-9.250500679016113,1.3717239,0.5077854,single_gradient,0,0.29496372,2.4341314,2.587791,,1
global,class_05,prototype_class_05,single_gradient,0,54,39.38888931274414,-9.244745254516602,1.3598163,0.50970584,single_gradient,0,0.2971106,2.4518478,2.575842,,1
global,class_05,prototype_class_05,single_gradient,0,55,39.38888931274414,-9.238988876342773,1.3479085,0.5118129,single_gradient,0,0.29921144,2.4691849,2.5638597,,1
global,class_05,prototype_class_05,single_gradient,0,56,39.38888931274414,-9.233233451843262,1.3360009,0.51410407,single_gradient,0,0.30152503,2.4882772,2.5524316,,1
global,class_05,prototype_class_05,single_gradient,0,57,39.38888931274414,-9.227477073669434,1.3240932,0.51657677,single_gradient,0,0.303795,2.5070097,2.5409932,,1
global,class_05,prototype_class_05,single_gradient,0,58,39.38888931274414,-9.221721649169922,1.3121855,0.5192285,single_gradient,0,0.30623844,2.5271738,2.530026,,1
global,class_05,prototype_class_05,single_gradient,0,59,39.38888931274414,-9.21596622467041,1.300278,0.5220568,single_gradient,0,0.3124086,2.5780919,2.5276988,,1
global,class_05,prototype_class_05,single_gradient,0,60,39.38888931274414,-9.210209846496582,1.2879215,0.52441794,single_gradient,0,0.33174866,2.7376919,2.5537229,,1
global,class_05,prototype_class_05,single_gradient,0,61,39.38888931274414,-9.20445442199707,1.2740698,0.5248132,single_gradient,0,0.34675273,2.8615103,2.5699315,,1
global,class_05,prototype_class_05,single_gradient,0,62,39.38888931274414,-9.198698997497559,1.260218,0.5253762,single_gradient,0,0.34848118,2.8757737,2.5607522,,1
global,class_05,prototype_class_05,single_gradient,0,63,39.38888931274414,-9.19294261932373,1.2463663,0.5261067,single_gradient,0,0.35,2.8959153,2.5529673,,1
