merge_index,no_scaler_merge_distance,with_scaler_merge_distance,no_scaler_norm,with_scaler_norm,norm_abs_diff
1,18.84967707066827,0.5940766883727998,0.0006291349702558298,0.0005702212922165706,5.891367803925924e-05
2,18.962016732100302,0.5972940712646861,0.0006328844673580147,0.0005733094797621752,5.957498759583948e-05
3,25.0429988389865,0.8489478448078549,0.0008358459548465877,0.0008148579915107336,2.09879633358541e-05
4,26.47874376894932,0.9076267512761468,0.0008837659982733633,0.0008711806221190022,1.2585376154361093e-05
5,41.4817506607521,1.4358081635826296,0.0013845128417994056,0.001378152690447623,6.360151351782629e-06
6,43.747219946868434,1.4841818768201631,0.0014601261240107049,0.0014245839371393137,3.554218687139114e-05
7,46.90268974441441,1.4894494908393052,0.001565444448021222,0.001429640027929748,0.00013580442009147398
8,47.59470091434474,1.5435625569704683,0.001588541311971655,0.0014815801614159307,0.00010696115055572439
9,61.93131528138714,2.0288785354934324,0.0020670463505228936,0.001947408075257676,0.00011963827526521756
10,64.91336081389734,2.4073280736544564,0.002166576391295673,0.0023106608150344687,0.00014408442373879584
11,67.33142538397985,2.49354228665592,0.0022472827596685717,0.0023934130605059814,0.00014613030083740963
12,68.09139045064647,2.5571133088502225,0.0022726476822516103,0.002454431361901467,0.00018178367964985682
13,70.40910502159365,2.739261273504416,0.002350004725674034,0.002629265099384454,0.0002792603737104202
14,70.5238755651383,2.897987894989447,0.002353835356948432,0.002781617987460695,0.0004277826305122629
15,76.2944941795944,2.9283381134867943,0.002546438018349616,0.0028107494803290907,0.0002643114619794748
16,76.87063400712965,3.1196707677726705,0.002565667510287365,0.002994399092416974,0.00042873158212960874
17,78.2583621541669,3.378118375149098,0.0026119849248105046,0.0032424686287795706,0.000630483703969066
18,81.499713952812,3.404655036757654,0.0027201696836148086,0.0032679396997199084,0.0005477700161050998
19,83.71526710375727,3.4608990750287383,0.0027941169433208734,0.003321925235274689,0.0005278082919538156
20,84.75312858319718,3.510911655924758,0.0028287570567057945,0.0033699295402133773,0.0005411724835075829
21,85.34913132970523,3.5440107688397022,0.0028486495020135297,0.0034016995445023484,0.0005530500424888187
22,85.35057228046867,3.655917171511234,0.0028486975958091046,0.0035091122990971316,0.000660414703288027
23,87.41163957302999,3.864486376224935,0.0029174886687245443,0.0037093063207716474,0.0007918176520471032
24,87.57801920997488,3.939743326786935,0.0029230418274098667,0.0037815412972277726,0.0008584994698179059
25,90.11333569513528,4.031404015003359,0.003007661646386105,0.003869521312439934,0.0008618596660538293
26,94.98180771515725,4.095900359795342,0.0031701538730711997,0.003931427779719882,0.0007612739066486822
27,95.30857054466368,4.138085765852661,0.00318106005052196,0.003971919213276335,0.0007908591627543747
28,96.25094501501304,4.151896208037328,0.003212513148214317,0.003985175091419261,0.0007726619432049438
29,101.57696054033896,4.158424816934883,0.0033902765447195076,0.003991441541315044,0.0006011649965955365
30,102.41153200223894,4.253790918234323,0.0034181315626007343,0.004082978177208924,0.0006648466146081896
31,104.04678929260392,4.506072296512774,0.003472710616813567,0.0043251290919639595,0.0008524184751503923
32,104.28791906311784,4.506916677535389,0.003480758668269904,0.004325939566515919,0.0008451808982460154
33,105.20419491191328,4.554959456114658,0.003511340687087355,0.0043720531673679935,0.0008607124802806386
34,105.6073238765354,4.596870566476923,0.003524795693675317,0.004412281319686949,0.0008874856260116322
35,106.98213068853649,4.615363205781204,0.0035706818401346502,0.00443003137937952,0.0008593495392448698
