run_id,case_id,display_case,date,run_name,mission_duration_requested_h,mission_duration,trajectory_length,solver_runtime,solver_status,formulation,descriptor_source,target_proxy,crossing_proxy_method,collected_STD,collected_boundary,crossing_count,regions_visited,fraction_path_region_A,fraction_path_region_B,points_in_region_A,points_in_region_B,fraction_path_boundary_core,difference_from_baseline
C01_representative__single_auv_12h__baseline_STD,C01_representative,C01 representative,2024-08-24,baseline_STD,12.0,10.783333333333333,37.356,878.7980364999967,SUCCESS,information_map = STD_norm,Step11Y prototype_based arrays from Step08 predicted-class descriptors,False,near-boundary two-side band proxy,97.4887466430664,125.01278686523438,0,0,0.0,0.0,0,0,0.0,0.0
C01_representative__single_auv_12h__prototype_boundary_alpha050,C01_representative,C01 representative,2024-08-24,prototype_boundary_alpha050,12.0,11.05,38.229,796.6005270000023,SUCCESS,information_map = 0.5*STD_norm + 0.5*prototype_boundary,Step11Y prototype_based arrays from Step08 predicted-class descriptors,False,near-boundary two-side band proxy,96.48713684082031,139.68409729003906,0,0,0.0,0.0,0,0,0.03614457831325301,0.9278688524590164
C01_representative__single_auv_12h__cross_region_targets,C01_representative,C01 representative,2024-08-24,cross_region_targets,12.0,11.033333333333333,37.984,600.3017084999883,SUCCESS,"information_map = normalize(STD_norm + 2.0*Gaussian(target_A,target_B))",Step11Y prototype_based arrays from Step08 predicted-class descriptors,True,near-boundary two-side band proxy,89.25617218017578,104.12918853759766,0,1,0.0,0.14838709677419354,0,23,0.0,0.936026936026936
