run_id,strategy,case_id,vehicle_id,solver_status,collected_STD,collected_boundary,collected_region_A,collected_region_B,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,crossing_count,regions_visited,trajectory_length,mission_duration,sampled_cells
C01_representative__multi_auv_12h__baseline_STD,baseline_STD,C01_representative,1,SUCCESS,86.7200698852539,108.02639770507812,0.0,0.0,0.0,0.0,0.0,0,0,37.143,10.766666666666667,145
C01_representative__multi_auv_12h__baseline_STD,baseline_STD,C01_representative,2,SUCCESS,95.36753845214844,128.03033447265625,0.0,0.0,0.0,0.0,0.025316456332802773,0,0,37.486,10.816666666666666,158
C01_representative__multi_auv_12h__prototype_boundary_alpha050,prototype_boundary_alpha050,C01_representative,1,SUCCESS,94.37675476074219,127.73448181152344,0.0,0.0,0.0,0.0,0.0,0,0,38.744,11.133333333333333,161
C01_representative__multi_auv_12h__prototype_boundary_alpha050,prototype_boundary_alpha050,C01_representative,2,SUCCESS,90.69459533691406,132.94654846191406,0.0,0.0,0.0,0.0,0.03703703731298447,0,0,38.975,11.2,162
C01_representative__multi_auv_12h__vehicle_specific_conservative__AUV1,vehicle_specific_conservative,C01_representative,1,SUCCESS,91.2352294921875,97.349365234375,0.0,31.0,0.0,0.20666666328907013,0.0,0,1,37.041,10.666666666666666,150
C01_representative__multi_auv_12h__vehicle_specific_conservative__AUV2,vehicle_specific_conservative,C01_representative,2,SUCCESS,87.410400390625,82.36158752441406,0.0,62.0,0.0,0.4217686951160431,0.0,0,1,36.983,10.7,147
C01_representative__multi_auv_12h__vehicle_specific_balanced__AUV1,vehicle_specific_balanced,C01_representative,1,SUCCESS,77.879638671875,126.54757690429688,52.0,0.0,0.33986929059028625,0.0,0.006535947788506746,0,1,36.993,10.683333333333334,153
C01_representative__multi_auv_12h__vehicle_specific_balanced__AUV2,vehicle_specific_balanced,C01_representative,2,SUCCESS,88.82560729980469,80.10212707519531,0.0,88.0,0.0,0.5641025900840759,0.0,0,1,36.314,10.483333333333333,156
C01_representative__multi_auv_12h__vehicle_specific_strong_regime__AUV1,vehicle_specific_strong_regime,C01_representative,1,SUCCESS,66.90365600585938,138.73455810546875,97.0,0.0,0.5914633870124817,0.0,0.0,0,1,36.952,10.616666666666667,164
C01_representative__multi_auv_12h__vehicle_specific_strong_regime__AUV2,vehicle_specific_strong_regime,C01_representative,2,SUCCESS,86.44239807128906,75.83663940429688,0.0,90.0,0.0,0.5960264801979065,0.0,0,1,37.039,10.683333333333334,151
