run_id,strategy,case_id,vehicle_id,solver_status,collected_STD,collected_boundary,collected_region_A,collected_region_B,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,crossing_count,regions_visited,trajectory_length,mission_duration,sampled_cells,source_output,source_output_path,step
C06_representative__2auv_12h__multi_boundary_alpha050,multi_boundary_alpha050,C06_representative,2,REUSED_STEP11D,78.559326171875,116.31182861328124,146.0,4.0,0.9733333587646484,0.0266666673123836,0.3066666722297668,6,2,37.513,10.75,150,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__2auv_12h__vehicle_specific_regime_maps,vehicle_specific_regime_maps,C06_representative,1,POST_SOLVER_PROXY,80.08425903320312,115.4798355102539,149.0,5.0,0.9675324559211732,0.032467532902956,0.0909090936183929,9,2,36.564,10.55,154,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__2auv_12h__vehicle_specific_regime_maps,vehicle_specific_regime_maps,C06_representative,2,POST_SOLVER_PROXY,57.61266326904297,83.88587951660156,26.0,131.0,0.1656050980091095,0.8343949317932129,0.0,22,2,39.146,11.333333333333334,157,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__2auv_12h__vehicle_specific_with_crossing_proxy,vehicle_specific_with_crossing_proxy,C06_representative,1,POST_SOLVER_PROXY,76.47769165039062,123.4831085205078,154.0,2.0,0.9871794581413268,0.0128205129876732,0.4230769276618957,3,2,38.264,11.083333333333334,156,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__2auv_12h__vehicle_specific_with_crossing_proxy,vehicle_specific_with_crossing_proxy,C06_representative,2,POST_SOLVER_PROXY,57.61266326904297,83.88587951660156,26.0,131.0,0.1656050980091095,0.8343949317932129,0.0,22,2,39.146,11.333333333333334,157,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__2auv_12h__sequential_overlap_reduction,sequential_overlap_reduction,C06_representative,1,POST_SOLVER_PROXY,80.08425903320312,115.4798355102539,149.0,5.0,0.9675324559211732,0.032467532902956,0.0909090936183929,9,2,36.564,10.55,154,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__2auv_12h__sequential_overlap_reduction,sequential_overlap_reduction,C06_representative,2,POST_SOLVER_PROXY,49.95488739013672,51.50141143798828,10.0,148.0,0.0632911399006843,0.9367088675498962,0.0,10,2,36.352,10.5,158,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__2auv_12h__post_solver_selected_pair,post_solver_selected_pair,C06_representative,1,POST_SOLVER_PROXY,84.7479248046875,120.92462158203124,159.0,1.0,0.993749976158142,0.0062500000931322,0.018750000745058,3,2,36.475,10.566666666666666,160,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__2auv_12h__post_solver_selected_pair,post_solver_selected_pair,C06_representative,2,POST_SOLVER_PROXY,57.61266326904297,83.88587951660156,26.0,131.0,0.1656050980091095,0.8343949317932129,0.0,22,2,39.146,11.333333333333334,157,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__2auv_12h__multi_baseline_STD,multi_baseline_STD,October_control,1,REUSED_STEP11D,93.73963928222656,26.69031524658203,13.0,152.0,0.0787878781557083,0.9212121367454528,0.0,6,2,37.093,10.7,165,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
