output_dir,output_name,exists,file_path,file_name,extension,category,size_bytes,modified_time
results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,True,results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022\step10f_minimal_boundary_planner_checks.json,step10f_minimal_boundary_planner_checks.json,.json,checks_json,1156,2026-05-19T19:50:23
results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,True,results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022\step10f_minimal_boundary_planner_config.json,step10f_minimal_boundary_planner_config.json,.json,json,178,2026-05-19T19:50:23
results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,True,results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022\step10f_minimal_boundary_planner_metadata.json,step10f_minimal_boundary_planner_metadata.json,.json,json,1577,2026-05-19T19:50:23
results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,True,results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022\step10f_minimal_boundary_planner_report.md,step10f_minimal_boundary_planner_report.md,.md,report_md,959,2026-05-19T19:50:23
results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,True,results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022\step10f_minimal_boundary_planner_summary.md,step10f_minimal_boundary_planner_summary.md,.md,report_md,959,2026-05-19T19:50:23
results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,True,results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022\step10f_minimal_boundary_planner_weights.csv,step10f_minimal_boundary_planner_weights.csv,.csv,csv,149,2026-05-19T19:50:22
results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,True,results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022\step10f_three_cases_boundary_baseline_vs_enriched_panel.png,step10f_three_cases_boundary_baseline_vs_enriched_panel.png,.png,figure_png,482144,2026-05-19T19:50:23
results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,True,results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022\figures\step10f_baseline_STD_norm_three_cases.png,step10f_baseline_STD_norm_three_cases.png,.png,figure_png,131357,2026-05-19T19:50:23
results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,True,results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022\figures\step10f_enriched_boundary_alpha025_three_cases.png,step10f_enriched_boundary_alpha025_three_cases.png,.png,figure_png,127314,2026-05-19T19:50:23
results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,True,results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022\figures\step10f_enriched_boundary_alpha050_three_cases.png,step10f_enriched_boundary_alpha050_three_cases.png,.png,figure_png,122488,2026-05-19T19:50:23
results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022,True,results\fossum_roi_x490_step10f_minimal_boundary_planner_inputs_20260519_195022\figures\step10f_three_cases_boundary_baseline_vs_enriched_panel.png,step10f_three_cases_boundary_baseline_vs_enriched_panel.png,.png,figure_png,482144,2026-05-19T19:50:23
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\11a_run_minimal_boundary_planner_comparison.py,11a_run_minimal_boundary_planner_comparison.py,.py,script_copy,36722,2026-05-19T20:54:02
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\step11a_all_cases_summary_panel.png,step11a_all_cases_summary_panel.png,.png,figure_png,108187,2026-05-19T20:54:55
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\step11a_baseline_vs_enriched_comparison.csv,step11a_baseline_vs_enriched_comparison.csv,.csv,csv,1654,2026-05-19T20:53:23
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\step11a_C01_representative_baseline_vs_enriched_overlay.png,step11a_C01_representative_baseline_vs_enriched_overlay.png,.png,figure_png,208998,2026-05-19T20:53:24
