step,source_output,runtime_label,case_id,date,auv_number,mission_duration_requested_h,formulation,alpha,collected_STD_score,collected_boundary_score,trajectory_length_km,trajectory_overlap_ratio_with_baseline,trajectory_difference_from_baseline,solver_runtime_s,solver_status,trajectory_overlap_ratio,trajectory_difference_from_baseline_comparison,delta_collected_boundary_score,delta_collected_STD_score,high_similarity_overlay,trajectory_change_class,std_boundary_tradeoff,crossing_count,regions_visited
Step11A,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_235324,unknown_runtime,October_control,2024-10-30,,,baseline_STD,0.0,95.92245483398438,30.575889587402344,38.517,1.0,0.0,236.16176049999197,SUCCESS,,,,,,near_baseline,STD_neutral_or_gain,,
Step11A,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_235324,unknown_runtime,October_control,2024-10-30,,,enriched_boundary_alpha025,0.25,83.18157958984375,28.770095825195312,37.584,0.1201413427561837,0.8798586572438163,303.7191024000058,SUCCESS,0.1201413427561837,0.8798586572438163,-1.8057937622070312,-12.740875244140623,False,changed_strongly,STD_loss,,
Step11A,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_235324,unknown_runtime,October_control,2024-10-30,,,enriched_boundary_alpha050,0.5,48.80297088623047,107.74964904785156,36.456,0.0031446540880503,0.9968553459119496,289.1789194000012,SUCCESS,0.0031446540880503,0.9968553459119496,77.17375946044922,-47.11948394775391,False,changed_strongly,STD_loss,,
Step11A,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,2auv_12h,C06_representative,2023-12-22,2.0,12.0,baseline_STD,0.0,186.4933624267578,231.3916473388672,74.928,1.0,0.0,277.882325700004,SUCCESS,,,,,,near_baseline,STD_neutral_or_gain,,
Step11A,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,2auv_12h,C06_representative,2023-12-22,2.0,12.0,enriched_boundary_alpha025,0.25,185.22283935546875,240.64144897460935,75.15700000000001,0.1723484848484848,0.8276515151515151,269.96851289999904,SUCCESS,0.1723484848484848,0.8276515151515151,9.249801635742188,-1.2705230712890625,False,changed_strongly,STD_loss,,
Step11A,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,2auv_12h,C06_representative,2023-12-22,2.0,12.0,enriched_boundary_alpha050,0.5,180.04891967773438,267.9442138671875,74.836,0.094240837696335,0.9057591623036648,235.4266089000012,SUCCESS,0.094240837696335,0.9057591623036648,36.55256652832031,-6.4444427490234375,False,changed_strongly,STD_loss,,
Step11A,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,2auv_12h,C01_representative,2024-08-24,2.0,12.0,baseline_STD,0.0,161.41757202148438,230.7940826416016,74.358,1.0,0.0,310.2700365999917,SUCCESS,,,,,,near_baseline,STD_neutral_or_gain,,
Step11A,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,2auv_12h,C01_representative,2024-08-24,2.0,12.0,enriched_boundary_alpha025,0.25,154.94268798828125,233.87245178222656,74.22200000000001,0.1238615664845173,0.8761384335154827,290.6511376999988,SUCCESS,0.1238615664845173,0.8761384335154827,3.078369140625,-6.474884033203125,False,changed_strongly,STD_loss,,
Step11A,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,2auv_12h,C01_representative,2024-08-24,2.0,12.0,enriched_boundary_alpha050,0.5,145.07357788085938,222.2532958984375,75.393,0.108695652173913,0.8913043478260869,242.3637488999957,SUCCESS,0.108695652173913,0.8913043478260869,-8.540786743164062,-16.343994140625,False,changed_strongly,STD_loss,,
Step11A,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,2auv_12h,October_control,2024-10-30,2.0,12.0,baseline_STD,0.0,177.8150634765625,57.94293212890625,76.099,1.0,0.0,229.48424879999948,SUCCESS,,,,,,near_baseline,STD_neutral_or_gain,,
Step11A,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,2auv_12h,October_control,2024-10-30,2.0,12.0,enriched_boundary_alpha025,0.25,174.06039428710938,59.99637222290039,76.26599999999999,0.0934744268077601,0.90652557319224,291.9748230999976,SUCCESS,0.0934744268077601,0.90652557319224,2.0534400939941406,-3.754669189453125,False,changed_strongly,STD_loss,,
Step11A,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,2auv_12h,October_control,2024-10-30,2.0,12.0,enriched_boundary_alpha050,0.5,117.34734344482422,180.12965393066406,73.55699999999999,0.0147299509001636,0.9852700490998364,315.677122699999,SUCCESS,0.0147299509001636,0.9852700490998364,122.1867218017578,-60.46772003173828,False,changed_strongly,STD_loss,,
