run_id,strategy,case_id,vehicle_id,solver_status,collected_STD,collected_boundary,collected_region_A,collected_region_B,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,crossing_count,regions_visited,trajectory_length,mission_duration,sampled_cells,candidate_name,source_run_dir,source_output,source_output_path,step
C06_representative__candidate__crossing_gamma025,candidate_crossing_gamma025,C06_representative,1,REUSED_STEP11C,78.34056091308594,119.53223419189452,151.0,2.0,0.9869281053543092,0.0130718955770134,0.2026143819093704,3,2,38.058,10.95,153,crossing_gamma025,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458\planner_runs\C06_representative__1auv_12h__crossing_gamma025,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__candidate__region_A,candidate_region_A,C06_representative,1,REUSED_STEP11D,80.08425903320312,115.4798355102539,149.0,5.0,0.9675324559211732,0.032467532902956,0.0909090936183929,9,2,36.564,10.55,154,region_A,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\C06_representative__1auv_12h__3e6c32c843,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__candidate__region_B,candidate_region_B,C06_representative,1,REUSED_STEP11D,57.61266326904297,83.88587951660156,26.0,131.0,0.1656050980091095,0.8343949317932129,0.0,22,2,39.146,11.333333333333334,157,region_B,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\C06_representative__1auv_12h__72f3669739,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__candidate__region_A_with_crossing,candidate_region_A_with_crossing,C06_representative,1,REUSED_STEP11D,76.47769165039062,123.4831085205078,154.0,2.0,0.9871794581413268,0.0128205129876732,0.4230769276618957,3,2,38.264,11.083333333333334,156,region_A_with_crossing,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\C06_representative__1auv_12h__92175415e3,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__candidate__region_B_with_crossing,candidate_region_B_with_crossing,C06_representative,1,FALLBACK_TO_region_B,57.61266326904297,83.88587951660156,26.0,131.0,0.1656050980091095,0.8343949317932129,0.0,22,2,39.146,11.333333333333334,157,region_B_with_crossing,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\C06_representative__1auv_12h__d5af02ac4e,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
C06_representative__candidate__region_B_sequential_penalized,candidate_region_B_sequential_penalized,C06_representative,1,REUSED_STEP11D,49.95488739013672,51.50141143798828,10.0,148.0,0.0632911399006843,0.9367088675498962,0.0,10,2,36.352,10.5,158,region_B_sequential_penalized,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\C06_representative__1auv_12h__004707b0eb,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__candidate__baseline_STD,candidate_baseline_STD,October_control,1,REUSED_STEP11C,88.59339141845703,26.000843048095703,10.0,144.0,0.064935065805912,0.9350649118423462,0.0,6,2,37.587,10.85,154,baseline_STD,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458\planner_runs\October_reference__1auv_12h__baseline_STD,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__candidate__boundary_alpha050,candidate_boundary_alpha050,October_control,1,REUSED_STEP11C,52.87086868286133,108.47687530517578,150.0,9.0,0.9433962106704712,0.0566037744283676,0.2704402506351471,8,2,37.347,10.733333333333333,159,boundary_alpha050,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458\planner_runs\October_reference__1auv_12h__boundary_alpha050,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__candidate__crossing_gamma025,candidate_crossing_gamma025,October_control,1,REUSED_STEP11C,53.383697509765625,111.52294921875,156.0,0.0,1.0,0.0,0.2307692319154739,0,1,36.357,10.433333333333334,156,crossing_gamma025,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458\planner_runs\October_reference__1auv_12h__crossing_gamma025,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__candidate__region_A,candidate_region_A,October_control,1,REUSED_STEP11D,71.02642059326172,66.1010971069336,143.0,12.0,0.9225806593894958,0.0774193555116653,0.0,16,2,37.483,10.816666666666666,155,region_A,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\October_reference__1auv_12h___16b8c084d5,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__candidate__region_B,candidate_region_B,October_control,1,REUSED_STEP11D,91.1748504638672,30.36235618591309,10.0,151.0,0.0621118023991584,0.937888205051422,0.0,9,2,39.34,11.35,161,region_B,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\October_reference__1auv_12h___9ce7d63d2e,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__candidate__region_A_with_crossing,candidate_region_A_with_crossing,October_control,1,REUSED_STEP11D,70.73439025878906,66.33567810058594,142.0,17.0,0.893081784248352,0.1069182381033897,0.0,20,2,38.432,11.15,159,region_A_with_crossing,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\October_reference__1auv_12h___e10c10081a,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__candidate__region_B_with_crossing,candidate_region_B_with_crossing,October_control,1,FALLBACK_TO_region_B,91.1748504638672,30.36235618591309,10.0,151.0,0.0621118023991584,0.937888205051422,0.0,9,2,39.34,11.35,161,region_B_with_crossing,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\October_reference__1auv_12h___9ef651020d,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__candidate__region_B_sequential_penalized,candidate_region_B_sequential_penalized,October_control,1,REUSED_STEP11D,83.95187377929688,24.68280029296875,5.0,147.0,0.0328947380185127,0.967105269432068,0.0,7,2,37.833,10.883333333333333,152,region_B_sequential_penalized,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\October_reference__1auv_12h___38db910820,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
