scope,prototype_key,prototype_name,prototype_regime_label,region_id,region_label,n_pixels,temp_mean_avg,temp_std_avg,gradient_magnitude_avg,boundary_score_avg,distance_to_boundary_avg,lat_min,lat_max,lon_min,lon_max
global,class_03,prototype_class_03,multi_regime,1,low,3201,-0.10257261246442795,0.38534554839134216,4.974767684936523,0.7493540048599243,22.279983520507812,39.38888931274414,39.86111068725586,-9.31956958770752,-8.916666984558105
global,class_03,prototype_class_03,multi_regime,2,high,3724,1.0370584726333618,0.41235288977622986,3.091423988342285,0.6033294200897217,26.094213485717773,39.38888931274414,39.86111068725586,-9.55555534362793,-9.146897315979004
