route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,17.633,88.52896
1,1,39.5753,-9.282099,107.34845,17.633,88.52896
1,2,39.564743,-9.279426,102.51209,17.633,88.52896
1,3,39.5753,-9.268733,102.35424,17.633,88.52896
1,4,39.5753,-9.252693,96.040825,17.633,88.52896
1,5,39.57002,-9.242001,88.52896,17.633,88.52896
1,6,39.562107,-9.25002,89.267204,17.633,88.52896
1,7,39.55419,-9.276752,97.46962,17.633,88.52896
1,8,39.54364,-9.276752,89.77215,17.633,88.52896
1,9,39.541,-9.292792,94.046074,17.633,88.52896
1,10,39.548916,-9.300812,102.3958,17.633,88.52896
1,11,39.55419,-9.290119,102.162224,17.633,88.52896
1,12,39.559467,-9.303485,108.89005,17.633,88.52896
1,13,39.57266,-9.295465,110.94491,17.633,88.52896
1,14,39.57266,-9.295119,110.0299,17.633,88.52896
