path,size_bytes,ext,guessed_type,test_id_if_any,date_if_any,notes
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_AUVpredModel_6.nc,83337850,.nc,auv_netcdf,C4,2024-10-30,assimilated_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_AUVpredModel_7.nc,83337850,.nc,auv_netcdf,C4,2024-10-30,assimilated_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_AUVpredModel_8.nc,83337850,.nc,auv_netcdf,C4,2024-10-30,assimilated_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_AUVpredModel_9.nc,83337850,.nc,auv_netcdf,C4,2024-10-30,assimilated_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_1.nc,83337850,.nc,simulation_netcdf,C4,2024-10-30,prior_or_background_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_10.nc,83337850,.nc,simulation_netcdf,C4,2024-10-30,prior_or_background_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_11.nc,83337850,.nc,simulation_netcdf,C4,2024-10-30,prior_or_background_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_12.nc,83337850,.nc,simulation_netcdf,C4,2024-10-30,prior_or_background_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_13.nc,83337850,.nc,simulation_netcdf,C4,2024-10-30,prior_or_background_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_14.nc,83337850,.nc,simulation_netcdf,C4,2024-10-30,prior_or_background_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_15.nc,83337850,.nc,simulation_netcdf,C4,2024-10-30,prior_or_background_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_16.nc,83337850,.nc,simulation_netcdf,C4,2024-10-30,prior_or_background_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_17.nc,83337850,.nc,simulation_netcdf,C4,2024-10-30,prior_or_background_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_2.nc,83337850,.nc,simulation_netcdf,C4,2024-10-30,prior_or_background_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_3.nc,83337850,.nc,simulation_netcdf,C4,2024-10-30,prior_or_background_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_4.nc,83337850,.nc,simulation_netcdf,C4,2024-10-30,prior_or_background_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_5.nc,83337850,.nc,simulation_netcdf,C4,2024-10-30,prior_or_background_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_6.nc,83337850,.nc,simulation_netcdf,C4,2024-10-30,prior_or_background_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_7.nc,83337850,.nc,simulation_netcdf,C4,2024-10-30,prior_or_background_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_8.nc,83337850,.nc,simulation_netcdf,C4,2024-10-30,prior_or_background_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_9.nc,83337850,.nc,simulation_netcdf,C4,2024-10-30,prior_or_background_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/C4_LAUV235_NEW31.mat,331,.mat,matlab_workspace,C4,2024-10-30,
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/C4_LAUV2_NEW31.mat,332,.mat,matlab_workspace,C4,2024-10-30,
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/C4_LAUV3_NEW31.mat,332,.mat,matlab_workspace,C4,2024-10-30,
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/C4_LAUV5_NEW31.mat,330,.mat,matlab_workspace,C4,2024-10-30,
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Images/scene.gslib,3903770,.gslib,scene_gslib,C4,2024-10-30,
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Images/scene_1.gslib,3803346,.gslib,scene_gslib,C4,2024-10-30,
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Images/scene_2.gslib,3803346,.gslib,scene_gslib,C4,2024-10-30,
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Images/scene_3.gslib,3803346,.gslib,scene_gslib,C4,2024-10-30,
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/31-10-2024_AUVpredModel_1.nc,83337850,.nc,auv_netcdf,C4,2024-10-30,post_assimilation_artifact;assimilated_netcdf
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/auxi.gslib,20260577,.gslib,gslib_grid,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Bath.gslib,415771,.gslib,gslib_grid,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/etype.gslib,1504061,.gslib,gslib_grid,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/finalworkspace.mat,85432241,.mat,matlab_workspace,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/bath1.fig,552631,.fig,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/bath1.png,88800,.png,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/bath2.fig,552628,.fig,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/bath2.png,88800,.png,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/bath3.fig,552627,.fig,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/bath3.png,88800,.png,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/Median Pred1.fig,440263,.fig,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/Median Pred1.png,156833,.png,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/Median Pred2.fig,439414,.fig,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/Median Pred2.png,158002,.png,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/Median Pred3.fig,440270,.fig,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/Median Pred3.png,164320,.png,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/simulTemp Pred1.fig,452371,.fig,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/simulTemp Pred1.png,193653,.png,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/simulTemp Pred2.fig,454644,.fig,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/simulTemp Pred2.png,192506,.png,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/simulTemp Pred3.fig,453538,.fig,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/simulTemp Pred3.png,191529,.png,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/stdev Pred1.fig,579834,.fig,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/stdev Pred1.png,183667,.png,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/stdev Pred2.fig,579033,.fig,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/stdev Pred2.png,183789,.png,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/stdev Pred3.fig,581205,.fig,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/stdev Pred3.png,184592,.png,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/Temperature1.fig,523076,.fig,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/Temperature1.png,100249,.png,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/Temperature2.fig,515744,.fig,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/Temperature2.png,97722,.png,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/Temperature3.fig,517229,.fig,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Images/Temperature3.png,98565,.png,visualization_asset,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/input_all/alldatacoor.gslib,28753177,.gslib,gslib_grid,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/input_all/DSS.C.64.exe,807424,.exe,executable,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/input_all/ssdir.par,11603,.par,parameter_file,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/IQD.gslib,1413675,.gslib,gslib_grid,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/mask.out,1335245,.out,mask_output,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/MeanDays.gslib,1504061,.gslib,gslib_grid,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/Median.gslib,1504062,.gslib,post_median_grid,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/midworkspace.mat,85432074,.mat,matlab_workspace,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/scene_1.gslib,3798465,.gslib,scene_gslib,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/scene_2.gslib,3798465,.gslib,scene_gslib,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/scene_3.gslib,3798465,.gslib,scene_gslib,C4,2024-10-30,post_assimilation_artifact
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_1.out,1244860,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_10.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_100.out,1244862,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_11.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_12.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_13.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_14.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_15.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_16.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_17.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_18.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_19.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_2.out,1244860,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_20.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_21.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_22.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
