method,planner_shape,temperature_shape,shapes_match,planner_valid_cells,temperature_valid_cells,valid_cells_match,planner_masked_cells,temperature_masked_cells,masked_cells_match,exact_mask_match
CAND_B,"[67, 128]","[67, 128]",True,8296,8296,True,280,280,True,True
USER_DIRECT_KM,"[72, 134]","[72, 134]",True,8909,8909,True,739,739,True,True
