folder,n_files,total_bytes
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_7,112,925468737
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_2,112,925113379
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_5,112,925082165
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_6,112,925039750
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_3,112,924919848
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_4,112,924872293
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_1,112,894503443
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_17,112,879774108
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_16,112,878898971
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_15,112,878071526
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_14,112,876621231
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_13,112,875952300
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_12,112,875416755
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_11,112,875281548
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_9,112,875039363
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_10,112,874892843
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_8,112,874362880
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_7,112,874289575
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_2,112,874015066
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_5,112,873947454
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_6,112,873907163
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_3,112,873802146
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_4,112,873760644
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_1,112,843748484
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1,48,2901725475
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1,48,2890242587
