run_id,case_id,display_case,date,run_name,mission_duration_requested_h,mission_duration,trajectory_length,solver_runtime,solver_status,gamma,formulation,descriptor_source,crossing_proxy_method,collected_STD,collected_boundary,crossing_count,regions_visited,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,difference_from_baseline,scope,run_dir,input_nc,strategy,fleet_collected_STD,fleet_collected_boundary,fleet_region_A_coverage,fleet_region_B_coverage,fleet_region_coverage,trajectory_overlap_ratio,duplicate_sampled_cells,inter_vehicle_min_distance,inter_vehicle_mean_distance,complementarity_score,fleet_total_area_covered
C01_representative__single_auv_12h__baseline_STD,C01_representative,C01 representative,2024-08-24,baseline_STD,12.0,10.566666666666666,36.655,233.71605129999807,SUCCESS,0.0,information_map = STD_norm,Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,94.36653137207031,116.15290832519531,0.0,1.0,1.0,0.0,0.0,0.0,single_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_runs\C01_representative__single_auv_12h__baseli__51c49ddc1b,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_inputs\C01_representative__single_auv_12h__baseli__51c49ddc1b.nc,,,,,,,,,,,,
C01_representative__single_auv_12h__prototype_boundary_alpha050,C01_representative,C01 representative,2024-08-24,prototype_boundary_alpha050,12.0,11.033333333333333,38.093,233.64901320000354,SUCCESS,0.0,information_map = 0.5*STD_norm + 0.5*prototype_boundary_score_norm,Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,91.34963989257812,137.03973388671875,0.0,1.0,1.0,0.0,0.025,0.9605263157894737,single_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_runs\C01_representative__single_auv_12h__protot__9ce4d78139,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_inputs\C01_representative__single_auv_12h__protot__9ce4d78139.nc,,,,,,,,,,,,
C01_representative__single_auv_12h__prototype_crossing_gamma025,C01_representative,C01 representative,2024-08-24,prototype_crossing_gamma025,12.0,11.116666666666667,38.549,509.11219850000634,SUCCESS,0.25,information_map = 0.5*STD_norm + 0.3*prototype_boundary + 0.2*((1-0.25)*prototype_boundary + 0.25*prototype_crossing_proxy),Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,95.49591064453125,144.36390686035156,0.0,1.0,1.0,0.0,0.024096385542168676,0.9407894736842105,single_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_runs\C01_representative__single_auv_12h__protot__ddf5f8367c,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_inputs\C01_representative__single_auv_12h__protot__ddf5f8367c.nc,,,,,,,,,,,,
C01_representative__multi_auv_12h__baseline_STD,C01_representative,,,,,,,689.7619879000122,SUCCESS,,,,,,,,,,,,,multi_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_runs\C01_representative__multi_auv_12h__baselin__17a8584673,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_inputs\C01_representative__multi_auv_12h__baselin__17a8584673.nc,baseline_STD,186.4933624267578,231.39166259765625,0.048500881834215165,0.014995715509854327,0.0634965973440695,0.0,0.0,1.0,15.916228450241032,0.5317482986720348,310.0
C01_representative__multi_auv_12h__prototype_vehicle_specific_maps,C01_representative,,,,,,,1074.6548339,SUCCESS,,,,,,,,,,,,,multi_AUV_PROXY,two 1-AUV proxy runs,,prototype_vehicle_specific_maps,180.92374420166016,193.62844848632812,0.03668430335097002,0.03941730934018852,0.07610161269115853,0.01,3.0,0.0,13.789548221651586,0.5330508063455792,300.0
C06_representative__single_auv_12h__baseline_STD,C06_representative,C06 representative,2023-12-22,baseline_STD,12.0,10.483333333333333,36.473,710.1281715000077,SUCCESS,0.0,information_map = STD_norm,Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,85.01887512207031,119.18304443359375,0.0,1.0,1.0,0.0,0.06918238993710692,0.0,single_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_runs\C06_representative__single_auv_12h__baseli__dc14993011,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_inputs\C06_representative__single_auv_12h__baseli__dc14993011.nc,,,,,,,,,,,,
C06_representative__single_auv_12h__prototype_boundary_alpha050,C06_representative,C06 representative,2023-12-22,prototype_boundary_alpha050,12.0,10.583333333333334,36.896,283.9892125000042,SUCCESS,0.0,information_map = 0.5*STD_norm + 0.5*prototype_boundary_score_norm,Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,76.71467590332031,112.84236907958984,0.0,1.0,1.0,0.0,0.19594594594594594,0.8671586715867159,single_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_runs\C06_representative__single_auv_12h__protot__37236ca4d8,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_inputs\C06_representative__single_auv_12h__protot__37236ca4d8.nc,,,,,,,,,,,,
C06_representative__single_auv_12h__prototype_crossing_gamma025,C06_representative,C06 representative,2023-12-22,prototype_crossing_gamma025,12.0,10.583333333333334,36.767,530.6969960999995,SUCCESS,0.25,information_map = 0.5*STD_norm + 0.3*prototype_boundary + 0.2*((1-0.25)*prototype_boundary + 0.25*prototype_crossing_proxy),Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,76.65107727050781,115.21932983398438,0.0,1.0,1.0,0.0,0.23129251700680273,0.8409090909090909,single_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_runs\C06_representative__single_auv_12h__protot__e91ca52791,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_inputs\C06_representative__single_auv_12h__protot__e91ca52791.nc,,,,,,,,,,,,
C06_representative__multi_auv_12h__baseline_STD,C06_representative,,,,,,,261.68331770000805,SUCCESS,,,,,,,,,,,,,multi_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_runs\C06_representative__multi_auv_12h__baselin__0a48d873ac,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_inputs\C06_representative__multi_auv_12h__baselin__0a48d873ac.nc,baseline_STD,161.41756439208984,230.79408264160156,0.05634308272025839,0.0,0.05634308272025839,0.0,0.0,1.0,10.628886005094492,0.5281715413601292,314.0
C06_representative__multi_auv_12h__prototype_vehicle_specific_maps,C06_representative,,,,,,,462.3610292000085,SUCCESS,,,,,,,,,,,,,multi_AUV_PROXY,two 1-AUV proxy runs,,prototype_vehicle_specific_maps,130.47124481201172,160.97039031982422,0.03857886237215145,0.03537638831756479,0.07395525068971623,0.0033222591362126247,1.0,0.0,27.57952058024319,0.5353164957767518,301.0
October_control__single_auv_12h__baseline_STD,October_control,October reference,2024-10-30,baseline_STD,12.0,10.866666666666667,37.797,184.92924310000672,SUCCESS,0.0,information_map = STD_norm,Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,93.7125015258789,28.41097640991211,2.0,2.0,0.4658385093167702,0.5341614906832298,0.0,0.0,single_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_runs\October_control__single_auv_12h__baseline__5cbed14e7a,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_inputs\October_control__single_auv_12h__baseline__5cbed14e7a.nc,,,,,,,,,,,,
October_control__single_auv_12h__prototype_boundary_alpha050,October_control,October reference,2024-10-30,prototype_boundary_alpha050,12.0,10.483333333333333,36.456,243.50621880000108,SUCCESS,0.0,information_map = 0.5*STD_norm + 0.5*prototype_boundary_score_norm,Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,48.80297088623047,107.74964904785156,0.0,1.0,1.0,0.0,0.18421052631578946,0.9967948717948718,single_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_runs\October_control__single_auv_12h__prototype__377074ac76,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_inputs\October_control__single_auv_12h__prototype__377074ac76.nc,,,,,,,,,,,,
October_control__single_auv_12h__prototype_crossing_gamma025,October_control,October reference,2024-10-30,prototype_crossing_gamma025,12.0,10.366666666666667,36.108,241.71790619999229,SUCCESS,0.25,information_map = 0.5*STD_norm + 0.3*prototype_boundary + 0.2*((1-0.25)*prototype_boundary + 0.25*prototype_crossing_proxy),Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,50.28581237792969,111.49624633789062,0.0,1.0,1.0,0.0,0.23684210526315788,0.9967948717948718,single_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_runs\October_control__single_auv_12h__prototype__229d7dcf5a,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_inputs\October_control__single_auv_12h__prototype__229d7dcf5a.nc,,,,,,,,,,,,
October_control__multi_auv_12h__baseline_STD,October_control,,,,,,,202.57416610000655,SUCCESS,,,,,,,,,,,,,multi_AUV,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_runs\October_control__multi_auv_12h__baseline_S__1a0b822f0e,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_inputs\October_control__multi_auv_12h__baseline_S__1a0b822f0e.nc,baseline_STD,178.2662811279297,58.236412048339844,0.024550224887556222,0.06784107946026986,0.09239130434782608,0.003205128205128205,1.0,0.0,12.099935444298502,0.544593088071349,312.0
October_control__multi_auv_12h__prototype_vehicle_specific_maps,October_control,,,,,,,381.9712831999932,SUCCESS,,,,,,,,,,,,,multi_AUV_PROXY,two 1-AUV proxy runs,,prototype_vehicle_specific_maps,170.63400268554688,63.15704345703125,0.03429535232383808,0.043478260869565216,0.0777736131934033,0.03678929765886288,11.0,0.0,20.199535508508763,0.5204921577672702,299.0
