run_id,strategy,case_id,vehicle_id,solver_status,collected_STD,collected_boundary,collected_region_A,collected_region_B,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,crossing_count,regions_visited,trajectory_length,mission_duration,sampled_cells
C01_representative__multi_auv_12h__baseline_STD,baseline_STD,C01_representative,1,SUCCESS,87.185546875,97.713134765625,111.0,35.0,0.7602739930152893,0.2397260218858719,0.0,2,2,37.641,10.883333333333333,146
C01_representative__multi_auv_12h__baseline_STD,baseline_STD,C01_representative,2,SUCCESS,99.30781555175781,133.67852783203125,164.0,0.0,1.0,0.0,0.024390242993831635,0,1,37.287,10.8,164
C01_representative__multi_auv_12h__prototype_vehicle_specific_maps__AUV1,prototype_vehicle_specific_maps,C01_representative,1,SUCCESS,89.07134246826172,118.03617858886719,148.0,0.0,1.0,0.0,0.0,0,1,37.657,10.866666666666667,148
C01_representative__multi_auv_12h__prototype_vehicle_specific_maps__AUV2,prototype_vehicle_specific_maps,C01_representative,2,SUCCESS,91.85240173339844,75.59226989746094,63.0,92.0,0.40645161271095276,0.5935483574867249,0.0,2,2,36.637,10.533333333333333,155
C06_representative__multi_auv_12h__baseline_STD,baseline_STD,C06_representative,1,SUCCESS,84.24525451660156,120.55747985839844,161.0,0.0,1.0,0.0,0.018633540719747543,0,1,37.349,10.8,161
C06_representative__multi_auv_12h__baseline_STD,baseline_STD,C06_representative,2,SUCCESS,77.17230987548828,110.23660278320312,153.0,0.0,1.0,0.0,0.2549019753932953,0,1,37.009,10.633333333333333,153
C06_representative__multi_auv_12h__prototype_vehicle_specific_maps__AUV1,prototype_vehicle_specific_maps,C06_representative,1,SUCCESS,81.07691955566406,113.51870727539062,152.0,0.0,1.0,0.0,0.08552631735801697,0,1,36.517,10.516666666666667,152
C06_representative__multi_auv_12h__prototype_vehicle_specific_maps__AUV2,prototype_vehicle_specific_maps,C06_representative,2,SUCCESS,49.394325256347656,47.451683044433594,64.0,86.0,0.4266666769981384,0.5733333230018616,0.0,4,2,36.38,10.433333333333334,150
October_control__multi_auv_12h__baseline_STD,baseline_STD,October_control,1,SUCCESS,92.00331115722656,34.87681579589844,83.0,82.0,0.5030303001403809,0.49696969985961914,0.0,2,2,39.218,11.2,165
October_control__multi_auv_12h__baseline_STD,baseline_STD,October_control,2,SUCCESS,86.26296997070312,23.359596252441406,49.0,99.0,0.3310810923576355,0.6689189076423645,0.0,2,2,36.881,10.65,148
October_control__multi_auv_12h__prototype_vehicle_specific_maps__AUV1,prototype_vehicle_specific_maps,October_control,1,SUCCESS,79.76715087890625,37.29677963256836,148.0,1.0,0.9932885766029358,0.00671140942722559,0.0,2,2,39.241,11.316666666666666,149
October_control__multi_auv_12h__prototype_vehicle_specific_maps__AUV2,prototype_vehicle_specific_maps,October_control,2,SUCCESS,90.86685180664062,25.86026382446289,46.0,115.0,0.2857142984867096,0.7142857313156128,0.0,2,2,37.276,10.75,161
