run_id,strategy,case_id,fleet_collected_STD,fleet_collected_boundary,fleet_region_A_coverage,fleet_region_B_coverage,fleet_region_coverage,trajectory_overlap_ratio,duplicate_sampled_cells,inter_vehicle_min_distance,inter_vehicle_mean_distance,complementarity_score,fleet_total_area_covered,solver_status,solver_runtime
C01_representative__multi_auv_12h__baseline_STD,baseline_STD,C01_representative,186.4933624267578,231.39166259765625,0.048500881834215165,0.014995715509854327,0.0634965973440695,0.0,0,1.0,15.916228450241032,0.5317482986720348,310,SUCCESS,689.7619879000122
C01_representative__multi_auv_12h__prototype_vehicle_specific_maps,prototype_vehicle_specific_maps,C01_representative,180.92374420166016,193.62844848632812,0.03668430335097002,0.03941730934018852,0.07610161269115853,0.01,3,0.0,13.789548221651586,0.5330508063455792,300,SUCCESS,1074.6548339
C06_representative__multi_auv_12h__baseline_STD,baseline_STD,C06_representative,161.41756439208984,230.79408264160156,0.05634308272025839,0.0,0.05634308272025839,0.0,0,1.0,10.628886005094492,0.5281715413601292,314,SUCCESS,261.68331770000805
C06_representative__multi_auv_12h__prototype_vehicle_specific_maps,prototype_vehicle_specific_maps,C06_representative,130.47124481201172,160.97039031982422,0.03857886237215145,0.03537638831756479,0.07395525068971623,0.0033222591362126247,1,0.0,27.57952058024319,0.5353164957767518,301,SUCCESS,462.3610292000085
October_control__multi_auv_12h__baseline_STD,baseline_STD,October_control,178.2662811279297,58.236412048339844,0.024550224887556222,0.06784107946026986,0.09239130434782608,0.003205128205128205,1,0.0,12.099935444298502,0.544593088071349,312,SUCCESS,202.57416610000655
October_control__multi_auv_12h__prototype_vehicle_specific_maps,prototype_vehicle_specific_maps,October_control,170.63400268554688,63.15704345703125,0.03429535232383808,0.043478260869565216,0.0777736131934033,0.03678929765886288,11,0.0,20.199535508508763,0.5204921577672702,299,SUCCESS,381.9712831999932
