distance_rank_asc,global_image_idx_0_based,global_image_z_1_based,distance_to_prototype_rmse_norm,png_path
64,140,141,0.23475868999958038,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z141.png
65,127,128,0.2354385256767273,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z128.png
66,28,29,0.2381063997745514,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z029.png
67,49,50,0.2382446825504303,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z050.png
68,29,30,0.2395397126674652,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z030.png
69,19,20,0.24280928075313568,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z020.png
70,124,125,0.244245707988739,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z125.png
71,257,258,0.2507106065750122,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z258.png
72,11,12,0.2670174837112427,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z012.png
73,146,147,0.26954758167266846,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z147.png
74,30,31,0.26998019218444824,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z031.png
75,31,32,0.27552202343940735,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z032.png
76,251,252,0.2761057913303375,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z252.png
77,111,112,0.2823633551597595,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z112.png
78,105,106,0.2877466082572937,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z106.png
79,4,5,0.2911129891872406,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z005.png
80,133,134,0.2922361493110657,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z134.png
81,141,142,0.3028321862220764,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z142.png
82,149,150,0.30292266607284546,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z150.png
83,252,253,0.30573171377182007,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z253.png
84,258,259,0.305948406457901,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z259.png
85,123,124,0.3077886700630188,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z124.png
86,53,54,0.30923396348953247,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z054.png
87,256,257,0.31223657727241516,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z257.png
88,248,249,0.3161150813102722,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z249.png
89,106,107,0.3243594467639923,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z107.png
90,103,104,0.33840659260749817,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z104.png
91,165,166,0.34355592727661133,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z166.png
92,101,102,0.3489987850189209,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z102.png
93,163,164,0.3675898611545563,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z164.png
94,132,133,0.3729379177093506,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z133.png
95,10,11,0.37296292185783386,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z011.png
96,131,132,0.3788636326789856,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z132.png
97,247,248,0.385084331035614,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z248.png
98,148,149,0.38606441020965576,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z149.png
99,54,55,0.38858142495155334,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z055.png
100,259,260,0.39542633295059204,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z260.png
101,147,148,0.3978201150894165,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z148.png
102,8,9,0.4020988345146179,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z009.png
103,5,6,0.4071493148803711,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z006.png
104,9,10,0.4091078042984009,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z010.png
105,254,255,0.41370174288749695,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z255.png
106,7,8,0.4182851016521454,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z008.png
107,245,246,0.4199717938899994,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z246.png
108,172,173,0.429057776927948,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z173.png
109,162,163,0.43096452951431274,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z163.png
110,6,7,0.43287646770477295,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z007.png
111,173,174,0.43743813037872314,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z174.png
112,145,146,0.43785858154296875,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z146.png
113,122,123,0.4410613477230072,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z123.png
114,55,56,0.48463279008865356,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z056.png
115,255,256,0.4976268410682678,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z256.png
116,174,175,0.5079303979873657,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z175.png
117,237,238,0.5153522491455078,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z238.png
118,114,115,0.5262194871902466,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z115.png
119,166,167,0.5344407558441162,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z167.png
120,164,165,0.5445218682289124,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z165.png
121,175,176,0.5512241125106812,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z176.png
122,152,153,0.5621036887168884,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z153.png
123,144,145,0.5707783699035645,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z145.png
124,171,172,0.5806705355644226,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z172.png
125,187,188,0.58675616979599,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z188.png
126,236,237,0.6109537482261658,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z237.png
127,238,239,0.6158620715141296,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z239.png
128,115,116,0.6181620955467224,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z116.png
129,116,117,0.6306324601173401,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z117.png
130,167,168,0.7095680236816406,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z168.png
131,78,79,0.7241004109382629,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z079.png
132,260,261,0.7692139148712158,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z261.png
133,239,240,0.8701733946800232,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z240.png
134,177,178,0.9064844846725464,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z178.png
135,79,80,0.9114861488342285,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z080.png
136,168,169,0.9402333498001099,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z169.png
137,84,85,1.0813473463058472,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z085.png
138,85,86,1.157823920249939,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z086.png
139,86,87,1.168103575706482,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z087.png
