date,day_index_370,step00_time_index,class_id,class_label,priority_rank,hres_window_end_date,hres_available,predmodel_path,predmodel_already_exists,generation_status
2024-08-04,282,281,1,C01,39,2024-08-03,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-04\python_dss_predModel_1_100real.nc,False,pending
2024-08-05,283,282,1,C01,30,2024-08-04,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-05\python_dss_predModel_1_100real.nc,False,pending
2024-08-06,284,283,1,C01,62,2024-08-05,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-06\python_dss_predModel_1_100real.nc,False,pending
2024-08-07,285,284,1,C01,31,2024-08-06,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-07\python_dss_predModel_1_100real.nc,False,pending
2024-08-08,286,285,1,C01,10,2024-08-07,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-08\python_dss_predModel_1_100real.nc,False,pending
2024-08-09,287,286,1,C01,13,2024-08-08,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-09\python_dss_predModel_1_100real.nc,False,pending
2024-08-16,294,293,1,C01,94,2024-08-15,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-16\python_dss_predModel_1_100real.nc,False,pending
2024-08-17,295,294,1,C01,41,2024-08-16,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-17\python_dss_predModel_1_100real.nc,False,pending
2024-08-18,296,295,1,C01,49,2024-08-17,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-18\python_dss_predModel_1_100real.nc,False,pending
2024-08-19,297,296,1,C01,45,2024-08-18,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-19\python_dss_predModel_1_100real.nc,False,pending
2024-08-20,298,297,1,C01,68,2024-08-19,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-20\python_dss_predModel_1_100real.nc,False,pending
