patch_w,patch_h,seed,patches_per_image,total_patches,patch_vector_length,number_of_classes,class_sizes,icv_class_01,icv_class_02,icv_class_03,icv_class_04,mean_icv,std_icv,min_class_size,mean_class_size,max_class_size,runtime_seconds,notes
16,16,11,4753,1425900,256,4,"[61, 148, 34, 57]",30031.5234375,2841.15869140625,7647.7255859375,13818.994140625,13584.850463867188,10261.874096391532,34,75.0,148,300.9758418000056,ok
16,16,23,4753,1425900,256,4,"[61, 139, 39, 61]",30031.5234375,2683.7705078125,7839.509765625,13379.76171875,13483.641357421875,10275.415126763288,39,75.0,139,257.09179700000095,ok
16,16,37,4753,1425900,256,4,"[149, 69, 29, 53]",2866.07470703125,11701.2099609375,23882.87890625,15743.373046875,13548.384155273438,7568.744044497101,29,75.0,149,261.4944169999944,ok
16,16,53,4753,1425900,256,4,"[162, 20, 71, 47]",3592.053466796875,1310.451904296875,27289.09765625,10466.1708984375,10664.443481445312,10172.687665922982,20,75.0,162,288.55863050000335,ok
16,16,71,4753,1425900,256,4,"[109, 83, 18, 90]",19063.2578125,6057.34130859375,1200.17822265625,1540.4541015625,6965.307861328125,7243.109731798216,18,75.0,109,309.1557343000022,ok
24,16,11,4361,1308300,384,4,"[150, 86, 48, 16]",3010.61083984375,14067.2021484375,32214.859375,1100.595703125,12598.317016601562,12360.097721737295,16,75.0,150,291.20582979999745,ok
24,16,23,4361,1308300,384,4,"[147, 99, 22, 32]",2673.7724609375,19049.619140625,1206.03369140625,1488.348388671875,6104.443420410156,7494.161542071399,22,75.0,147,282.8490363999954,ok
24,16,37,4361,1308300,384,4,"[160, 71, 19, 50]",3445.148193359375,22890.787109375,29375.873046875,11517.62109375,16807.357360839844,10018.802918342328,19,75.0,160,268.2618629999997,ok
24,16,53,4361,1308300,384,4,"[92, 62, 26, 120]",19250.724609375,7433.3740234375,1402.974609375,1895.24755859375,7495.5802001953125,7188.025776786316,26,75.0,120,288.42349690000265,ok
24,16,71,4361,1308300,384,4,"[129, 84, 44, 43]",4747.1240234375,16116.763671875,33553.13671875,992.0255126953125,13852.262481689453,12664.33626949563,43,75.0,129,300.91249779999634,ok
32,20,11,3645,1093500,640,4,"[58, 135, 48, 59]",9978.28515625,2636.529541015625,32214.859375,16522.521484375,15338.048889160156,10911.98158594118,48,75.0,135,270.2608623999986,ok
32,20,23,3645,1093500,640,4,"[97, 133, 30, 40]",15772.23046875,2437.581787109375,20213.78125,7488.326171875,11477.979919433594,6935.433441461492,30,75.0,133,274.5129756999959,ok
32,20,37,3645,1093500,640,4,"[69, 73, 63, 95]",27944.61328125,5572.416015625,13498.8486328125,2018.03955078125,12258.479370117188,9964.478961033969,63,75.0,95,252.80964840000524,ok
32,20,53,3645,1093500,640,4,"[82, 94, 76, 48]",27166.3203125,5620.060546875,1112.146240234375,12178.6650390625,11519.298034667969,9853.601910205482,48,75.0,94,306.3258261999945,ok
32,20,71,3645,1093500,640,4,"[119, 60, 59, 62]",6088.935546875,30317.396484375,14118.76171875,1405.38037109375,12982.618530273438,10992.504907125249,59,75.0,119,259.3273629999967,ok
40,24,11,2993,897900,960,4,"[70, 28, 138, 64]",28286.345703125,1426.2635498046875,2338.955810546875,11151.056640625,10800.65542602539,10786.006315005923,28,75.0,138,254.82243279999966,ok
40,24,23,2993,897900,960,4,"[69, 137, 81, 13]",28549.517578125,2633.937744140625,10700.248046875,810.5463256835938,10673.562423706055,10971.156916472039,13,75.0,137,237.33768959999725,ok
40,24,37,2993,897900,960,4,"[75, 71, 61, 93]",26734.3046875,5847.6259765625,11544.2578125,1886.7835693359375,11503.24301147461,9439.931385352844,61,75.0,93,271.1942956999992,ok
40,24,53,2993,897900,960,4,"[82, 59, 141, 18]",11609.44921875,24065.91796875,2511.3349609375,1200.17822265625,9846.720092773438,9135.964146599305,18,75.0,141,248.96438130000024,ok
40,24,71,2993,897900,960,4,"[95, 86, 34, 85]",5980.212890625,17877.7578125,2136.550537109375,1377.670166015625,6843.0478515625,6605.504869206772,34,75.0,95,254.43650879999768,ok
48,32,11,2145,643500,1536,4,"[67, 128, 52, 53]",28487.20703125,2159.0810546875,7920.40283203125,14855.0224609375,13355.428344726562,9824.932616742384,52,75.0,128,206.30102419999457,ok
48,32,23,2145,643500,1536,4,"[65, 40, 124, 71]",8443.474609375,31859.396484375,2040.4420166015625,18138.802734375,15120.52896118164,11235.784260830644,40,75.0,124,206.5161986000021,ok
48,32,37,2145,643500,1536,4,"[67, 56, 85, 92]",28490.109375,2150.958251953125,12453.375,1849.0877685546875,11235.882598876953,10837.877986079287,56,75.0,92,207.8194783999934,ok
48,32,53,2145,643500,1536,4,"[73, 82, 52, 93]",27882.244140625,5281.4404296875,14435.123046875,1970.2215576171875,12392.257293701172,10041.10972902294,52,75.0,93,194.33704939999734,ok
48,32,71,2145,643500,1536,4,"[112, 115, 26, 47]",17998.052734375,1532.4705810546875,1833.453857421875,6036.4091796875,6850.096588134766,6678.002397348138,26,75.0,115,188.51732649999758,ok
56,32,11,1881,564300,1792,4,"[110, 90, 18, 82]",19356.07421875,5263.3076171875,1200.17822265625,1398.36474609375,6804.481201171875,7425.496789706274,18,75.0,110,175.38010270000086,ok
56,32,23,1881,564300,1792,4,"[129, 60, 67, 44]",4191.587890625,30295.88671875,14921.3154296875,1100.1507568359375,12627.23519897461,11417.944997670009,44,75.0,129,173.51380220000283,ok
56,32,37,1881,564300,1792,4,"[68, 55, 97, 80]",28289.0859375,15024.728515625,2441.623046875,4275.39892578125,12507.709106445312,10301.507909758622,55,75.0,97,179.392173500004,ok
56,32,53,1881,564300,1792,4,"[122, 97, 63, 18]",2118.148193359375,20291.6796875,7796.185546875,1200.17822265625,7851.547912597656,7613.680691053871,18,75.0,122,172.9027397000027,ok
56,32,71,1881,564300,1792,4,"[110, 87, 27, 76]",17704.7421875,4742.95263671875,1659.8857421875,899.8130493164062,6251.848403930664,6767.125423285642,27,75.0,110,170.33320850000018,ok
64,36,11,1421,426300,2304,4,"[72, 75, 80, 73]",27917.462890625,4393.9658203125,12351.22265625,1105.698974609375,11442.087585449219,10353.519545954525,72,75.0,80,138.97830170000088,ok
64,36,23,1421,426300,2304,4,"[109, 98, 18, 75]",19378.2265625,5253.919921875,1200.17822265625,1220.36376953125,6763.172119140625,7468.04971690558,18,75.0,109,142.494620700003,ok
64,36,37,1421,426300,2304,4,"[100, 104, 24, 72]",18865.724609375,2583.558837890625,21002.36328125,4494.7392578125,11736.596496582031,8259.865259261389,24,75.0,104,145.61205029999837,ok
64,36,53,1421,426300,2304,4,"[68, 65, 92, 75]",28554.13671875,1552.5186767578125,12204.00390625,2624.743896484375,11233.850799560547,10825.645647183099,65,75.0,92,153.22865010000532,ok
64,36,71,1421,426300,2304,4,"[84, 82, 112, 22]",8476.19140625,19528.5703125,1186.84423828125,1206.03369140625,7599.409912109375,7501.164437394474,22,75.0,112,140.04802650000056,ok
72,40,11,1025,307500,2880,4,"[81, 66, 72, 81]",25871.05859375,4755.7158203125,11079.1328125,1434.2490234375,10785.0390625,9373.693102833835,66,75.0,81,106.91672120000294,ok
72,40,23,1025,307500,2880,4,"[111, 86, 19, 84]",19084.2109375,5162.02880859375,1310.168212890625,1479.317138671875,6758.9312744140625,7280.555620651039,19,75.0,111,109.01113820000319,ok
72,40,37,1025,307500,2880,4,"[58, 53, 84, 105]",20066.4921875,2088.79150390625,13466.2880859375,2023.650146484375,9411.305480957031,7716.419991859089,53,75.0,105,112.84459799999604,ok
72,40,53,1025,307500,2880,4,"[92, 88, 93, 27]",18953.09375,6233.4140625,1388.144775390625,1558.2490234375,7033.225402832031,7151.315634888151,27,75.0,93,114.24998229999619,ok
72,40,71,1025,307500,2880,4,"[57, 130, 87, 26]",1891.622314453125,1381.648193359375,17376.20703125,1402.974609375,5513.113037109375,6852.197344983244,26,75.0,130,109.30032290000236,ok
80,44,11,693,207900,3520,4,"[63, 100, 65, 72]",29283.4453125,5085.97314453125,14888.705078125,1030.3853759765625,12572.127227783203,10884.495773773948,63,75.0,100,74.77475859999686,ok
80,44,23,693,207900,3520,4,"[97, 102, 80, 21]",19573.3515625,6046.4873046875,1317.77197265625,1268.0498046875,7051.4151611328125,7485.498485328813,21,75.0,102,76.06106510000245,ok
80,44,37,693,207900,3520,4,"[87, 115, 61, 37]",26713.65625,1601.666259765625,10970.4423828125,1409.4127197265625,10173.794403076172,10301.66788820766,37,75.0,115,77.30447489999642,ok
80,44,53,693,207900,3520,4,"[107, 66, 106, 21]",8987.4130859375,21616.16015625,1734.25244140625,1177.5960693359375,8378.855438232422,8240.228517641084,21,75.0,107,79.93616860000475,ok
80,44,71,693,207900,3520,4,"[49, 138, 87, 26]",1917.328857421875,1829.79296875,17581.7890625,1402.974609375,5682.971374511719,6872.541052527564,26,75.0,138,78.67647450000368,ok
