patch_w,patch_h,executed_runs,patches_per_image,total_patches,patch_vector_length,mean_icv_mean,mean_icv_std,std_icv_mean,std_icv_std,min_class_size_mean,min_class_size_min,mean_class_size_mean,max_class_size_mean,runtime_mean_seconds,runtime_std_seconds,requested_runs,reduced_seed_count
16,16,5,4753,1425900,256,11649.325463867188,2899.45724044057,9104.366133074624,1555.2252182986513,28.0,18,75.0,141.4,283.4552841200013,23.29613896623414,5,False
24,16,5,4361,1308300,384,11371.592095947266,4471.365758772376,9945.084845686593,2590.3884651352737,25.2,16,75.0,141.2,286.3305447799983,12.035160658952293,5,False
32,20,5,3645,1093500,640,12715.284948730468,1590.6239107519375,9731.600161153474,1648.5483290547286,49.6,30,75.0,115.2,272.6473351399982,20.7024883765251,5,False
40,24,5,2993,897900,960,9933.445761108398,1824.977346798533,9387.712726527378,1751.3783971069447,30.8,13,75.0,120.8,253.35106163999882,12.220834452323865,5,False
48,32,5,2145,643500,1536,11790.838757324218,3107.0641772731037,9723.541398004678,1796.876605134081,45.2,26,75.0,110.4,200.69821541999698,8.729136110659375,5,False
56,32,5,1881,564300,1792,9208.564364624024,3119.89363124809,8705.151162294884,2030.5400837191582,32.4,18,75.0,113.6,174.3044053200021,3.369073830209501,5,False
64,36,5,1421,426300,2304,9755.023382568359,2374.741647872985,8881.648921339813,1599.69852232473,40.2,18,75.0,99.4,144.07232986000162,5.719314775228434,5,False
72,40,5,1025,307500,2880,7900.3228515625,2142.31530943622,7674.836339043072,999.2634326319456,38.2,19,75.0,104.0,110.46455252000014,3.002042886724612,5,False
80,44,5,693,207900,3520,8771.832720947266,2695.508627290803,8756.886343495815,1756.9285329230377,33.6,21,75.0,112.4,77.35058834000083,2.045916351878966,5,False
