method_name,source_of_georef,projection_used,centers_or_edges,x_orientation,y_orientation,target_name,bbox_lonlat,contained_in_hres,overlap_fraction,rmse_temperature,pearson_temperature,gradient_corr,contour_score,rank,verdict,score,normalized_rmse,mask_iou_hres_bathy,transform_family,uses_physical_axes
OPTIMIZED_TOPK_REGISTRATION_R29__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.429258027640754, -9.085251575843987, 39.53188714818504, 39.71731156213626]",True,1.0,0.8122024220960938,-0.12382758186939703,0.1865368301598294,0.3050933010387233,62,COMPARATOR,-0.7686830087530726,0.8906704924829519,0.28744025491237385,optimized_registration_topk,False
OPTIMIZED_TOPK_REGISTRATION_R20__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.434646002770878, -9.085251575843987, 39.531867294515386, 39.719949775114095]",True,1.0,0.8050708103825679,-0.11092492848427503,0.14215894508620835,0.3050167763368034,63,COMPARATOR,-0.7695097725521772,0.8821727047794081,0.29607010090281466,optimized_registration_topk,False
HRES_BBOX_SIMPLE_FULL_DOMAIN__EPSG_32629_UTM29N_formula__edges__x_normal__y_flipped,HResNew/planner full lon/lat bbox,EPSG_32629_UTM29N_formula,edges,normal,flipped,D4_predModel_TEMPpred_day0,"[-9.556443002259238, -8.91897308559157, 39.391276260923156, 39.858713299287054]",True,1.0,0.7568165545506255,-0.3791833933652557,0.011225223914338934,0.24005433550473446,64,COMPARATOR,-0.7705301254052299,0.5169865117495109,0.7097344275788607,simple_bbox,False
AXES_RELATIVE_KM_OFFSET_TO_HRES_MIN__local_azimuthal_equidistant_spherical__centers__x_normal__y_flipped,relative_km_display_assumed geometry shifted to HRes projected minimum,local_azimuthal_equidistant_spherical,centers,normal,flipped,D4_predModel_TEMPpred_day0,"[-9.557737410511201, -8.915074805772255, 39.38845112287713, 39.85995759237815]",True,1.0,0.756544196907213,-0.3760559994731666,0.002212684261629563,0.24183535696027336,65,AXES_TESTED,-0.770832441261762,0.5168004623995469,0.7122822132873827,physical_axes_relative_offset_fit,True
OPTIMIZED_TOPK_REGISTRATION_R23__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.434662564528818, -9.085251575843987, 39.531867294515386, 39.722587988080434]",True,1.0,0.8029327013216967,-0.11108875406118708,0.13277028609195848,0.3043940416787594,66,COMPARATOR,-0.7720472861127509,0.8795406959369227,0.30005310674455654,optimized_registration_topk,False
OPTIMIZED_TOPK_REGISTRATION_R13__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.43729848955343, -9.085251575843987, 39.53185727510091, 39.71467334914691]",True,1.0,0.8063920245098345,-0.11053294434019344,0.14144633052406377,0.3044174962603446,67,COMPARATOR,-0.7725791087672955,0.8849780778193063,0.28973048327137546,optimized_registration_topk,False
OPTIMIZED_TOPK_REGISTRATION_R25__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.42924167486785, -9.085251575843987, 39.53188714818504, 39.71467334914691]",True,1.0,0.8141076737687628,-0.12658851624926917,0.18612531604812796,0.3046803491492291,68,COMPARATOR,-0.7746313308936458,0.8934456472430551,0.2831917153478492,optimized_registration_topk,False
OPTIMIZED_TOPK_REGISTRATION_R22__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.434629443200201, -9.085251575843987, 39.531867294515386, 39.71731156213626]",True,1.0,0.807021499734155,-0.11374301115830487,0.14151044031271037,0.30467098458693553,69,COMPARATOR,-0.775641332301278,0.884989033592796,0.29175517790759425,optimized_registration_topk,False
OPTIMIZED_TOPK_REGISTRATION_R28__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.426572318137751, -9.085251575843987, 39.531896982440074, 39.71731156213626]",True,1.0,0.8147869955909451,-0.12950524597774676,0.1854312248735781,0.30468369066033707,70,COMPARATOR,-0.7779525536346868,0.8935047654238977,0.2851168348380244,optimized_registration_topk,False
OPTIMIZED_TOPK_REGISTRATION_R26__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.431960193249138, -9.085251575843987, 39.531877252210116, 39.719949775114095]",True,1.0,0.8076188966004939,-0.11688858430430234,0.14233899212004653,0.3047157988552869,71,COMPARATOR,-0.7783260108631084,0.8849648220464728,0.29371348911311734,optimized_registration_topk,False
