method_name,source_of_georef,projection_used,centers_or_edges,x_orientation,y_orientation,transform_family,uses_physical_axes,x_km_min,x_km_max,y_km_min,y_km_max,bbox_lonlat,contained_in_hres,overlap_fraction,bbox_iou_hres,center_distance_km,scale_x_ratio_vs_hres,scale_y_ratio_vs_hres,mask_iou_hres_bathy,source_details,candidate_notes
HRES_BBOX_SIMPLE_FULL_DOMAIN__local_lonlat_linear_km_midlat__centers__x_normal__y_normal,HResNew/planner full lon/lat bbox,local_lonlat_linear_km_midlat,centers,normal,normal,simple_bbox,False,-27.42719310747637,27.42719310747637,-26.214757630924353,26.214757630924353,"[-9.55555534362793, -8.916666984558105, 39.38888931274414, 39.86111068725586]",True,1.0,1.0,0.0,0.9999999999999817,0.9999999999999809,0.7230835693371094,Full HRes/planner projected bbox mapped to full tempRes grid.,
HRES_BBOX_SIMPLE_FULL_DOMAIN__local_lonlat_linear_km_midlat__centers__x_normal__y_flipped,HResNew/planner full lon/lat bbox,local_lonlat_linear_km_midlat,centers,normal,flipped,simple_bbox,False,-27.42719310747637,27.42719310747637,-26.214757630924353,26.214757630924353,"[-9.55555534362793, -8.916666984558105, 39.38888931274414, 39.86111068725586]",True,1.0,1.0,0.0,0.9999999999999817,0.9999999999999809,0.7162869642131434,Full HRes/planner projected bbox mapped to full tempRes grid.,
HRES_BBOX_SIMPLE_FULL_DOMAIN__local_lonlat_linear_km_midlat__centers__x_flipped__y_normal,HResNew/planner full lon/lat bbox,local_lonlat_linear_km_midlat,centers,flipped,normal,simple_bbox,False,-27.42719310747637,27.42719310747637,-26.214757630924353,26.214757630924353,"[-9.55555534362793, -8.916666984558105, 39.38888931274414, 39.86111068725586]",True,1.0,1.0,0.0,0.9999999999999817,0.9999999999999809,0.6618981481481482,Full HRes/planner projected bbox mapped to full tempRes grid.,
HRES_BBOX_SIMPLE_FULL_DOMAIN__local_lonlat_linear_km_midlat__centers__x_flipped__y_flipped,HResNew/planner full lon/lat bbox,local_lonlat_linear_km_midlat,centers,flipped,flipped,simple_bbox,False,-27.42719310747637,27.42719310747637,-26.214757630924353,26.214757630924353,"[-9.55555534362793, -8.916666984558105, 39.38888931274414, 39.86111068725586]",True,1.0,1.0,0.0,0.9999999999999817,0.9999999999999809,0.6618981481481482,Full HRes/planner projected bbox mapped to full tempRes grid.,
HRES_BBOX_SIMPLE_FULL_DOMAIN__local_lonlat_linear_km_midlat__edges__x_normal__y_normal,HResNew/planner full lon/lat bbox,local_lonlat_linear_km_midlat,edges,normal,normal,simple_bbox,False,-27.182307454731045,27.182307454731045,-25.80515204294116,25.80515204294116,"[-9.552703163453511, -8.919519164732524, 39.39257854223251, 39.85742145776749]",True,1.0,0.9755859375,0.0,0.9910714285714105,0.9843749999999811,0.709893373581966,Full HRes/planner projected bbox mapped to full tempRes grid.,
HRES_BBOX_SIMPLE_FULL_DOMAIN__local_lonlat_linear_km_midlat__edges__x_normal__y_flipped,HResNew/planner full lon/lat bbox,local_lonlat_linear_km_midlat,edges,normal,flipped,simple_bbox,False,-27.182307454731045,27.182307454731045,-25.80515204294116,25.80515204294116,"[-9.552703163453511, -8.919519164732524, 39.39257854223251, 39.85742145776749]",True,1.0,0.9755859375,0.0,0.9910714285714105,0.9843749999999811,0.7032591299287065,Full HRes/planner projected bbox mapped to full tempRes grid.,
HRES_BBOX_SIMPLE_FULL_DOMAIN__local_lonlat_linear_km_midlat__edges__x_flipped__y_normal,HResNew/planner full lon/lat bbox,local_lonlat_linear_km_midlat,edges,flipped,normal,simple_bbox,False,-27.182307454731045,27.182307454731045,-25.80515204294116,25.80515204294116,"[-9.552703163453511, -8.919519164732524, 39.39257854223251, 39.85742145776749]",True,1.0,0.9755859375,0.0,0.9910714285714105,0.9843749999999811,0.652565701244618,Full HRes/planner projected bbox mapped to full tempRes grid.,
HRES_BBOX_SIMPLE_FULL_DOMAIN__local_lonlat_linear_km_midlat__edges__x_flipped__y_flipped,HResNew/planner full lon/lat bbox,local_lonlat_linear_km_midlat,edges,flipped,flipped,simple_bbox,False,-27.182307454731045,27.182307454731045,-25.80515204294116,25.80515204294116,"[-9.552703163453511, -8.919519164732524, 39.39257854223251, 39.85742145776749]",True,1.0,0.9755859375,0.0,0.9910714285714105,0.9843749999999811,0.652565701244618,Full HRes/planner projected bbox mapped to full tempRes grid.,
AXES_FILIPA_ABS_KM_FULL__EPSG_32629_UTM29N_formula__centers__x_normal__y_normal,relative_km_display_assumed_filipa_xy_km_cropped_v1 manifest offsets + full geometry,EPSG_32629_UTM29N_formula,centers,normal,normal,physical_axes_absolute_utm,True,462.0,516.8543862149527,4376.0,4428.429515261849,"[-9.445207950096503, -8.802531773641778, 39.53281786288449, 40.00588902881353]",False,0.573183482924083,0.4002029518748761,18.744645789629157,0.9970171765107203,0.9975892977142422,0.4887687752940218,Interprets displayed x/y km offsets as absolute UTM-like km for the full tempRes grid.,
AXES_FILIPA_ABS_KM_FULL__EPSG_32629_UTM29N_formula__centers__x_normal__y_flipped,relative_km_display_assumed_filipa_xy_km_cropped_v1 manifest offsets + full geometry,EPSG_32629_UTM29N_formula,centers,normal,flipped,physical_axes_absolute_utm,True,462.0,516.8543862149527,4376.0,4428.429515261849,"[-9.445207950096503, -8.802531773641778, 39.53281786288449, 40.00588902881353]",False,0.573183482924083,0.4002029518748761,18.744645789629157,0.9970171765107203,0.9975892977142422,0.4887687752940218,Interprets displayed x/y km offsets as absolute UTM-like km for the full tempRes grid.,
AXES_FILIPA_ABS_KM_FULL__EPSG_32629_UTM29N_formula__centers__x_flipped__y_normal,relative_km_display_assumed_filipa_xy_km_cropped_v1 manifest offsets + full geometry,EPSG_32629_UTM29N_formula,centers,flipped,normal,physical_axes_absolute_utm,True,462.0,516.8543862149527,4376.0,4428.429515261849,"[-9.445207950096503, -8.802531773641778, 39.53281786288449, 40.00588902881353]",False,0.573183482924083,0.4002029518748761,18.744645789629157,0.9970171765107203,0.9975892977142422,0.4483255018062308,Interprets displayed x/y km offsets as absolute UTM-like km for the full tempRes grid.,
