projection,units,x_min,x_max,y_min,y_max,extent_x_km,extent_y_km,dx_mean_km,dx_std_km,dy_mean_km,dy_std_km,notes
EPSG_32629_UTM29N_formula,km,452.15778871986294,507.17628539905417,4359.933492255357,4412.489704899156,55.01849667919123,52.55621264379897,0.22942447476872105,0.0004526965021805985,0.29278599169761604,1.8078823785662446e-05,WGS84 / UTM zone 29N implemented by standard transverse Mercator formula; pyproj not required.
local_azimuthal_equidistant_spherical,km,-27.45236823562533,27.45236823562533,-26.254345960386647,26.30290212605724,54.90473647125066,52.55724808644389,0.2289465878257845,0.0004535467047477713,0.2933443368692766,1.673810682952582e-05,"Spherical azimuthal/equidistant projection centered at lon0=-9.23611116, lat0=39.62500000."
local_lonlat_linear_km_midlat,km,-27.42719310747637,27.42719310747637,-26.214757630924353,26.214757630924353,54.85438621495274,52.42951526184871,0.2295162603136098,2.1774253138990585e-06,0.2929023198985961,1.6710437632326446e-05,"Local lon/lat to km approximation centered at lon0=-9.23611116, lat0=39.62500000."
