case_id,date,mission_duration_requested_h,strategy,vehicles_with_iqr10,fleet_iqr10_collected_total,fleet_iqr10_raw_collected_total,fleet_iqr10_route_valid_cells,fleet_trajectory_length,mean_iqr10_collected_mean,mean_percentage_path_in_top10_IQR10,vehicle_rows,fleet_iqr10_collected_per_km,base_strategy,solver_status,solver_runtime,fleet_collected_STD,STD_retention,fleet_collected_boundary,fleet_region_A_coverage,fleet_region_B_coverage,region_balance,regime_specialization_score,trajectory_overlap_ratio,fleet_total_area_covered,recommendation_score,baseline_fleet_iqr10_collected_total,baseline_fleet_iqr10_collected_per_km,fleet_IQR10_retention_vs_baseline,fleet_IQR10_gain_vs_baseline,fleet_IQR10_gain_pct_vs_baseline,iqr10_baseline_comparison_exists
C01_representative,2024-08-24,12.0,baseline_shared_STD,2,195.2246551513672,317.1151123046875,308,74.862,0.6371614038944244,0.26991374936580415,2,2.6077937425044375,baseline_shared_STD,REUSED,1097.4673285484314,187.14154052734372,1.0,219.0780487060547,0.0,0.0235646958011996,0.0,0.0,0.0,308,0.4059366919176537,195.2246551513672,2.6077937425044375,1.0,0.0,0.0,True
C01_representative,2024-08-24,12.0,role_swap_of_vehicle_specific_7030,2,196.85028076171875,319.50164794921875,309,73.307,0.635902613401413,0.2825540472599296,2,2.6852862722757544,role_swap_of_vehicle_specific_7030,SUCCESS,2249.271994800016,166.7052459716797,0.89079765776173,206.6497039794922,0.0311750599520383,0.0377035132819194,0.9052179360959456,0.0,0.0032467532467532,308,0.4668845134700966,195.2246551513672,2.6077937425044375,1.0083269483001065,1.6256256103515625,0.8326948300106539,True
C01_representative,2024-08-24,12.0,vehicle_specific_00100,2,162.05582427978516,270.43479919433594,300,72.77199999999999,0.537423849105835,0.1331168831168831,2,2.226898041551492,vehicle_specific_00100,SUCCESS,245.7882604598999,131.2893524169922,0.70155109361093,215.5197296142578,0.0503597122302158,0.0325621251071122,0.7853691175377295,0.5344244837760925,0.0033444816053511,299,0.5038958225385947,195.2246551513672,2.6077937425044375,0.8300991703846801,-33.16883087158203,-16.990082961531996,True
C01_representative,2024-08-24,12.0,vehicle_specific_2575,2,183.0440673828125,298.50128173828125,296,73.832,0.6196016371250153,0.30272108843537415,2,2.4791969252195867,vehicle_specific_2575,SUCCESS,1152.2701621055603,144.20452117919922,0.7705639313048677,199.13623046875,0.0593525179856115,0.0368466152527849,0.76604879924382,0.6247317790985107,0.0033898305084745,295,0.5416364408737202,195.2246551513672,2.6077937425044375,0.9376073285461282,-12.180587768554688,-6.239267145387187,True
C01_representative,2024-08-24,12.0,vehicle_specific_5050,2,197.26419067382812,321.69166564941406,319,74.182,0.6206413209438324,0.29936305732484075,2,2.659192131161577,vehicle_specific_5050,SUCCESS,1845.552553653717,154.01061248779297,0.8229632611434555,212.4591827392578,0.0575539568345323,0.0381319622964867,0.7970234835550687,0.5797357857227325,0.0063091482649842,317,0.5514676370762152,195.2246551513672,2.6077937425044375,1.01044712063074,2.0395355224609375,1.0447120630739934,True
C01_representative,2024-08-24,12.0,vehicle_specific_6040,2,191.42401123046875,313.05169677734375,315,73.991,0.6146847903728485,0.2814569536423841,2,2.5871256129862923,vehicle_specific_6040,SUCCESS,2175.2819273471832,153.34605407714844,0.8194121606834942,214.5711975097656,0.0581534772182254,0.0385604113110539,0.7974120759166892,0.5937449336051941,0.0031847133757961,314,0.5536584489724294,195.2246551513672,2.6077937425044375,0.9805319470640037,-3.8006439208984375,-1.946805293599629,True
C01_representative,2024-08-24,12.0,vehicle_specific_7030,2,196.85028076171875,319.50164794921875,309,73.307,0.635902613401413,0.2825540472599296,2,2.6852862722757544,vehicle_specific_7030,SUCCESS,2488.207945585251,166.7052459716797,0.89079765776173,206.6497039794922,0.0311750599520383,0.0377035132819194,0.9052179360959456,0.4519859403371811,0.0032467532467532,308,0.5572795687121045,195.2246551513672,2.6077937425044375,1.0083269483001065,1.6256256103515625,0.8326948300106539,True
C01_representative,2024-08-24,12.0,vehicle_specific_8020,2,235.8031005859375,375.0697937011719,323,74.732,0.7314435541629791,0.4926160337552743,2,3.1553163381943143,vehicle_specific_8020,SUCCESS,2908.9695377349854,192.9847640991211,1.0312235517315491,190.08277130126956,0.0,0.0441302485004284,0.0,0.2911392450332641,0.0319488817891373,313,0.4754497707827619,195.2246551513672,2.6077937425044375,1.207855126715977,40.57844543457031,20.785512671597687,True
C01_representative,2024-08-24,12.0,vehicle_specific_9010,2,217.7911605834961,347.9904327392578,308,76.368,0.7102686166763306,0.4609582963620231,2,2.8518641392140176,vehicle_specific_9010,SUCCESS,2917.107344388962,188.0664291381836,1.0049421876523703,196.36910247802732,0.0,0.0325621251071122,0.0,0.1938775479793548,0.1,280,0.4384158315620267,195.2246551513672,2.6077937425044375,1.1155924973443134,22.566505432128906,11.559249734431337,True
C06_representative,2023-12-22,12.0,baseline_shared_STD,2,147.3219757080078,88.88003921508789,308,73.337,0.4786541163921356,0.08805668016194332,2,2.0088355906023945,baseline_shared_STD,REUSED,1288.429771900177,158.3267364501953,1.0,236.27835845947263,0.0394653087205601,0.0,0.0,0.1578947305679321,0.0,308,0.4316177229443139,147.3219757080078,2.0088355906023945,1.0,0.0,0.0,True
