strategy,w_STD,w_region,w_boundary,mean_STD_retention,mean_region_B_coverage,mean_specialization,mean_overlap,mean_runtime,mean_score
vehicle_specific_6040,0.6,0.4,0.0,0.883170502661215,0.03201888430214083,0.3816360930601756,0.33544642916942946,2889.6574097157377,0.5038662370532617
vehicle_specific_7030,0.7,0.3,0.0,0.8883266824767025,0.03132189827323283,0.33713261783123016,0.33553415264824665,2786.78468932842,0.5004144524920793
vehicle_specific_5050,0.5,0.5,0.0,0.8512222408826563,0.03228742131648157,0.38909538586934406,0.3365549509876569,2610.5202707845797,0.49664140058423295
vehicle_specific_2575,0.25,0.75,0.0,0.8281759158472856,0.032407443438620724,0.407205988963445,0.3355818450688204,1944.7296848685266,0.4933340457329858
role_swap_of_vehicle_specific_7030,0.7,0.3,0.0,0.89079765776173,0.037703513281919454,0.0,0.003246753246753247,2249.271994800016,0.46688451347009663
role_swap_of_vehicle_specific_6040,0.6,0.4,0.0,0.8564637622552055,0.03825586178527355,0.0,0.0031545741324921135,2739.4581715000386,0.45079416651022597
baseline_shared_STD,1.0,0.0,0.0,1.0,0.020973339380010083,0.05263157685597738,0.007407407407407408,1201.0105464161995,0.44840402319788025
vehicle_specific_8020,0.8,0.2,0.0,1.0133239641738814,0.021123542770174464,0.18313912550608316,0.3658976088086052,2710.696667589713,0.44266898599201104
vehicle_specific_9010,0.9,0.1,0.0,1.0181728122430058,0.01726750163906907,0.12806670864423117,0.4191697191697192,2738.7691598436795,0.42681751583935634
vehicle_specific_00100,0.0,1.0,0.0,0.49541851041373713,0.022371935573205798,0.342903400460879,0.0022149372127848233,179.9313985532984,0.4135215037624896
role_swap_of_vehicle_specific_2575,0.25,0.75,0.0,0.9736355850449453,0.01924037981009495,0.0,1.0,3101.7151431000093,0.3969168853839723
