run_id,strategy,base_strategy,case_id,vehicle_id,mission_duration_requested_h,solver_status,solver_runtime,collected_STD,collected_region_A,collected_region_B,collected_boundary,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,crossing_count,regions_visited,trajectory_length,mission_duration,sampled_cells
C06_representative__proxy_12h__vehicle_specific_9010__AUV2_region_B,vehicle_specific_9010,vehicle_specific_9010,C06_representative,2,12.0,REUSED,937.7679975032806,87.97030639648438,21.0,0.0,123.94281005859375,0.1304347813129425,0.0,0.2484472095966339,0,1,37.134,10.716666666666667,161
C06_representative__proxy_12h__vehicle_specific_8020__AUV1_region_A,vehicle_specific_8020,vehicle_specific_8020,C06_representative,1,12.0,REUSED,969.6334271430969,78.24473571777344,78.0,0.0,111.7708740234375,0.5165562629699707,0.0,0.0397351011633873,0,1,35.485,10.183333333333334,151
C06_representative__proxy_12h__vehicle_specific_8020__AUV2_region_B,vehicle_specific_8020,vehicle_specific_8020,C06_representative,2,12.0,REUSED,928.7953023910522,85.64128875732422,26.0,0.0,120.60001373291016,0.1656050980091095,0.0,0.2292993664741516,0,1,36.921,10.683333333333334,157
C06_representative__proxy_12h__vehicle_specific_7030__AUV1_region_A,vehicle_specific_7030,vehicle_specific_7030,C06_representative,1,12.0,SUCCESS,1182.9569596000074,79.52159118652344,77.0,0.0,113.21941375732422,0.5065789222717285,0.0,0.03947368264198303,0,1,36.367,10.433333333333334,152
C06_representative__proxy_12h__vehicle_specific_7030__AUV2_region_B,vehicle_specific_7030,vehicle_specific_7030,C06_representative,2,12.0,SUCCESS,1351.7671548000071,47.22637176513672,0.0,90.0,46.35810089111328,0.0,0.6122449040412903,0.0,0,1,36.154,10.366666666666667,147
C06_representative__proxy_12h__vehicle_specific_5050__AUV1_region_A,vehicle_specific_5050,vehicle_specific_5050,C06_representative,1,12.0,SUCCESS,1030.2779692999902,73.36639404296875,80.0,0.0,108.08901977539062,0.5517241358757019,0.0,0.027586206793785095,0,1,35.382,10.166666666666666,145
C06_representative__proxy_12h__vehicle_specific_5050__AUV2_region_B,vehicle_specific_5050,vehicle_specific_5050,C06_representative,2,12.0,SUCCESS,1625.4384646000108,46.4976921081543,0.0,96.0,50.22557067871094,0.0,0.6233766078948975,0.0,0,1,37.659,10.733333333333333,154
C06_representative__proxy_12h__vehicle_specific_00100__AUV1_region_A,vehicle_specific_00100,vehicle_specific_00100,C06_representative,1,12.0,SUCCESS,117.37173999997322,78.92684936523438,66.0,0.0,114.90667724609375,0.4285714328289032,0.0,0.025974025949835777,0,1,35.741,10.016666666666667,154
C06_representative__proxy_12h__vehicle_specific_00100__AUV2_region_B,vehicle_specific_00100,vehicle_specific_00100,C06_representative,2,12.0,SUCCESS,163.9549021999992,45.312843322753906,0.0,84.0,60.66895294189453,0.0,0.5600000023841858,0.0,0,1,37.903,10.7,150
C06_representative__proxy_12h__vehicle_specific_6040__AUV1_region_A,vehicle_specific_6040,vehicle_specific_6040,C06_representative,1,12.0,SUCCESS,1378.7182251999911,85.33065032958984,82.0,0.0,120.05717468261719,0.5061728358268738,0.0,0.043209876865148544,0,1,36.633,10.55,162
C06_representative__proxy_12h__vehicle_specific_6040__AUV2_region_B,vehicle_specific_6040,vehicle_specific_6040,C06_representative,2,12.0,SUCCESS,1672.9667579000234,50.27046203613281,0.0,93.0,52.717987060546875,0.0,0.5961538553237915,0.0,0,1,36.159,10.366666666666667,156
C06_representative__proxy_12h__vehicle_specific_2575__AUV1_region_A,vehicle_specific_2575,vehicle_specific_2575,C06_representative,1,12.0,SUCCESS,721.8224268000049,69.11137390136719,79.0,0.0,105.95219421386719,0.5486111044883728,0.0,0.013888888992369175,0,1,35.264,10.1,144
C06_representative__proxy_12h__vehicle_specific_2575__AUV2_region_B,vehicle_specific_2575,vehicle_specific_2575,C06_representative,2,12.0,SUCCESS,687.7151318000106,48.102378845214844,0.0,100.0,52.877140045166016,0.0,0.6451612710952759,0.0,0,1,37.862,10.85,155
October_control__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,October_control,1,12.0,SUCCESS,1217.13453879999,91.37213134765625,163.0,163.0,0.0,1.0,1.0,1.0,0,2,37.974,10.883333333333333,163
October_control__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,October_control,2,12.0,SUCCESS,1217.13453879999,90.6125717163086,159.0,159.0,0.0,1.0,1.0,1.0,0,2,39.091,11.283333333333333,159
October_control__proxy_12h__vehicle_specific_9010__AUV1_region_A,vehicle_specific_9010,vehicle_specific_9010,October_control,1,12.0,SUCCESS,1659.2699481000018,88.59339141845703,154.0,154.0,0.0,1.0,1.0,1.0,0,2,37.587,10.85,154
October_control__proxy_12h__vehicle_specific_9010__AUV2_region_B,vehicle_specific_9010,vehicle_specific_9010,October_control,2,12.0,SUCCESS,1640.9850226000126,88.59339141845703,154.0,154.0,0.0,1.0,1.0,1.0,0,2,37.587,10.85,154
October_control__proxy_12h__vehicle_specific_8020__AUV1_region_A,vehicle_specific_8020,vehicle_specific_8020,October_control,1,12.0,SUCCESS,1638.2774251000083,88.59339141845703,154.0,154.0,0.0,1.0,1.0,1.0,0,2,37.587,10.85,154
October_control__proxy_12h__vehicle_specific_8020__AUV2_region_B,vehicle_specific_8020,vehicle_specific_8020,October_control,2,12.0,SUCCESS,1686.4143103999959,88.59339141845703,154.0,154.0,0.0,1.0,1.0,1.0,0,2,37.587,10.85,154
October_control__proxy_12h__vehicle_specific_7030__AUV1_region_A,vehicle_specific_7030,vehicle_specific_7030,October_control,1,12.0,SUCCESS,1639.7848402999807,88.59339141845703,154.0,154.0,0.0,1.0,1.0,1.0,0,2,37.587,10.85,154
October_control__proxy_12h__vehicle_specific_7030__AUV2_region_B,vehicle_specific_7030,vehicle_specific_7030,October_control,2,12.0,SUCCESS,1697.6371677000134,88.59339141845703,154.0,154.0,0.0,1.0,1.0,1.0,0,2,37.587,10.85,154
October_control__proxy_12h__vehicle_specific_6040__AUV1_region_A,vehicle_specific_6040,vehicle_specific_6040,October_control,1,12.0,SUCCESS,1751.763964200014,88.59339141845703,154.0,154.0,0.0,1.0,1.0,1.0,0,2,37.587,10.85,154
October_control__proxy_12h__vehicle_specific_6040__AUV2_region_B,vehicle_specific_6040,vehicle_specific_6040,October_control,2,12.0,SUCCESS,1690.2413545000018,88.59339141845703,154.0,154.0,0.0,1.0,1.0,1.0,0,2,37.587,10.85,154
October_control__proxy_12h__vehicle_specific_00100__AUV1_region_A,vehicle_specific_00100,vehicle_specific_00100,October_control,1,12.0,FAILED,6.792259800015017,,,,,,,,0,0,,,0
October_control__proxy_12h__vehicle_specific_00100__AUV2_region_B,vehicle_specific_00100,vehicle_specific_00100,October_control,2,12.0,FAILED,5.887033200007863,,,,,,,,0,0,,,0
October_control__proxy_12h__vehicle_specific_5050__AUV1_region_A,vehicle_specific_5050,vehicle_specific_5050,October_control,1,12.0,SUCCESS,1762.9551019000064,88.59339141845703,154.0,154.0,0.0,1.0,1.0,1.0,0,2,37.587,10.85,154
October_control__proxy_12h__vehicle_specific_5050__AUV2_region_B,vehicle_specific_5050,vehicle_specific_5050,October_control,2,12.0,SUCCESS,1567.3367229000141,88.59339141845703,154.0,154.0,0.0,1.0,1.0,1.0,0,2,37.587,10.85,154
October_control__proxy_12h__vehicle_specific_2575__AUV1_region_A,vehicle_specific_2575,vehicle_specific_2575,October_control,1,12.0,SUCCESS,1749.6138519000087,88.59339141845703,154.0,154.0,0.0,1.0,1.0,1.0,0,2,37.587,10.85,154
October_control__proxy_12h__vehicle_specific_2575__AUV2_region_B,vehicle_specific_2575,vehicle_specific_2575,October_control,2,12.0,SUCCESS,1522.7674819999957,88.59339141845703,154.0,154.0,0.0,1.0,1.0,1.0,0,2,37.587,10.85,154
C01_representative__proxy_12h__role_swap_of_vehicle_specific_7030__AUV1_region_B,role_swap_of_vehicle_specific_7030,role_swap_of_vehicle_specific_7030,C01_representative,1,12.0,SUCCESS,1169.898920000007,88.82560729980469,0.0,88.0,80.10212707519531,0.0,0.5641025900840759,0.0,0,1,36.314,10.483333333333333,156
C01_representative__proxy_12h__role_swap_of_vehicle_specific_7030__AUV2_region_A,role_swap_of_vehicle_specific_7030,role_swap_of_vehicle_specific_7030,C01_representative,2,12.0,SUCCESS,1079.373074800009,77.879638671875,52.0,0.0,126.54757690429688,0.33986929059028625,0.0,0.026143791154026985,0,1,36.993,10.683333333333334,153
C06_representative__proxy_12h__role_swap_of_vehicle_specific_6040__AUV1_region_B,role_swap_of_vehicle_specific_6040,role_swap_of_vehicle_specific_6040,C06_representative,1,12.0,SUCCESS,1546.576194000023,50.27046203613281,0.0,93.0,52.717987060546875,0.0,0.5961538553237915,0.0,0,1,36.159,10.366666666666667,156
C06_representative__proxy_12h__role_swap_of_vehicle_specific_6040__AUV2_region_A,role_swap_of_vehicle_specific_6040,role_swap_of_vehicle_specific_6040,C06_representative,2,12.0,SUCCESS,1192.8819775000156,85.33065032958984,82.0,0.0,120.05717468261719,0.5061728358268738,0.0,0.043209876865148544,0,1,36.633,10.55,162
October_control__proxy_12h__role_swap_of_vehicle_specific_2575__AUV1_region_B,role_swap_of_vehicle_specific_2575,role_swap_of_vehicle_specific_2575,October_control,1,12.0,SUCCESS,1612.1622454999888,88.59339141845703,154.0,154.0,0.0,1.0,1.0,1.0,0,2,37.587,10.85,154
October_control__proxy_12h__role_swap_of_vehicle_specific_2575__AUV2_region_A,role_swap_of_vehicle_specific_2575,role_swap_of_vehicle_specific_2575,October_control,2,12.0,SUCCESS,1489.5528976000205,88.59339141845703,154.0,154.0,0.0,1.0,1.0,1.0,0,2,37.587,10.85,154
