run_id,command,returncode,runtime_s,runtime_source,status,error,input_nc,solver_status,solver_runtime_s,solver_gap,run_dir,path,temperr_shape,finite_cells,temperr_min,temperr_max,landt_valid_cells
C01_representative__proxy_12h__vehicle_specific_5050__AUV2_region_B,REUSED_EXISTING,0,846.5438129901886,estimated_from_file_timestamps,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C01_representative__prox__da49a03187.nc,REUSED,846.5438129901886,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C01_representative__prox__da49a03187,,,,,,
C01_representative__proxy_12h__vehicle_specific_2575__AUV1_region_A,REUSED_EXISTING,0,626.8918209075928,estimated_from_file_timestamps,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C01_representative__prox__f6e909d3d1.nc,REUSED,626.8918209075928,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C01_representative__prox__f6e909d3d1,,,,,,
C01_representative__proxy_12h__vehicle_specific_2575__AUV2_region_B,REUSED_EXISTING,0,525.3783411979675,estimated_from_file_timestamps,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C01_representative__prox__b1798d2297.nc,REUSED,525.3783411979675,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C01_representative__prox__b1798d2297,,,,,,
C06_representative__multi_auv_12h__baseline_shared_STD,REUSED_EXISTING,0,1288.429771900177,estimated_from_file_timestamps,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__mult__80ba3084f7.nc,REUSED,1288.429771900177,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C06_representative__mult__80ba3084f7,,,,,,
C01_representative__proxy_12h__vehicle_specific_00100__AUV1_region_A,REUSED_EXISTING,0,111.66580629348755,estimated_from_file_timestamps,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C01_representative__prox__b237872394.nc,REUSED,111.66580629348755,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C01_representative__prox__b237872394,,,,,,
C01_representative__proxy_12h__vehicle_specific_00100__AUV2_region_B,REUSED_EXISTING,0,134.12245416641235,estimated_from_file_timestamps,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C01_representative__prox__623889d9da.nc,REUSED,134.12245416641235,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C01_representative__prox__623889d9da,,,,,,
C06_representative__proxy_12h__vehicle_specific_9010__AUV1_region_A,REUSED_EXISTING,0,1061.1771669387817,estimated_from_file_timestamps,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__7197c79d46.nc,REUSED,1061.1771669387817,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C06_representative__prox__7197c79d46,,,,,,
C06_representative__proxy_12h__vehicle_specific_9010__AUV2_region_B,REUSED_EXISTING,0,937.7679975032806,estimated_from_file_timestamps,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__dc363b55a7.nc,REUSED,937.7679975032806,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C06_representative__prox__dc363b55a7,,,,,,
C06_representative__proxy_12h__vehicle_specific_8020__AUV1_region_A,REUSED_EXISTING,0,969.6334271430969,estimated_from_file_timestamps,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__1ea7e508f6.nc,REUSED,969.6334271430969,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C06_representative__prox__1ea7e508f6,,,,,,
C06_representative__proxy_12h__vehicle_specific_8020__AUV2_region_B,REUSED_EXISTING,0,928.7953023910522,estimated_from_file_timestamps,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__8618a62204.nc,REUSED,928.7953023910522,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C06_representative__prox__8618a62204,,,,,,
