run_id,strategy,base_strategy,case_id,mission_duration_requested_h,role_assignment,w_STD,w_region,w_boundary,solver_status,solver_runtime,fleet_collected_STD,fleet_collected_boundary,fleet_region_A_coverage,fleet_region_B_coverage,region_A_coverage,region_B_coverage,region_balance,regime_specialization_score,inter_vehicle_mean_distance,inter_vehicle_min_distance,inter_vehicle_mean_distance_cells,inter_vehicle_min_distance_cells,trajectory_overlap_ratio,duplicate_sampled_cells,fleet_total_area_covered,auv1_total_reward,auv2_total_reward_original_map,auv2_total_reward_penalized_map,fleet_total_reward,reward_loss_due_to_penalty,overlap_penalty_enabled,lambda_overlap,lambda_proximity,proximity_sigma_cells,proximity_radius_cells,penalty_mode,auv2_original_map_file,auv2_penalized_map_file,auv1_visited_mask_file,auv1_proximity_penalty_file,complementarity_score,baseline_fleet_STD,baseline_runtime,STD_retention,STD_loss_relative_to_baseline,region_B_coverage_gain,runtime_score,recommendation_score
C01_representative__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,C01_representative,12.0,shared_STD,1.0,0.0,0.0,REUSED,1097.4673285484314,187.14154052734375,219.0780487060547,0.0,0.02356469580119966,0.0,0.02356469580119966,0.0,0.0,19.07207243052501,1.0,19.07207243052501,1.0,0.0,0,308,,,,,,False,0.0,0.0,,,,,,,,0.2582476435304199,187.14154052734375,1097.4673285484314,1.0,0.0,0.0,0.0009103593470744816,0.4059366919176537
C01_representative__proxy_12h__vehicle_specific_9010,vehicle_specific_9010,vehicle_specific_9010,C01_representative,12.0,AUV1=region_A;AUV2=region_B,0.9,0.1,0.0,SUCCESS,2917.107344388962,188.0664291381836,196.36910247802734,0.0,0.032562125107112254,0.0,0.032562125107112254,0.0,0.19387754797935486,4.036030080699155,0.0,4.036030080699155,0.0,0.1,28,280,93.36080634593964,96.0666885972023,96.0666885972023,189.42749494314194,0.0,False,0.0,0.0,,,,,,,,0.28486613078232803,187.14154052734375,1097.4673285484314,1.0049421876523705,-0.004942187652370533,0.008997429305912595,0.00034268787333092276,0.43841583156202674
C01_representative__proxy_12h__vehicle_specific_8020,vehicle_specific_8020,vehicle_specific_8020,C01_representative,12.0,AUV1=region_A;AUV2=region_B,0.8,0.2,0.0,SUCCESS,2908.9695377349854,192.9847640991211,190.08277130126953,0.0,0.044130248500428446,0.0,0.044130248500428446,0.0,0.29113924503326416,4.226171668758784,0.0,4.226171668758784,0.0,0.03194888178913738,10,313,95.78807979822159,104.59304001927376,104.59304001927376,200.38111981749535,0.0,False,0.0,0.0,,,,,,,,0.3302431777861817,187.14154052734375,1097.4673285484314,1.0312235517315493,-0.031223551731549337,0.020565552699228787,0.00034364620901783177,0.4754497707827619
C01_representative__proxy_12h__vehicle_specific_7030,vehicle_specific_7030,vehicle_specific_7030,C01_representative,12.0,AUV1=region_A;AUV2=region_B,0.7,0.3,0.0,SUCCESS,2488.207945585251,166.7052459716797,206.6497039794922,0.03117505995203837,0.037703513281919454,0.03117505995203837,0.037703513281919454,0.9052179360959456,0.4519859403371811,25.739145909682115,0.0,25.739145909682115,0.0,0.003246753246753247,1,308,79.49289560317993,99.89399620890617,99.89399620890617,179.3868918120861,0.0,False,0.0,0.0,,,,,,,,0.522074987818884,187.14154052734375,1097.4673285484314,0.89079765776173,0.10920234223826997,0.014138817480719795,0.00040173421500343346,0.5572795687121045
C01_representative__proxy_12h__vehicle_specific_6040,vehicle_specific_6040,vehicle_specific_6040,C01_representative,12.0,AUV1=region_A;AUV2=region_B,0.6,0.4,0.0,SUCCESS,2175.2819273471832,153.34605407714844,214.57119750976562,0.05815347721822542,0.038560411311053984,0.05815347721822542,0.038560411311053984,0.7974120759166892,0.5937449336051941,29.4540475268753,0.0,29.4540475268753,0.0,0.0031847133757961785,1,314,88.0944953262806,97.31445410847664,97.31445410847664,185.40894943475723,0.0,False,0.0,0.0,,,,,,,,0.5511017274301007,187.14154052734375,1097.4673285484314,0.8194121606834942,0.1805878393165058,0.014995715509854325,0.0004594992897905316,0.5536584489724294
C01_representative__proxy_12h__vehicle_specific_5050,vehicle_specific_5050,vehicle_specific_5050,C01_representative,12.0,AUV1=region_A;AUV2=region_B,0.5,0.5,0.0,SUCCESS,1845.552553653717,154.01061248779297,212.4591827392578,0.05755395683453238,0.038131962296486716,0.05755395683453238,0.038131962296486716,0.7970234835550687,0.5797357857227325,29.035870873262226,0.0,29.035870873262226,0.0,0.006309148264984227,2,317,87.69501186907291,97.32374757528305,97.32374757528305,185.01875944435596,0.0,False,0.0,0.0,,,,,,,,0.546400253593554,187.14154052734375,1097.4673285484314,0.8229632611434555,0.17703673885654447,0.014567266495287057,0.0005415497100374049,0.5514676370762152
C01_representative__proxy_12h__vehicle_specific_2575,vehicle_specific_2575,vehicle_specific_2575,C01_representative,12.0,AUV1=region_A;AUV2=region_B,0.25,0.75,0.0,SUCCESS,1152.2701621055603,144.20452117919922,199.13623046875,0.05935251798561151,0.03684661525278492,0.05935251798561151,0.03684661525278492,0.76604879924382,0.6247317790985107,29.664216286140288,0.0,29.664216286140288,0.0,0.003389830508474576,1,295,93.93422393128276,89.00972839444876,89.00972839444876,182.94395232573152,0.0,False,0.0,0.0,,,,,,,,0.5539125036675208,187.14154052734375,1097.4673285484314,0.7705639313048677,0.22943606869513233,0.013281919451585258,0.0008670995165384923,0.5416364408737202
C06_representative__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,C06_representative,12.0,shared_STD,1.0,0.0,0.0,REUSED,1288.429771900177,158.3267364501953,236.27835845947266,0.03946530872056015,0.0,0.03946530872056015,0.0,0.0,0.15789473056793213,8.983500873530405,1.0,8.983500873530405,1.0,0.0,0,308,,,,,,False,0.0,0.0,,,,,,,,0.3032865406941791,158.3267364501953,1288.429771900177,1.0,0.0,0.0,0.0007755366145504327,0.4316177229443139
C01_representative__proxy_12h__vehicle_specific_00100,vehicle_specific_00100,vehicle_specific_00100,C01_representative,12.0,AUV1=region_A;AUV2=region_B,0.0,1.0,0.0,SUCCESS,245.7882604598999,131.2893524169922,215.5197296142578,0.050359712230215826,0.032562125107112254,0.050359712230215826,0.032562125107112254,0.7853691175377295,0.5344244837760925,31.894347189162257,0.0,31.894347189162257,0.0,0.0033444816053511705,1,299,84.0,76.0,76.0,160.0,0.0,False,0.0,0.0,,,,,,,,0.5295980112414096,187.14154052734375,1097.4673285484314,0.70155109361093,0.29844890638906996,0.008997429305912595,0.004052056601624646,0.5038958225385947
C06_representative__proxy_12h__vehicle_specific_9010,vehicle_specific_9010,vehicle_specific_9010,C06_representative,12.0,AUV1=region_A;AUV2=region_B,0.9,0.1,0.0,SUCCESS,1998.9451644420624,170.3501739501953,241.41709899902344,0.04328453214513049,0.0,0.04328453214513049,0.0,0.0,0.19032257795333862,3.1775599432960515,0.0,3.1775599432960515,0.0,0.1575091575091575,43,273,86.15726988017559,81.09796328097582,81.09796328097582,167.2552331611514,0.0,False,0.0,0.0,,,,,,,,0.27335294136184096,158.3267364501953,1288.429771900177,1.0759406640317013,-0.0759406640317013,0.0,0.000500013709265362,0.44512079973472574
