mission_duration_requested_h,strategy,mean_fleet_STD,mean_region_B_coverage,mean_specialization,mean_runtime,success_rate
12.0,baseline_shared_STD,175.81766001383463,0.020973339380010083,0.05263157685597738,1201.0105464161995,1.0
12.0,role_swap_of_vehicle_specific_2575,177.18678283691406,0.01924037981009495,0.0,3101.7151431000093,1.0
12.0,role_swap_of_vehicle_specific_6040,135.60111236572266,0.03825586178527355,0.0,2739.4581715000386,1.0
12.0,role_swap_of_vehicle_specific_7030,166.7052459716797,0.037703513281919454,0.0,2249.271994800016,1.0
12.0,vehicle_specific_00100,85.17634836832683,0.022371935573205798,0.342903400460879,179.9313985532984,0.6666666666666666
12.0,vehicle_specific_2575,146.2016855875651,0.032407443438620724,0.407205988963445,1944.7296848685266,1.0
12.0,vehicle_specific_5050,150.35382715861002,0.03228742131648157,0.38909538586934406,2610.5202707845797,1.0
12.0,vehicle_specific_6040,155.37798309326172,0.03201888430214083,0.3816360930601756,2889.6574097157377,1.0
12.0,vehicle_specific_7030,156.87999725341797,0.03132189827323283,0.33713261783123016,2786.78468932842,1.0
12.0,vehicle_specific_8020,178.0191904703776,0.021123542770174464,0.18313912550608316,2710.696667589713,1.0
12.0,vehicle_specific_9010,178.53446197509766,0.01726750163906907,0.12806670864423117,2738.7691598436795,1.0
