patch_w,patch_h,seed,dictionary_size,include_valid_mask,mask_encoding,feature_mode,patches_per_image,total_patches,patch_vector_length,feature_vector_length,number_of_classes,class_sizes,icv_class_01,icv_class_02,icv_class_03,icv_class_04,mean_icv,std_icv,min_class_size,mean_class_size,max_class_size,runtime_seconds,notes
16,16,11,4,True,concat,raw,5814,2151180,512,23256,4,"[144, 58, 70, 98]",4166.1220703125,529.7848510742188,1356.84033203125,1642.740966796875,1923.872055053711,1357.5459409284913,58,92.5,144,846.5537058999907,ok
16,16,23,4,True,concat,raw,5814,2151180,512,23256,4,"[154, 129, 56, 31]",4465.9404296875,1657.04638671875,752.2675170898438,491.7579040527344,1841.753059387207,1575.590490552141,31,92.5,154,866.5618970000069,ok
16,16,37,4,True,concat,raw,5814,2151180,512,23256,4,"[145, 98, 79, 48]",1855.011474609375,1902.5496826171875,1467.867919921875,1281.0382080078125,1626.6168212890625,261.2129654461627,48,92.5,145,974.4318593999924,ok
16,16,53,4,True,concat,raw,5814,2151180,512,23256,4,"[112, 112, 98, 48]",2303.266357421875,2081.63720703125,1237.4212646484375,1281.0382080078125,1725.8407592773438,473.39580320708063,48,92.5,112,1020.6332354000042,ok
16,16,71,4,True,concat,raw,5814,2151180,512,23256,4,"[170, 64, 112, 24]",2719.91162109375,1720.4571533203125,2193.633544921875,1023.654541015625,1914.4142150878904,624.0716393167431,24,92.5,170,875.1009986999998,ok
24,16,11,4,True,concat,raw,5358,1982460,768,21432,4,"[84, 125, 107, 54]",1648.7490234375,3723.7119140625,848.02490234375,1792.9984130859375,2003.3710632324216,1056.457623091541,54,92.5,125,826.5480141000007,ok
24,16,23,4,True,concat,raw,5358,1982460,768,21432,4,"[28, 104, 142, 96]",218.8685760498047,2836.107666015625,1463.401611328125,1927.1004638671875,1611.3695793151855,943.4806484660874,28,92.5,142,724.1152060999884,ok
24,16,37,4,True,concat,raw,5358,1982460,768,21432,4,"[104, 170, 68, 28]",2101.269287109375,2719.91162109375,1865.0865478515625,1587.8197021484375,2068.521789550781,417.6845417393722,28,92.5,170,794.131939999992,ok
24,16,53,4,True,concat,raw,5358,1982460,768,21432,4,"[166, 92, 60, 52]",2054.060302734375,1979.0771484375,1606.236083984375,616.6181640625,1563.9979248046875,572.6614115925158,52,92.5,166,801.9936852999963,ok
24,16,71,4,True,concat,raw,5358,1982460,768,21432,4,"[123, 99, 69, 79]",1263.0970458984375,1869.688720703125,1940.166259765625,1458.173095703125,1632.7812805175781,281.8532917196146,69,92.5,123,735.2484440999979,ok
32,20,11,4,True,concat,raw,4558,1686460,1280,18232,4,"[151, 93, 56, 70]",1681.3916015625,2497.58447265625,752.2675170898438,1431.6766357421875,1590.7300567626953,624.2839635342442,56,92.5,151,867.1024593000038,ok
32,20,23,4,True,concat,raw,4558,1686460,1280,18232,4,"[145, 100, 77, 48]",1809.025390625,1930.2099609375,1398.860107421875,1306.70458984375,1611.2000122070312,263.9639772485969,48,92.5,145,969.6821524999978,ok
32,20,37,4,True,concat,raw,4558,1686460,1280,18232,4,"[120, 113, 90, 47]",4060.73681640625,1225.260009765625,2540.97607421875,555.4957275390625,2095.617156982422,1340.6654525046465,47,92.5,120,536.8740190000099,ok
