patch_w,patch_h,executed_runs,dictionary_size,include_valid_mask,mask_encoding,feature_mode,patches_per_image,total_patches,patch_vector_length,feature_vector_length,mean_icv_mean,mean_icv_std,std_icv_mean,std_icv_std,min_class_size_mean,min_class_size_min,mean_class_size_mean,max_class_size_mean,runtime_mean_seconds,runtime_std_seconds,requested_runs,reduced_seed_count
16,16,5,4,True,concat,raw,5814,2151180,512,23256,1806.499382019043,127.99250604715276,858.3633678901239,575.1693728333685,41.8,24,92.5,145.0,916.6563392799987,76.32149817836576,5,False
24,16,5,4,True,concat,raw,5358,1982460,768,21432,1776.0083274841304,239.70098785928107,654.4275033218262,334.1872247282829,46.2,28,92.5,145.2,776.4074579199951,44.473114602047126,5,False
32,20,5,4,True,concat,raw,4558,1686460,1280,18232,1685.3003143310548,238.90267177731783,627.0872316954432,440.39703249298566,49.6,47,92.5,142.2,716.1865845799999,190.16623134771504,5,False
40,24,5,4,True,concat,raw,3822,1414140,1920,15288,1582.255633544922,79.30414631134742,716.4019692937304,258.38280858642304,51.6,48,92.5,143.8,737.447518519999,145.3364149322754,5,False
48,32,5,4,True,concat,raw,2870,1061900,3072,11480,1611.9150451660157,85.44192162552804,755.0412017571199,236.19962231007892,52.0,49,92.5,134.8,727.7151657600014,62.48873290894737,5,False
56,32,5,4,True,concat,raw,2542,940540,3584,10168,1828.5021087646485,223.9482722220561,640.6341724154993,209.13257784967695,61.4,54,92.5,120.4,692.65139088,70.83967970949749,5,False
64,36,5,4,True,concat,raw,1998,739260,4608,7992,1894.2869873046875,151.84809181214254,787.5020392014276,476.31071629120413,44.0,18,92.5,150.8,598.4250359199999,31.602319021730423,5,False
72,40,5,4,True,concat,raw,1518,561660,5760,6072,1776.092804336548,193.04947930838014,1018.4218490280807,247.31160037382563,31.6,13,92.5,152.0,448.2178184200049,29.908219327490677,5,False
80,44,5,4,True,concat,raw,1102,407740,7040,4408,2046.271728515625,249.44391414406527,869.7202916347873,604.8572295625249,49.4,40,92.5,153.6,412.6660168200004,19.255474536808396,5,False
