run_id,strategy,case_id,fleet_collected_STD,fleet_collected_boundary,fleet_region_A_coverage,fleet_region_B_coverage,fleet_region_coverage,trajectory_overlap_ratio,duplicate_sampled_cells,inter_vehicle_min_distance,inter_vehicle_mean_distance,complementarity_score,fleet_total_area_covered,solver_status,solver_runtime,formulation,source,std_weight,region_weight
C06_representative__multi_auv_12h__baseline_STD,baseline_STD,C06_representative,161.41756439208984,230.79408264160156,0.051559516231699555,0.0,0.051559516231699555,0.0,0,1.0,10.628886005094492,0.5257797581158498,314,REUSED_STEP11Z,0.0,native 2-AUV shared STD; reused from Step11Z when available,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_runs\C06_representative__multi_auv_12h__baselin__0a48d873ac,,
C06_representative__multi_auv_12h__prototype_boundary_alpha050,prototype_boundary_alpha050,C06_representative,145.07357025146484,222.25330352783203,0.022915340547422024,0.0,0.022915340547422024,0.0,0,1.0,12.384967713883148,0.511457670273711,298,SUCCESS,218.43537799999467,native 2-AUV shared 0.5*STD + 0.5*prototype_boundary,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260526_231050\planner_runs\C06_representative__multi_auv_12h__prototy__ff4ce28e41,,
C06_representative__multi_auv_12h__vehicle_specific_conservative,vehicle_specific_conservative,C06_representative,159.17945098876953,228.21246337890625,0.06301718650541056,0.0,0.06301718650541056,0.04391891891891892,13,0.0,5.768730405531398,0.5095491337932458,296,SUCCESS,565.6935811000003,proxy pair: AUV1=0.8*STD+0.2*region_A; AUV2=0.8*STD+0.2*region_B,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260526_231050\planner_runs\C06_representative__multi_auv_12h__vehicle__5402996485; results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260526_231050\planner_runs\C06_representative__multi_auv_12h__vehicle__dc06fc15e3,0.8,0.2
C06_representative__multi_auv_12h__vehicle_specific_balanced,vehicle_specific_balanced,C06_representative,122.23211669921875,152.21387481689453,0.047740292807129214,0.03290826820238585,0.08064856100951506,0.0035587188612099642,1,0.0,32.12726985157947,0.5385449210741525,281,SUCCESS,569.1204678000067,proxy pair: AUV1=0.7*STD+0.3*region_A; AUV2=0.7*STD+0.3*region_B,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260526_231050\planner_runs\C06_representative__multi_auv_12h__vehicle__013efbfe5f; results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260526_231050\planner_runs\C06_representative__multi_auv_12h__vehicle__d4fb7de3ee,0.7,0.3
C06_representative__multi_auv_12h__vehicle_specific_strong_regime,vehicle_specific_strong_regime,C06_representative,130.47124481201172,160.97039031982422,0.0241884150222788,0.03537638831756479,0.05956480333984359,0.0033222591362126247,1,0.0,27.57952058024319,0.5281212721018155,301,SUCCESS,0.0,proxy pair: AUV1=0.6*STD+0.4*region_A; AUV2=0.6*STD+0.4*region_B,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_runs\C06_representative__multi_auv_12h__prototy__06cd72ee29; results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_runs\C06_representative__multi_auv_12h__prototy__e0243ee7ff,0.6,0.4
October_control__multi_auv_12h__baseline_STD,baseline_STD,October_control,178.2662811279297,58.236412048339844,0.0,0.06784107946026986,0.06784107946026986,0.003205128205128205,1,0.0,12.099935444298502,0.5323179756275709,312,REUSED_STEP11Z,0.0,native 2-AUV shared STD; reused from Step11Z when available,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_runs\October_control__multi_auv_12h__baseline_S__1a0b822f0e,,
October_control__multi_auv_12h__prototype_boundary_alpha050,prototype_boundary_alpha050,October_control,117.34735488891602,180.12966918945312,0.05284857571214393,0.0,0.05284857571214393,0.0,0,1.0,13.770237741088874,0.526424287856072,308,SUCCESS,302.3023935999954,native 2-AUV shared 0.5*STD + 0.5*prototype_boundary,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260526_231050\planner_runs\October_control__multi_auv_12h__prototype__b9dae5a289,,
October_control__multi_auv_12h__vehicle_specific_conservative,vehicle_specific_conservative,October_control,180.81063842773438,51.46604347229004,0.0,0.06709145427286357,0.06709145427286357,0.0944055944055944,27,0.0,5.938867173539932,0.4863429299336346,286,SUCCESS,443.55841160001,proxy pair: AUV1=0.8*STD+0.2*region_A; AUV2=0.8*STD+0.2*region_B,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260526_231050\planner_runs\October_control__multi_auv_12h__vehicle_sp__64ef7d4427; results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260526_231050\planner_runs\October_control__multi_auv_12h__vehicle_sp__3c98b0c523,0.8,0.2
October_control__multi_auv_12h__vehicle_specific_balanced,vehicle_specific_balanced,October_control,144.5596923828125,120.64950942993164,0.04235382308845577,0.037481259370314844,0.0798350824587706,0.003246753246753247,1,0.0,26.266818665069124,0.5382941646060087,308,SUCCESS,467.37203689996386,proxy pair: AUV1=0.7*STD+0.3*region_A; AUV2=0.7*STD+0.3*region_B,results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260526_231050\planner_runs\October_control__multi_auv_12h__vehicle_sp__9f0565e985; results\fossum_roi_x490_step11ae_remaining_days_multi_auv_weight_sweep_20260526_231050\planner_runs\October_control__multi_auv_12h__vehicle_sp__3f409dd0bf,0.7,0.3
October_control__multi_auv_12h__vehicle_specific_strong_regime,vehicle_specific_strong_regime,October_control,170.63400268554688,63.15704345703125,0.0,0.043478260869565216,0.043478260869565216,0.03678929765886288,11,0.0,20.199535508508763,0.5033444816053512,299,SUCCESS,0.0,proxy pair: AUV1=0.6*STD+0.4*region_A; AUV2=0.6*STD+0.4*region_B,results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_runs\October_control__multi_auv_12h__prototype__4fbfaa178b; results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260525_220614\planner_runs\October_control__multi_auv_12h__prototype__6ade005179,0.6,0.4
