class_no_scaler,class_with_scaler,n_no_scaler,n_with_scaler,overlap_count,jaccard,prototype_mean_abs_diff,prototype_max_abs_diff,spread_mean_abs_diff,spread_max_abs_diff
1,2,50,20,0,0.0,1.7760982513427734,2.626216411590576,0.19280396401882172,0.3541857600212097
2,1,50,50,26,0.35135135135135137,0.1472436636686325,0.18408691883087158,0.29986751079559326,0.5245965719223022
3,4,50,50,45,0.8181818181818182,0.10258858650922775,0.1906183958053589,0.03579677268862724,0.09526804089546204
4,3,50,37,27,0.45,0.16439257562160492,0.3753911256790161,0.0855298712849617,0.204664409160614
