dictionary_size,patch_w,patch_h,seed,include_valid_mask,mask_encoding,feature_mode,patches_per_image,total_patches,patch_vector_length,feature_vector_length,number_of_classes,class_sizes,icv_class_01,icv_class_02,icv_class_03,icv_class_04,mean_icv,std_icv,min_class_size,mean_class_size,max_class_size,runtime_seconds,notes
2,40,24,11,True,concat,raw,3822,1414140,1920,7644,4,"[150, 107, 62, 51]",1549.861328125,2046.1324462890625,1724.2908935546875,592.19287109375,1478.119384765625,541.5837755750478,51,92.5,150,573.7585446000012,ok
2,40,24,23,True,concat,raw,3822,1414140,1920,7644,4,"[150, 107, 62, 51]",1549.861328125,2046.1324462890625,1724.2908935546875,592.19287109375,1478.119384765625,541.5837755750478,51,92.5,150,550.1744201000001,ok
2,40,24,37,True,concat,raw,3822,1414140,1920,7644,4,"[150, 107, 62, 51]",1549.861328125,2046.1324462890625,1724.2908935546875,592.19287109375,1478.119384765625,541.5837755750478,51,92.5,150,492.5232223000002,ok
2,40,24,53,True,concat,raw,3822,1414140,1920,7644,4,"[150, 107, 62, 51]",1549.861328125,2046.1324462890625,1724.2908935546875,592.19287109375,1478.119384765625,541.5837755750478,51,92.5,150,498.51874920000046,ok
2,40,24,71,True,concat,raw,3822,1414140,1920,7644,4,"[150, 107, 62, 51]",1549.861328125,2046.1324462890625,1724.2908935546875,592.19287109375,1478.119384765625,541.5837755750478,51,92.5,150,489.8456244000008,ok
3,40,24,11,True,concat,raw,3822,1414140,1920,11466,4,"[163, 111, 48, 48]",2634.175048828125,2214.93017578125,1281.0382080078125,1199.487548828125,1832.407745361328,611.0954427468431,48,92.5,163,616.3407712999997,ok
3,40,24,23,True,concat,raw,3822,1414140,1920,11466,4,"[151, 119, 49, 51]",3326.185546875,834.9630126953125,1326.299560546875,592.19287109375,1519.9102478027344,1075.8633510101772,49,92.5,151,613.882600500001,ok
3,40,24,37,True,concat,raw,3822,1414140,1920,11466,4,"[140, 78, 63, 89]",2971.0927734375,1444.020263671875,1695.94091796875,467.49755859375,1644.6378784179688,892.7515542258525,63,92.5,140,618.8239493000001,ok
3,40,24,53,True,concat,raw,3822,1414140,1920,11466,4,"[168, 66, 37, 99]",2693.733154296875,1908.398193359375,1189.136474609375,1920.858642578125,1928.0316162109373,532.1423208487483,37,92.5,168,632.3567017999994,ok
3,40,24,71,True,concat,raw,3822,1414140,1920,11466,4,"[134, 118, 66, 52]",2837.235107421875,813.3107299804688,2080.357177734375,616.6181640625,1586.8802947998047,914.7028295293044,52,92.5,134,629.3867258000009,ok
4,40,24,11,True,concat,raw,3822,1414140,1920,15288,4,"[101, 113, 108, 48]",1195.1427001953125,2319.320068359375,2031.78564453125,1281.0382080078125,1706.8216552734375,480.5889088874151,48,92.5,113,614.2453960000003,ok
4,40,24,23,True,concat,raw,3822,1414140,1920,15288,4,"[151, 116, 49, 54]",3326.185546875,774.374755859375,1326.299560546875,667.51513671875,1523.59375,1070.3342791683872,49,92.5,151,645.0831679000003,ok
4,40,24,37,True,concat,raw,3822,1414140,1920,15288,4,"[107, 151, 60, 52]",2137.70947265625,1655.5733642578125,1606.236083984375,616.6181640625,1504.0342712402344,552.8247722852357,52,92.5,151,785.5482987000014,ok
4,40,24,53,True,concat,raw,3822,1414140,1920,15288,4,"[170, 68, 77, 55]",2214.7158203125,1920.74169921875,1508.6767578125,703.697509765625,1586.9579467773438,568.2799673829637,55,92.5,170,895.0287523000006,ok
4,40,24,71,True,concat,raw,3822,1414140,1920,15288,4,"[134, 116, 66, 54]",2837.235107421875,774.374755859375,2080.357177734375,667.51513671875,1589.8705444335938,909.9819187446506,54,92.5,134,790.6166537999998,ok
