separation_distance,sd_fraction_of_max,max_merge_distance,number_of_classes,class_sizes,min_class_size,mean_class_size,max_class_size,singleton_count,mean_icv,std_icv,icv_per_class,behavior_label,behavior_reason,output_dir,classes_distance_from_target,rank_mean_icv,rank_singletons,rank_min_class,rank_classes_balance,balanced_score
287.09239340070036,0.26,1104.2015130796167,5,"[80, 117, 30, 42, 31]",30,60.0,117,0,1373.1618896484374,317.41989888131593,"[1277.281005859375, 1676.746337890625, 1531.560546875, 1584.010986328125, 796.2105712890625]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed53_scalerON_refined_local_20260325/sd_26pct,0,4.0,1.0,1.0,1.0,2.05
309.1764236622927,0.28,1104.2015130796167,5,"[80, 117, 30, 42, 31]",30,60.0,117,0,1373.1618896484374,317.41989888131593,"[1277.281005859375, 1676.746337890625, 1531.560546875, 1584.010986328125, 796.2105712890625]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed53_scalerON_refined_local_20260325/sd_28pct,0,4.0,1.0,1.0,1.0,2.05
331.260453923885,0.3,1104.2015130796167,5,"[80, 117, 30, 42, 31]",30,60.0,117,0,1373.1618896484374,317.41989888131593,"[1277.281005859375, 1676.746337890625, 1531.560546875, 1584.010986328125, 796.2105712890625]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed53_scalerON_refined_local_20260325/sd_30pct,0,4.0,1.0,1.0,1.0,2.05
242.92433287751567,0.22,1104.2015130796167,6,"[80, 117, 15, 15, 42, 31]",15,50.0,117,0,1182.8480428059895,352.3769494483816,"[1277.281005859375, 1676.746337890625, 877.8408203125, 884.99853515625, 1584.010986328125, 796.2105712890625]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed53_scalerON_refined_local_20260325/sd_22pct,1,2.0,1.0,4.0,4.0,2.55
265.008363139108,0.24,1104.2015130796167,6,"[80, 117, 15, 15, 42, 31]",15,50.0,117,0,1182.8480428059895,352.3769494483816,"[1277.281005859375, 1676.746337890625, 877.8408203125, 884.99853515625, 1584.010986328125, 796.2105712890625]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed53_scalerON_refined_local_20260325/sd_24pct,1,2.0,1.0,4.0,4.0,2.55
220.84030261592335,0.2,1104.2015130796167,7,"[80, 117, 15, 10, 5, 42, 31]",5,42.857142857142854,117,0,1046.8258100237165,486.3985307567439,"[1277.281005859375, 1676.746337890625, 877.8408203125, 975.00244140625, 140.68850708007812, 1584.010986328125, 796.2105712890625]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed53_scalerON_refined_local_20260325/sd_20pct,2,1.0,1.0,6.0,6.0,3.0000000000000004
