distance_rank_asc,image_idx_0_based,image_z_1_based,distance_to_prototype_rmse_norm,png_path
1,181,182,0.08810488879680634,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z182.png
2,180,181,0.15170659124851227,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z181.png
3,262,263,0.15593405067920685,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z263.png
4,265,266,0.15651710331439972,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z266.png
5,159,160,0.1592673659324646,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z160.png
6,264,265,0.16673749685287476,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z265.png
7,270,271,0.17208357155323029,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z271.png
8,263,264,0.1790604591369629,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z264.png
9,155,156,0.18077270686626434,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z156.png
10,266,267,0.18269628286361694,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z267.png
11,271,272,0.19009575247764587,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z272.png
12,154,155,0.19296975433826447,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z155.png
13,158,159,0.19348782300949097,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z159.png
14,299,300,0.2051309049129486,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z300.png
15,160,161,0.2105928361415863,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z161.png
16,272,273,0.22446350753307343,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z273.png
17,243,244,0.23695747554302216,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z244.png
18,261,262,0.2521854639053345,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z262.png
19,278,279,0.2668614089488983,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z279.png
20,242,243,0.268577516078949,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z243.png
21,221,222,0.27400457859039307,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z222.png
22,169,170,0.27433353662490845,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z170.png
23,267,268,0.2959843873977661,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z268.png
24,205,206,0.30164384841918945,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z206.png
25,178,179,0.30732783675193787,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z179.png
26,280,281,0.3075346350669861,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z281.png
27,279,280,0.3096725344657898,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z280.png
28,269,270,0.32814648747444153,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z270.png
29,208,209,0.3319801390171051,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z209.png
30,268,269,0.3433736562728882,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z269.png
31,157,158,0.3469984531402588,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z158.png
32,244,245,0.34756243228912354,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z245.png
33,277,278,0.35120102763175964,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z278.png
34,281,282,0.3552871346473694,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z282.png
35,153,154,0.3579295873641968,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z154.png
36,241,242,0.3665965497493744,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z242.png
37,298,299,0.3670930862426758,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z299.png
38,273,274,0.37539276480674744,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z274.png
39,161,162,0.3779241740703583,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z162.png
40,179,180,0.38436219096183777,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z180.png
41,194,195,0.3903198838233948,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z195.png
42,193,194,0.39074796438217163,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z194.png
43,189,190,0.4017469584941864,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z190.png
44,275,276,0.4107276499271393,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z276.png
45,274,275,0.4185069799423218,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z275.png
46,156,157,0.4252684712409973,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z157.png
47,206,207,0.42732807993888855,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z207.png
48,168,169,0.43960922956466675,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z169.png
49,283,284,0.4430926740169525,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z284.png
50,284,285,0.45016518235206604,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z285.png
51,203,204,0.4563586711883545,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z204.png
52,192,193,0.456779807806015,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z193.png
53,209,210,0.45741981267929077,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z210.png
54,276,277,0.46305468678474426,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z277.png
