family,step,reference_path,matched_temp_day_1based,best_corr,second_corr,corr_margin,rmse_raw,rmse_linear_fit,nrmse_linear_fit,linear_fit_a,linear_fit_b,n_valid
predModel,1,data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_1.nc,202,0.9857807218829572,0.9774903342469331,0.008290387636024077,0.919165918587432,0.1497179830245288,0.046438566935517435,3.2526957662240337,-38.821219207327914,6925
predModel,2,data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_2.nc,202,0.9864043573655595,0.9782628550210022,0.00814150234455735,0.9206503885698545,0.1464209593830699,0.045415917217902765,3.2395975504515193,-38.580611105655386,6925
predModel,3,data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_3.nc,202,0.984525426751415,0.9810784606358913,0.003446966115523642,0.9204006029543279,0.1561375004578006,0.04842973181762698,3.197244298685449,-37.83269202611825,6925
predModel,4,data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_4.nc,202,0.9850735647369644,0.978333683046071,0.006739881690893346,0.9239447976323703,0.1533684053729117,0.047570831605022866,3.196494349595316,-37.8029471144228,6925
predModel,5,data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_5.nc,202,0.9821999733207815,0.9790444853078677,0.0031554880129137652,0.9244412586156293,0.16736074786403474,0.05191088695597056,3.157785036383124,-37.11875899949984,6925
predModel,6,data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_6.nc,202,0.982959293139338,0.9785268248589153,0.004432468280422763,0.9297000048872645,0.16378353882931493,0.050801331124097265,3.1433645386514377,-36.838970552064374,6925
predModel,7,data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_7.nc,202,0.9821334195633186,0.9794537549357325,0.0026796646275860647,0.9385555571003805,0.16310573044014767,0.0505910928506853,3.074779434003031,-35.618711042296546,6773
predModel,8,data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_8.nc,202,0.9820915058127972,0.9772184203732146,0.004873085439582647,0.9365521761777643,0.1632952091668884,0.05064986415094496,3.062179239840447,-35.403256274065534,6773
predModel,9,data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_9.nc,202,0.9810283934998355,0.9782400358497503,0.002788357650085227,0.9435635476947428,0.16568403434187584,0.05139081467368697,3.008055920190441,-34.433273110448,6701
predModel,10,data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_10.nc,202,0.9811662435395043,0.9777993114555604,0.0033669320839438965,0.9413090731445484,0.16508674005148213,0.05120554974876405,2.8860601739439655,-32.27902293695018,6701
predModel,11,data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_11.nc,202,0.9838273483789343,0.9784054254313396,0.005421922947594693,0.9345809978873094,0.15308259264939247,0.04748218004143618,2.775568055426471,-30.340180473046228,6701
predModel,12,data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_12.nc,202,0.9830353534752204,0.9760833476146658,0.006952005860554666,0.9280003446228313,0.15675481604792674,0.04862120682131918,2.5762859702491663,-26.830881611011066,6701
predModel,13,data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_13.nc,202,0.9777239319445604,0.9770269771831752,0.0006969547613852045,0.9356785760918525,0.17938468370624835,0.05564039451516286,2.3265393056739154,-22.393617552024413,6701
predModel,14,data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_14.nc,85,0.9814943658197666,0.9791305817988688,0.0023637840208977634,2.743833435400618,0.04081236415389459,0.04588587580697105,0.5379834981221007,5.286466269072873,6701
predModel,15,data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_15.nc,200,0.9832612233687166,0.9820194924190071,0.0012417309497094742,1.4085808016821657,0.14671432392514278,0.046538249457021924,2.0058363375483053,-15.882473246294971,6701
predModel,16,data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_16.nc,136,0.9798975575046407,0.9695652780126475,0.010332279491993224,0.5878269948806807,0.09817220278948918,0.052398911774895834,1.3531904863376125,-6.49880857138175,6512
predModel,17,data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_17.nc,168,0.9629220141011211,0.9625093842896227,0.0004126298114983662,0.6809504289173971,0.10830613896623208,0.06496638504872033,1.271066567295986,-3.777184867720508,6448
