step,matched_temp_day_1based,global_x0,global_y0,local_best_x0,local_best_y0,delta_x0,delta_y0,local_best_corr
1,220,28,34,30,35,2,1,0.9781272022301188
2,220,28,34,32,34,4,0,0.9749549712941916
3,220,28,34,29,34,1,0,0.9802098017098079
4,220,28,34,30,36,2,2,0.9765524891068355
5,220,28,34,26,34,-2,0,0.9755532080635934
6,135,28,34,32,38,4,4,0.9777870475318495
7,7,28,34,31,35,3,1,0.9742029966225877
8,220,28,34,25,33,-3,-1,0.9754946432268665
9,7,28,34,28,31,0,-3,0.9798256965448597
10,220,28,34,24,31,-4,-3,0.9743360907981135
11,220,28,34,24,32,-4,-2,0.9767724833029913
12,220,28,34,25,31,-3,-3,0.9778150927708871
13,135,28,34,30,32,2,-2,0.975328514620719
14,135,28,34,24,30,-4,-4,0.9782092423730782
15,81,28,34,30,30,2,-4,0.9716672886424909
16,81,28,34,25,30,-3,-4,0.9630247708715473
17,168,28,34,24,35,-4,1,0.9494604016204579
