dictionary_size,patch_w,patch_h,seed,include_valid_mask,mask_encoding,feature_mode,patches_per_image,total_patches,patch_vector_length,feature_vector_length,number_of_classes,class_sizes,icv_class_01,icv_class_02,icv_class_03,icv_class_04,mean_icv,std_icv,min_class_size,mean_class_size,max_class_size,runtime_seconds,notes
2,72,40,11,True,concat,raw,1025,307500,5760,2050,4,"[79, 81, 69, 71]",2546.548583984375,1301.5335693359375,1927.06591796875,401.17572021484375,1544.0809478759766,793.2024393264171,69,75.0,81,109.30599229998188,ok
2,72,40,23,True,concat,raw,1025,307500,5760,2050,4,"[79, 81, 69, 71]",2546.548583984375,1301.5335693359375,1927.06591796875,401.17572021484375,1544.0809478759766,793.2024393264171,69,75.0,81,107.9601030999911,ok
4,72,40,11,True,concat,raw,1025,307500,5760,4100,4,"[68, 116, 46, 70]",2282.41943359375,1344.8427734375,1827.9813232421875,1118.0848388671875,1643.3320922851562,449.30738893411484,46,75.0,116,157.299408699997,ok
4,72,40,23,True,concat,raw,1025,307500,5760,4100,4,"[68, 116, 46, 70]",2282.41943359375,1344.8427734375,1827.9813232421875,1118.0848388671875,1643.3320922851562,449.30738893411484,46,75.0,116,161.00944570000865,ok
6,72,40,11,True,concat,raw,1025,307500,5760,6150,4,"[156, 94, 28, 22]",2026.24658203125,2423.555419921875,201.06594848632812,1567.7734375,1554.6603469848633,838.1172313061147,22,75.0,156,177.98169319998124,ok
6,72,40,23,True,concat,raw,1025,307500,5760,6150,4,"[156, 94, 28, 22]",2026.24658203125,2423.555419921875,201.06594848632812,1567.7734375,1554.6603469848633,838.1172313061147,22,75.0,156,177.47743299999274,ok
8,72,40,11,True,concat,raw,1025,307500,5760,8200,4,"[145, 72, 30, 53]",1618.6473388671875,3450.2490234375,235.84634399414062,1991.414794921875,1824.0393753051758,1144.2372289114267,30,75.0,145,201.61195429999498,ok
8,72,40,23,True,concat,raw,1025,307500,5760,8200,4,"[151, 66, 30, 53]",1846.85986328125,3298.3388671875,235.84634399414062,1991.414794921875,1843.1149673461914,1086.6227368992752,30,75.0,151,202.4068813000049,ok
10,72,40,11,True,concat,raw,1025,307500,5760,10250,4,"[71, 62, 28, 139]",2177.970947265625,2119.072998046875,201.06594848632812,1464.440673828125,1490.6376419067383,795.4620517520382,28,75.0,139,207.3230070999998,ok
10,72,40,23,True,concat,raw,1025,307500,5760,10250,4,"[65, 68, 28, 139]",1885.4569091796875,2196.032958984375,201.06594848632812,1464.440673828125,1436.749122619629,759.1986483669599,28,75.0,139,208.20921369999996,ok
