distance_rank_asc,global_image_idx_0_based,global_image_z_1_based,distance_to_prototype_rmse_norm,png_path
1,104,105,0.06400401890277863,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z105.png
2,14,15,0.08774693310260773,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z015.png
3,13,14,0.09218889474868774,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z014.png
4,17,18,0.09246869385242462,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z018.png
5,22,23,0.09270955622196198,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z023.png
6,107,108,0.09495305269956589,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z108.png
7,2,3,0.09547078609466553,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z003.png
8,1,2,0.0965527594089508,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z002.png
9,23,24,0.09664163738489151,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z024.png
10,126,127,0.10210122168064117,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z127.png
11,0,1,0.10547199845314026,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z001.png
12,21,22,0.11005550622940063,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z022.png
13,15,16,0.11628365516662598,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z016.png
14,40,41,0.11781981587409973,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z041.png
15,35,36,0.12519720196723938,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z036.png
16,34,35,0.1302974671125412,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z035.png
17,3,4,0.13484612107276917,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z004.png
18,12,13,0.13595722615718842,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z013.png
19,18,19,0.13793222606182098,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z019.png
20,112,113,0.14190003275871277,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z113.png
21,33,34,0.14223407208919525,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z034.png
22,24,25,0.14591409265995026,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z025.png
23,137,138,0.15756984055042267,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z138.png
24,41,42,0.16007272899150848,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z042.png
25,109,110,0.161237433552742,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z110.png
26,25,26,0.1640150547027588,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z026.png
27,138,139,0.16429507732391357,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z139.png
28,39,40,0.16471457481384277,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z040.png
29,16,17,0.16629727184772491,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z017.png
30,151,152,0.16891014575958252,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z152.png
31,253,254,0.17018327116966248,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z254.png
32,32,33,0.1734502762556076,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z033.png
33,136,137,0.1736029088497162,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z137.png
34,47,48,0.1740894466638565,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z048.png
35,125,126,0.17625127732753754,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z126.png
36,42,43,0.17642679810523987,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z043.png
37,52,53,0.1775495558977127,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z053.png
38,26,27,0.17932911217212677,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z027.png
39,150,151,0.18155603110790253,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z151.png
40,108,109,0.18322275578975677,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z109.png
41,38,39,0.18578535318374634,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z039.png
42,43,44,0.1864778995513916,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z044.png
43,20,21,0.18736527860164642,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z021.png
44,113,114,0.18760176002979279,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z114.png
45,51,52,0.18919646739959717,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z052.png
46,37,38,0.19042517244815826,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z038.png
47,139,140,0.19524694979190826,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z140.png
48,27,28,0.19545580446720123,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z028.png
49,44,45,0.19955110549926758,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z045.png
50,48,49,0.20066720247268677,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z049.png
51,50,51,0.20490430295467377,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z051.png
52,36,37,0.2049330770969391,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z037.png
53,102,103,0.2073196917772293,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z103.png
54,29,30,0.20830951631069183,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z030.png
55,28,29,0.20933717489242554,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z029.png
56,142,143,0.21321289241313934,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z143.png
57,135,136,0.21464872360229492,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z136.png
58,124,125,0.21515019237995148,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z125.png
59,46,47,0.21670877933502197,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z047.png
60,143,144,0.22042107582092285,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z144.png
61,110,111,0.22132673859596252,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z111.png
62,250,251,0.22148042917251587,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z251.png
63,19,20,0.22309641540050507,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z020.png
64,249,250,0.22558555006980896,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z250.png
65,45,46,0.22834332287311554,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z046.png
66,11,12,0.2382371574640274,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z012.png
67,30,31,0.23857638239860535,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z031.png
68,49,50,0.24063317477703094,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z050.png
69,246,247,0.24577100574970245,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z247.png
70,31,32,0.24702028930187225,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z032.png
71,127,128,0.24896462261676788,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z128.png
72,134,135,0.25761497020721436,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z135.png
73,257,258,0.26390549540519714,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z258.png
74,140,141,0.2648240327835083,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z141.png
75,4,5,0.2688234746456146,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z005.png
76,105,106,0.27011919021606445,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z106.png
77,123,124,0.27746838331222534,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z124.png
78,53,54,0.27804824709892273,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z054.png
79,146,147,0.2816835939884186,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z147.png
80,111,112,0.2927458882331848,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z112.png
81,149,150,0.29825785756111145,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z150.png
82,251,252,0.2985880374908447,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z252.png
83,106,107,0.30563652515411377,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z107.png
84,248,249,0.3113330602645874,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z249.png
85,256,257,0.3140263259410858,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z257.png
86,101,102,0.3171509802341461,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z102.png
87,252,253,0.32281893491744995,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z253.png
88,133,134,0.32289567589759827,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z134.png
89,258,259,0.32963061332702637,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z259.png
90,103,104,0.3475271165370941,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z104.png
91,54,55,0.3575700521469116,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z055.png
92,247,248,0.3767521381378174,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z248.png
93,148,149,0.3774150013923645,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z149.png
94,5,6,0.3884251117706299,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z006.png
