run_id,case_id,date,predicted_class_label,formulation,alpha,solver_status,trajectory_length_km,mission_duration_h,solver_runtime_s,number_of_waypoints,number_of_valid_cells_sampled,collected_information_score,collected_STD_score,collected_boundary_score,mean_STD_along_path,mean_boundary_along_path,max_STD_along_path,max_boundary_along_path,percentage_path_in_top10_STD,percentage_path_in_top10_boundary,trajectory_overlap_ratio_with_baseline,trajectory_difference_from_baseline
C06_representative__baseline_STD,C06_representative,2023-12-22,C06,baseline_STD,0.0,SUCCESS,36.655,10.566666666666666,262.0523369000002,24,156,94.36653137207031,94.36653137207031,116.15290832519531,0.6049136519432068,0.7445698976516724,0.9415364265441895,0.9240098595619202,0.3525641025641026,0.038461538461538464,1.0,0.0
C06_representative__enriched_boundary_alpha025,C06_representative,2023-12-22,C06,enriched_boundary_alpha025,0.25,SUCCESS,39.277,11.316666666666666,34131.6213244,25,162,105.62069702148438,94.99568176269531,137.4957275390625,0.5863931179046631,0.8487390875816345,0.8996381163597107,0.9753074645996094,0.29012345679012347,0.1419753086419753,0.09278350515463918,0.9072164948453608
C06_representative__enriched_boundary_alpha050,C06_representative,2023-12-22,C06,enriched_boundary_alpha050,0.5,SUCCESS,38.093,11.033333333333333,493.69772539999394,28,160,114.19468688964844,91.34963989257812,137.03973388671875,0.5709352493286133,0.8564983606338501,0.9171054363250732,0.9243613481521606,0.28125,0.08125,0.039473684210526314,0.9605263157894737
C01_representative__baseline_STD,C01_representative,2024-08-24,C01,baseline_STD,0.0,SUCCESS,36.473,10.483333333333333,1395.551603,22,159,85.01887512207031,85.01887512207031,119.18304443359375,0.5347099304199219,0.7495788931846619,0.9211340546607971,0.8436173796653748,0.29559748427672955,0.08176100628930817,1.0,0.0
C01_representative__enriched_boundary_alpha025,C01_representative,2024-08-24,C01,enriched_boundary_alpha025,0.25,SUCCESS,36.819,10.65,312.5365853999974,26,150,89.15821838378906,80.86662292480469,114.03303527832031,0.5391108393669128,0.7602202296257019,0.8565319776535034,0.8323481678962708,0.26666666666666666,0.15333333333333332,0.07291666666666667,0.9270833333333334
C01_representative__enriched_boundary_alpha050,C01_representative,2024-08-24,C01,enriched_boundary_alpha050,0.5,SUCCESS,36.896,10.583333333333334,241.72554679999303,21,148,94.77853393554688,76.71467590332031,112.84236907958984,0.5183423757553101,0.7624484300613403,0.8346339464187622,0.8685091733932495,0.24324324324324326,0.19594594594594594,0.13284132841328414,0.8671586715867159
October_control__baseline_STD,October_control,2024-10-30,C02,baseline_STD,0.0,SUCCESS,38.517,11.066666666666666,236.16176049999194,23,167,95.92245483398438,95.92245483398438,30.575889587402344,0.574385941028595,0.18308915197849274,1.0,0.3016916811466217,0.24550898203592814,0.0,1.0,0.0
October_control__enriched_boundary_alpha025,October_control,2024-10-30,C02,enriched_boundary_alpha025,0.25,SUCCESS,37.584,10.85,303.7191024000058,25,150,69.57870483398438,83.18157958984375,28.770095825195312,0.5545438528060913,0.19180063903331757,1.0,0.3075210750102997,0.20666666666666667,0.0,0.12014134275618374,0.8798586572438163
October_control__enriched_boundary_alpha050,October_control,2024-10-30,C02,enriched_boundary_alpha050,0.5,SUCCESS,36.456,10.483333333333333,289.1789194000012,22,152,78.27631378173828,48.80297088623047,107.74964904785156,0.32107219099998474,0.708879292011261,0.6264233589172363,1.0,0.0,0.18421052631578946,0.0031446540880503146,0.9968553459119497
