mode,date,depths,hres_source,dss_exe,dss_exists,reference_predmodel,reference_predmodel_exists,output_predmodel,n_realizations,expected_sim_outputs,status
generate_pilot,2024-07-03,1,python_370,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\input_all\DSS.C.64.exe,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_1.nc,False,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_python_dss_class01_class06_pilot_20260516_152421\predmodels\2024-07-03\python_dss_predModel_1.nc,100,100,planned
generate_pilot,2024-07-04,1,python_370,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\input_all\DSS.C.64.exe,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20240703\04-07-2024_predModel_1.nc,False,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_python_dss_class01_class06_pilot_20260516_152421\predmodels\2024-07-04\python_dss_predModel_1.nc,100,100,planned
generate_pilot,2023-12-22,1,python_370,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\input_all\DSS.C.64.exe,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20231221\22-12-2023_predModel_1.nc,False,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_python_dss_class01_class06_pilot_20260516_152421\predmodels\2023-12-22\python_dss_predModel_1.nc,100,100,planned
generate_pilot,2023-12-17,1,python_370,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\input_all\DSS.C.64.exe,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20231216\17-12-2023_predModel_1.nc,False,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_python_dss_class01_class06_pilot_20260516_152421\predmodels\2023-12-17\python_dss_predModel_1.nc,100,100,planned
