date,depth_index,depth_value,temp_spatial_std,temp_range,gradient_magnitude_mean,gradient_magnitude_max,high_gradient_area_pct,std_mean,std_max,temp_gradient_std_corr,temp_spatial_std_norm,temp_range_norm,gradient_magnitude_mean_norm,gradient_magnitude_max_norm,high_gradient_area_pct_norm,std_mean_norm,std_max_norm,structure_score
2024-10-01,1,0.4940253794193268,0.2915873250365356,1.1504000000000012,0.013103555974307629,0.03839192623456127,6.078703703703703,0.02217055080918329,0.097338,-0.7769141550586947,0.28808012736694055,0.0877609439363254,0.5050048340307178,0.45499650253246005,0.0,0.1528651638753468,0.5105742326757282,0.2856116863453598
2024-10-02,1,0.4940253794193268,0.2558628312612363,1.144400000000001,0.010902996036784837,0.02671184194322762,6.078703703703703,0.015773364960481744,0.03896,-0.7869371663492074,0.19311054012923184,0.08357187739998506,0.27989335921690267,0.09588807026658526,0.0,0.048124487864131926,0.09599897737440881,0.11379818746446366
2024-10-03,1,0.4940253794193268,0.20640652076245475,1.3486000000000011,0.010688457162685407,0.03380488130433222,6.097222222222222,0.01507315118554761,0.027664,-0.688372235714972,0.06163644776247735,0.22613977518676226,0.2579465985175396,0.3139661407182134,1.0,0.03665993675157483,0.01577968099762809,0.27316122570488505
2024-10-04,1,0.4940253794193268,0.19183605265021922,1.151600000000002,0.009074169419074058,0.029377712640706693,6.078703703703703,0.013933335716974034,0.025442,-0.6746412042417542,0.022902481336451706,0.08859875724359395,0.09280922209720165,0.17785123276752415,0.0,0.01799781788712634,0.0,0.0571656444759854
2024-10-05,1,0.4940253794193268,0.18322087830082381,1.0247000000000028,0.008166919994544842,0.025902316498721843,6.078703703703703,0.012834093375987956,0.028448,-0.8355513529641149,0.0,0.0,0.0,0.07099891655803682,0.0,0.0,0.021347309216413153,0.01319231796777857
2024-10-06,1,0.4940253794193268,0.2140583999897999,1.3903999999999996,0.008465336445282393,0.023593060420387092,6.078703703703703,0.014561779375235227,0.027165,-0.6582977562612663,0.08197811632143728,0.25532360538993104,0.03052721545492486,0.0,0.0,0.028287281904276734,0.01223599926143709,0.05833603119028672
2024-10-07,1,0.4940253794193268,0.4165137111715559,2.124100000000002,0.011260503655523026,0.02817893716945271,6.078703703703703,0.020414604704554012,0.09239,0.7518417198175236,0.620183008963115,0.7675766250087297,0.31646544522966796,0.1409944456602413,0.0,0.12411518124424023,0.4754356811112532,0.3492529124596068
2024-10-08,1,0.4940253794193268,0.5138227942080785,2.026699999999998,0.01353917562866689,0.038060379661794645,6.078703703703703,0.026049286187429428,0.112695,0.8097943176380588,0.8788683666503438,0.6995741115688049,0.5495675751669983,0.44480298277698294,0.0,0.21637142665940762,0.619632991037823,0.48697392198005146
2024-10-09,1,0.4940253794193268,0.46861688612498686,1.8931000000000004,0.015313534042455966,0.04815080477001439,6.078703703703703,0.024114054045916444,0.104198,0.8970304331202338,0.7586934956399835,0.6062975633596321,0.7310797587551463,0.755036766294933,0.0,0.18468600629885282,0.5592909795900975,0.5135835099912349
2024-10-10,1,0.4940253794193268,0.5593886054057227,2.456999999999997,0.017547564007677128,0.044730135255775676,6.078703703703703,0.02421049819345126,0.100984,0.8550963200510483,1.0,1.0,0.9596151290824466,0.6498670401252876,0.0,0.18626507957404495,0.5364665445197211,0.6188876847573571
2024-10-11,1,0.4940253794193268,0.4394122226941627,2.103999999999999,0.016209683018192447,0.04829430608260044,6.078703703703703,0.02687041543093715,0.096495,0.8905880764177744,0.6810561511086167,0.7535432521119881,0.8227534342324996,0.7594487662519117,0.0,0.22981571827320105,0.5045876120272133,0.5358864191436329
2024-10-12,1,0.4940253794193268,0.43077559270955146,1.9466999999999999,0.016410170867654172,0.04995302793625152,6.078703703703703,0.024773946029356418,0.089738,0.9041537776775607,0.6580966323559545,0.6437198910842705,0.843262812188996,0.8104467718803258,0.0,0.19549037154234708,0.45660232647321997,0.5153741150750163
2024-10-13,1,0.4940253794193268,0.47260967183725916,1.8961000000000006,0.017942343212498647,0.05065602135975612,6.081018518518518,0.03300567331576967,0.089227,0.6668566392112889,0.769307871687078,0.6083920966278022,1.0,0.8320605599242418,0.125,0.3302678660704902,0.45297342593776196,0.5882859743210535
2024-10-14,1,0.4940253794193268,0.37823833274276375,1.6452000000000027,0.017425580341907675,0.04333696459144269,6.078703703703703,0.04443255976665412,0.087612,0.17034997767289423,0.5184321790251746,0.433219297633179,0.9471365219623565,0.6070335022270521,0.0,0.5173594778941422,0.44150439586972884,0.4949550535159476
2024-10-15,1,0.4940253794193268,0.34869205117505586,1.5234999999999985,0.01779512248388301,0.05129819684940316,6.078703703703703,0.050995918216033116,0.096533,-0.5968762902623974,0.4398866807308231,0.34825106472107636,0.9849397079458159,0.8518044785103283,0.0,0.6248208862619182,0.5048574715582257,0.5363657556754553
2024-10-16,1,0.4940253794193268,0.3266102480637873,1.3434000000000026,0.01693142335546978,0.051444363150882536,6.078703703703703,0.0518793059841927,0.098673,-0.5384691187588586,0.38118466692114084,0.22250925085526846,0.8965855662216051,0.8562984145184189,0.0,0.6392845323408974,0.5200548240941951,0.5022738935645037
2024-10-17,1,0.4940253794193268,0.346753212729574,1.3678000000000026,0.016192239331981086,0.04389342205843678,6.078703703703703,0.048971133458788105,0.098166,-0.7911269582418256,0.434732494696833,0.2395447881030518,0.8209689911631373,0.624141989084733,0.0,0.5916692271938779,0.5164543298251595,0.4610731171523989
2024-10-18,1,0.4940253794193268,0.3514067909645508,1.329900000000002,0.016871022491759896,0.0406735786475694,6.078703703703703,0.05013723586751976,0.104298,-0.8119312862046631,0.4471035140577765,0.21308385114850273,0.8904067172487086,0.5251467343778712,0.0,0.610761740289093,0.560001136250657,0.4637862419103727
2024-10-19,1,0.4940253794193268,0.33550332355479373,1.279,0.016632883175467916,0.03826388636821933,6.078703703703703,0.049249610651110276,0.12116,-0.9230369585397052,0.40482591748628166,0.17754660336521544,0.8660456935894354,0.4510598703538974,0.0,0.596228714766597,0.6797477523541693,0.4536363645593709
2024-10-20,1,0.4940253794193268,0.3375095269870997,1.2452000000000005,0.015260259561304836,0.04024267014003846,6.078703703703703,0.046309939442980806,0.12646,-0.95389729620784,0.41015918583374544,0.1539481952104996,0.7256299199130505,0.511898295862382,0.0,0.5480976838926571,0.7173860553638133,0.43815990515373543
2024-10-21,1,0.4940253794193268,0.3393995954232618,1.2331000000000003,0.014299955024738334,0.04023335059375544,6.078703703703703,0.038215520963492663,0.126327,-0.9613853775697765,0.41518372223060407,0.14550024436221343,0.6273932998552324,0.5116117630282305,0.0,0.41556833684682426,0.7164415470052694,0.4045284161897677
2024-10-22,1,0.4940253794193268,0.31878966310016826,1.1446000000000005,0.013913727588564528,0.039824646891088125,6.078703703703703,0.034423231501693644,0.113137,-0.9551749003854283,0.3603945129549603,0.08371151295119608,0.5878832523040992,0.4990460193002493,0.0,0.35347744700036815,0.6227718834774951,0.3581835182840526
2024-10-23,1,0.4940253794193268,0.34417308002324043,1.229800000000001,0.015945551650308656,0.04633038959473686,6.078703703703703,0.0440730713586752,0.122091,-0.935618398944534,0.42787349930615703,0.14319625776722675,0.7957334922827045,0.6990674407865569,0.0,0.5114735993593564,0.6863593108639767,0.46624337148085404
2024-10-24,1,0.4940253794193268,0.33666332309447233,1.1829999999999998,0.017637175771897492,0.05611829024480406,6.078703703703703,0.034296298607452015,0.079518,-0.8923978789738343,0.4079096470465135,0.11052153878377269,0.9687821760964092,1.0,0.0,0.35139918360997024,0.3840243157640576,0.4603766944715319
