seed,class_id,class_size,pair_count,mean_mpd,p95_mpd,mean_pairwise_ssim,median_pairwise_ssim,p05_pairwise_ssim,min_pairwise_ssim
11,1,58,1653.0,24.6862718679245,52.11855582098953,0.689958833940881,0.7133289887854334,0.40256189231607586,0.04839373811431304
11,2,122,7381.0,34.76246179476693,80.01607575300297,0.3778298279453704,0.47087657164646307,-0.5032050298430195,-0.9482391595430354
11,3,20,190.0,44.01852715744963,85.78827922360739,0.46372861306047736,0.6658862196132413,-0.4155365724562634,-0.8884687643769208
11,4,37,666.0,35.27337736511282,64.56579861754746,0.4593762261161948,0.47125616484105054,0.02968476956565327,-0.18492561678121727
11,5,63,1953.0,45.338642442436985,86.37545128375011,0.4370660203965658,0.48091730766955104,-0.12511146389143427,-0.3402648874664422
23,1,52,1326.0,21.60505627222298,42.7984178860563,0.7158733604359084,0.7353932879348666,0.45256838504076835,0.221649438998483
23,2,131,8515.0,35.237703791401394,74.69881661110992,0.37162806495390605,0.4607748068593164,-0.43428022402919664,-0.8766842835880315
23,3,57,1596.0,54.51432147737024,112.25093817627072,0.3545699773404844,0.35775543088306905,-0.10355093923954717,-0.4119355626210559
23,4,37,666.0,36.56192228311307,64.67326798088294,0.6063296753911019,0.6221111761622762,0.26907981927172,0.11775058380673588
23,5,23,253.0,50.02131285728358,105.08135978244607,0.5936931154683824,0.769004538135201,-0.26361264831671427,-0.8884687643769208
