seed,status,error,run_dir,sd_dir,dictionary_artifact_path,number_of_classes,singleton_count,min_class_size,mean_class_size,max_class_size,mean_icv,std_icv,behavior_label,behavior_reason,weighted_mean_MPD,weighted_p95_MPD,weighted_mean_pairwise_SSIM,weighted_median_pairwise_SSIM,weighted_p05_pairwise_SSIM,min_pairwise_SSIM_overall,class_metrics_json,eligible_target_classes,eligible_no_singletons,eligible_min_class_size,eligible_structure,eligible_for_selection,rank_mean_icv,rank_weighted_MPD,rank_weighted_pairwise_SSIM,rank_min_class_size,composite_score
11,success,,results/fossum/canonical_dictionary_seed_sweep/quickcheck_2seeds_20260328/raw_global_runs/seed011/w72_h40_xds04_seed11_scalerON_canonical_probe_seed011,results/fossum/canonical_dictionary_seed_sweep/quickcheck_2seeds_20260328/raw_global_runs/seed011/w72_h40_xds04_seed11_scalerON_canonical_probe_seed011/sd_30pct,C:\Users\pedro\Documents\Filipa_dados\results\fossum\canonical_dictionary_seed_sweep\quickcheck_2seeds_20260328\seed_dictionaries\seed011_dictionary.npz,5,0,20,60.0,122,1570.6628540039062,549.651513842905,plausivel,sem sinais fortes de fragmentacao/mistura,35.277387155282774,76.39470397652171,0.437127995734056,0.5095228644071734,-0.28305717288599086,-0.9482391595430354,"[{""seed"":11,""class_id"":1,""class_size"":58,""pair_count"":1653.0,""mean_mpd"":24.6862718679,""p95_mpd"":52.118555821,""mean_pairwise_ssim"":0.6899588339,""median_pairwise_ssim"":0.7133289888,""p05_pairwise_ssim"":0.4025618923,""min_pairwise_ssim"":0.0483937381},{""seed"":11,""class_id"":2,""class_size"":122,""pair_count"":7381.0,""mean_mpd"":34.7624617948,""p95_mpd"":80.016075753,""mean_pairwise_ssim"":0.3778298279,""median_pairwise_ssim"":0.4708765716,""p05_pairwise_ssim"":-0.5032050298,""min_pairwise_ssim"":-0.9482391595},{""seed"":11,""class_id"":3,""class_size"":20,""pair_count"":190.0,""mean_mpd"":44.0185271574,""p95_mpd"":85.7882792236,""mean_pairwise_ssim"":0.4637286131,""median_pairwise_ssim"":0.6658862196,""p05_pairwise_ssim"":-0.4155365725,""min_pairwise_ssim"":-0.8884687644},{""seed"":11,""class_id"":4,""class_size"":37,""pair_count"":666.0,""mean_mpd"":35.2733773651,""p95_mpd"":64.5657986175,""mean_pairwise_ssim"":0.4593762261,""median_pairwise_ssim"":0.4712561648,""p05_pairwise_ssim"":0.0296847696,""min_pairwise_ssim"":-0.1849256168},{""seed"":11,""class_id"":5,""class_size"":63,""pair_count"":1953.0,""mean_mpd"":45.3386424424,""p95_mpd"":86.3754512838,""mean_pairwise_ssim"":0.4370660204,""median_pairwise_ssim"":0.4809173077,""p05_pairwise_ssim"":-0.1251114639,""min_pairwise_ssim"":-0.3402648875}]",True,True,True,True,True,1.0,1.0,1.0,2.0,1.0999999999999999
23,success,,results/fossum/canonical_dictionary_seed_sweep/quickcheck_2seeds_20260328/raw_global_runs/seed023/w72_h40_xds04_seed23_scalerON_canonical_probe_seed023,results/fossum/canonical_dictionary_seed_sweep/quickcheck_2seeds_20260328/raw_global_runs/seed023/w72_h40_xds04_seed23_scalerON_canonical_probe_seed023/sd_30pct,C:\Users\pedro\Documents\Filipa_dados\results\fossum\canonical_dictionary_seed_sweep\quickcheck_2seeds_20260328\seed_dictionaries\seed023_dictionary.npz,5,0,23,60.0,131,1932.8989379882807,1051.1513515558063,plausivel,sem sinais fortes de fragmentacao/mistura,36.63870523406277,76.2076402873152,0.42356544633213916,0.49194649072275587,-0.2549809459744279,-0.8884687643769208,"[{""seed"":23,""class_id"":1,""class_size"":52,""pair_count"":1326.0,""mean_mpd"":21.6050562722,""p95_mpd"":42.7984178861,""mean_pairwise_ssim"":0.7158733604,""median_pairwise_ssim"":0.7353932879,""p05_pairwise_ssim"":0.452568385,""min_pairwise_ssim"":0.221649439},{""seed"":23,""class_id"":2,""class_size"":131,""pair_count"":8515.0,""mean_mpd"":35.2377037914,""p95_mpd"":74.6988166111,""mean_pairwise_ssim"":0.371628065,""median_pairwise_ssim"":0.4607748069,""p05_pairwise_ssim"":-0.434280224,""min_pairwise_ssim"":-0.8766842836},{""seed"":23,""class_id"":3,""class_size"":57,""pair_count"":1596.0,""mean_mpd"":54.5143214774,""p95_mpd"":112.2509381763,""mean_pairwise_ssim"":0.3545699773,""median_pairwise_ssim"":0.3577554309,""p05_pairwise_ssim"":-0.1035509392,""min_pairwise_ssim"":-0.4119355626},{""seed"":23,""class_id"":4,""class_size"":37,""pair_count"":666.0,""mean_mpd"":36.5619222831,""p95_mpd"":64.6732679809,""mean_pairwise_ssim"":0.6063296754,""median_pairwise_ssim"":0.6221111762,""p05_pairwise_ssim"":0.2690798193,""min_pairwise_ssim"":0.1177505838},{""seed"":23,""class_id"":5,""class_size"":23,""pair_count"":253.0,""mean_mpd"":50.0213128573,""p95_mpd"":105.0813597824,""mean_pairwise_ssim"":0.5936931155,""median_pairwise_ssim"":0.7690045381,""p05_pairwise_ssim"":-0.2636126483,""min_pairwise_ssim"":-0.8884687644}]",True,True,True,True,True,2.0,2.0,2.0,1.0,1.9
