scope,prototype_key,prototype_name,row,col,lat,lon,temp_mean,temp_std,region_label,region_label_id,boundary_score,gradient_magnitude,gradient_direction,distance_to_boundary,region_id
local_class02,k2::subclass_01,subclass_prototype_01,0,31,39.38888931274414,-9.377126693725586,-0.4347113,0.24576189,high,1,0.7800355,1.2730534,2.7292192,9.0,2
local_class02,k2::subclass_01,subclass_prototype_01,0,32,39.38888931274414,-9.371371269226074,-0.4414213,0.24503492,high,1,0.7867879,1.2704653,2.7304616,8.0,2
local_class02,k2::subclass_01,subclass_prototype_01,0,33,39.38888931274414,-9.365615844726562,-0.4481312,0.24450456,high,1,0.7948611,1.2706231,2.7326536,7.0,2
local_class02,k2::subclass_01,subclass_prototype_01,0,34,39.38888931274414,-9.359859466552734,-0.45484123,0.24417222,high,1,0.7864877,1.2290491,2.7201626,6.0,2
local_class02,k2::subclass_01,subclass_prototype_01,0,35,39.38888931274414,-9.354104042053223,-0.46102995,0.24322401,high,1,0.77502537,1.1791532,2.701502,5.0,2
local_class02,k2::subclass_01,subclass_prototype_01,0,36,39.38888931274414,-9.348348617553711,-0.467124,0.242313,high,1,0.7807648,1.1716955,2.698544,4.0,2
local_class02,k2::subclass_01,subclass_prototype_01,0,37,39.38888931274414,-9.342592239379883,-0.473218,0.24158826,high,1,0.7896695,1.1715319,2.698504,3.0,2
local_class02,k2::subclass_01,subclass_prototype_01,0,38,39.38888931274414,-9.336836814880371,-0.47931206,0.24105148,high,1,0.7990457,1.1719043,2.698685,2.0,2
local_class02,k2::subclass_01,subclass_prototype_01,0,39,39.38888931274414,-9.33108139038086,-0.485406,0.24070376,high,1,0.80843616,1.1716495,2.6986268,1.0,2
local_class02,k2::subclass_01,subclass_prototype_01,0,40,39.38888931274414,-9.325325012207031,-0.49150008,0.24054593,high,1,0.8184536,1.1722821,2.698909,0.0,2
local_class02,k2::subclass_01,subclass_prototype_01,0,41,39.38888931274414,-9.31956958770752,-0.49759415,0.24057843,low,0,0.8185728,1.1725805,2.6990633,0.0,1
local_class02,k2::subclass_01,subclass_prototype_01,0,42,39.38888931274414,-9.313814163208008,-0.5036881,0.2408012,low,0,0.80528814,1.1637717,2.6955304,1.0,1
local_class02,k2::subclass_01,subclass_prototype_01,0,43,39.38888931274414,-9.30805778503418,-0.50969225,0.24088031,low,0,0.7874497,1.1428858,2.684368,2.0,1
local_class02,k2::subclass_01,subclass_prototype_01,0,44,39.38888931274414,-9.302302360534668,-0.515494,0.2404117,low,0,0.7751397,1.1312562,2.671344,2.828427,1
local_class02,k2::subclass_01,subclass_prototype_01,0,45,39.38888931274414,-9.296546936035156,-0.5212957,0.24015369,low,0,0.76934546,1.1343405,2.6647534,3.6055512,1
local_class02,k2::subclass_01,subclass_prototype_01,0,46,39.38888931274414,-9.290790557861328,-0.5270976,0.24010663,low,0,0.7653032,1.1383548,2.6586206,4.2426405,1
local_class02,k2::subclass_01,subclass_prototype_01,0,47,39.38888931274414,-9.285035133361816,-0.5328994,0.2402708,low,0,0.76007324,1.1417363,2.652185,5.0,1
local_class02,k2::subclass_01,subclass_prototype_01,0,48,39.38888931274414,-9.279279708862305,-0.53870106,0.24064575,low,0,0.75462365,1.1457671,2.6461034,5.8309517,1
local_class02,k2::subclass_01,subclass_prototype_01,0,49,39.38888931274414,-9.273523330688477,-0.5445029,0.24123055,low,0,0.74882746,1.1494696,2.6398723,6.708204,1
local_class02,k2::subclass_01,subclass_prototype_01,0,50,39.38888931274414,-9.267767906188965,-0.55030465,0.24202359,low,0,0.74327123,1.1539322,2.6340423,7.615773,1
local_class02,k2::subclass_01,subclass_prototype_01,0,51,39.38888931274414,-9.262012481689453,-0.5561064,0.2430229,low,0,0.75255865,1.1943331,2.6451156,8.485281,1
local_class02,k2::subclass_01,subclass_prototype_01,0,52,39.38888931274414,-9.256256103515625,-0.56239414,0.24357235,low,0,0.7682725,1.2478216,2.656848,9.219544,1
local_class02,k2::subclass_01,subclass_prototype_01,0,53,39.38888931274414,-9.250500679016113,-0.56882757,0.24414238,low,0,0.7700931,1.2671148,2.652499,10.0,1
local_class02,k2::subclass_01,subclass_prototype_01,0,54,39.38888931274414,-9.244745254516602,-0.5752611,0.24492943,low,0,0.76660275,1.2734568,2.6427588,10.816654,1
local_class02,k2::subclass_01,subclass_prototype_01,0,55,39.38888931274414,-9.238988876342773,-0.5816945,0.24593127,low,0,0.7629259,1.2794974,2.6329472,11.661903,1
