seed,class_id,class_size,pair_count,mean_mpd,p95_mpd,mean_pairwise_ssim,median_pairwise_ssim,p05_pairwise_ssim,min_pairwise_ssim
37,6,59,1711.0,42.68636943635567,93.63098613811545,0.4566617275486787,0.48788335515021347,-0.08361847044585113,-0.3448806714499301
41,1,64,2016.0,40.04782123014349,78.22745165531235,0.4348058874224378,0.4637920726692004,-0.07491282010391659,-0.3448806714499301
41,2,17,136.0,42.16982885287674,89.21025892621886,0.5087289614998854,0.5471023072029836,-0.01416110790056311,-0.19093302418019822
41,3,24,276.0,51.448263897233865,103.48974858241824,0.7214444371759451,0.7591459082462035,0.34717110507890514,0.23675325643266956
41,4,28,378.0,14.072017508536083,24.27800241193117,0.7046462427398847,0.7228499624329313,0.4042565975042526,0.2719082481536197
41,5,36,630.0,38.62590094390003,72.61382764131994,0.11058403046900975,0.20307280849135162,-0.7306676172522524,-0.8884687643769208
41,6,131,8515.0,33.74405343015833,67.3107033598175,0.545388842066223,0.5505073631348362,0.19388897191298513,0.021371690814482442
53,1,80,3160.0,32.92760948393253,67.74566585958178,0.603439617838415,0.6304634155833186,0.22994502678712472,-0.0058423849289748015
53,2,117,6786.0,37.659650620830874,78.71784222127513,0.2042175926742454,0.345029648681744,-0.7193963308395921,-0.9431902697927605
53,3,30,435.0,38.497229167926754,70.27332145583777,0.5016911981040579,0.5598097761309325,-0.010410027675315445,-0.1998550190261019
53,4,29,406.0,25.700908164989237,53.68625984141088,0.3962723388700202,0.4225781746231255,-0.1458412588905219,-0.3402648874664422
53,5,44,946.0,40.16102697128721,65.31569022581823,0.6537476958280314,0.6780582812522913,0.29868402756693524,0.1360863335088067
71,1,70,2415.0,30.220626118635373,63.64582964294828,0.6211126897926413,0.6611380111071633,0.23373478581414248,-0.0058423849289748015
71,2,113,6328.0,31.902257201526012,67.01768630061454,0.3593452115061765,0.46276377614929975,-0.5012283729149006,-0.9286344017154589
71,3,19,171.0,34.34264298061001,62.10458122566284,0.6089115291523347,0.7538410216462167,-0.43991507633421983,-0.8884687643769208
71,4,98,4753.0,54.49299943461829,108.01446056134029,0.4018710148039101,0.4246431002344823,-0.10148188003457628,-0.4119355626210559
83,1,51,1275.0,21.20930103932201,41.79696103343589,0.7211068953353738,0.7396414329121631,0.45933067786690573,0.221649438998483
83,2,104,5356.0,27.034497404703586,49.92654332527813,0.5697232597817297,0.6016606649499291,0.17381069316588163,-0.7095542983933881
83,3,71,2485.0,52.518835308415404,114.52474694514603,0.38972950508586157,0.4177695569443191,-0.1112841937265835,-0.4119355626210559
83,4,9,36.0,28.101985009843418,46.87864572514754,0.8649274605692278,0.8908570821869615,0.7391944802203906,0.7093103430489035
83,5,40,780.0,48.67399742562618,97.18786251707985,0.5746339274104855,0.7194319170808092,-0.2784679736879908,-0.8884687643769208
83,6,15,105.0,18.93842205205387,31.79550911904566,0.6339244352742438,0.6998252521301477,0.2144857362553,0.12009897725195659
83,7,10,45.0,23.128497999209348,33.38328880616725,0.6068685364446756,0.5659527705408836,0.30764366655885556,0.2600012329770205
97,1,106,5565.0,28.461122385571944,56.16865474803325,0.524151446296423,0.540141282397925,0.09765487387755031,-0.0032634265426862495
97,2,65,2080.0,33.5385684917856,77.95349454093093,0.5924920929813715,0.6482170732167365,0.16236905431186086,-0.0058423849289748015
97,3,69,2346.0,44.42285619750487,86.50379048492645,0.4031032616945665,0.39986688041643714,-0.006118108106434786,-0.23445692669083223
97,4,26,325.0,36.517642905601534,68.75864219060298,0.45050260038431866,0.47327152915501813,-0.04354967582345086,-0.23140259055145962
97,5,17,136.0,36.87038210159308,62.526713720354515,0.7799868142117393,0.8082286255436544,0.5241616186630272,0.37583719789623543
97,6,17,136.0,37.243395224530666,78.61644520777818,0.816615014166744,0.8454020406772743,0.5702537773884699,0.3976451091560966
