route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,151.717,41.385548
1,1,39.57002,-9.290119,108.14328,151.717,41.385548
1,2,39.541,-9.327544,106.19713,151.717,41.385548
1,3,39.533085,-9.319525,98.74258,151.717,41.385548
1,4,39.54364,-9.298139,97.880135,151.717,41.385548
1,5,39.535725,-9.287446,88.285416,151.717,41.385548
1,6,39.533085,-9.274079,80.9483,151.717,41.385548
1,7,39.55419,-9.274079,96.29343,151.717,41.385548
1,8,39.562107,-9.263387,94.92799,151.717,41.385548
1,9,39.55155,-9.258039,87.35549,151.717,41.385548
1,10,39.564743,-9.247347,89.04746,151.717,41.385548
1,11,39.55683,-9.239327,80.91921,151.717,41.385548
1,12,39.55683,-9.225961,73.20049,151.717,41.385548
1,13,39.577934,-9.23398,88.10768,151.717,41.385548
1,14,39.591125,-9.231307,94.299736,151.717,41.385548
1,15,39.58585,-9.220614,85.700195,151.717,41.385548
1,16,39.5753,-9.215268,76.78088,151.717,41.385548
1,17,39.58321,-9.207248,77.236916,151.717,41.385548
1,18,39.593765,-9.204575,85.66013,151.717,41.385548
1,19,39.580574,-9.191209,66.88288,151.717,41.385548
1,20,39.57266,-9.199228,65.69832,151.717,41.385548
1,21,39.562107,-9.193882,55.03828,151.717,41.385548
1,22,39.562107,-9.209921,65.71536,151.717,41.385548
1,23,39.55155,-9.212595,61.197163,151.717,41.385548
1,24,39.541,-9.193882,41.385548,151.717,41.385548
1,25,39.55155,-9.193882,47.862865,151.717,41.385548
1,26,39.55683,-9.183188,44.82832,151.717,41.385548
1,27,39.567383,-9.183188,53.03211,151.717,41.385548
1,28,39.562107,-9.172496,42.844593,151.717,41.385548
1,29,39.567383,-9.161802,41.71545,151.717,41.385548
1,30,39.57266,-9.172496,51.786037,151.717,41.385548
1,31,39.58321,-9.151109,53.251316,151.717,41.385548
1,32,39.577934,-9.140416,42.614483,151.717,41.385548
1,33,39.59904,-9.140416,83.2259,151.717,41.385548
1,34,39.612232,-9.132396,96.95579,151.717,41.385548
1,35,39.612232,-9.11903,75.05331,151.717,41.385548
1,36,39.622784,-9.135069,99.50898,151.717,41.385548
1,37,39.63334,-9.129723,89.35519,151.717,41.385548
1,38,39.64125,-9.121703,73.12245,151.717,41.385548
1,39,39.65444,-9.143089,91.82402,151.717,41.385548
1,40,39.638615,-9.151109,126.927475,151.717,41.385548
1,41,39.620148,-9.148436,113.721794,151.717,41.385548
1,42,39.617508,-9.161802,121.722725,151.717,41.385548
1,43,39.606956,-9.153783,103.47797,151.717,41.385548
1,44,39.5964,-9.156456,82.402534,151.717,41.385548
1,45,39.604317,-9.16715,100.8469,151.717,41.385548
1,46,39.591125,-9.172496,75.77609,151.717,41.385548
1,47,39.5964,-9.183188,85.4273,151.717,41.385548
