seed,k,subclass_id,subclass_size,distance_mean,distance_std,distance_q90,distance_max,distance_min,distance_range
11,2,1,76,0.21394592425540873,0.12174615161214423,0.3498753011226654,0.6536656022071838,0.07384376227855682,0.579821839928627
11,2,2,41,0.3008813118425811,0.1707755129382728,0.5622541308403015,0.7534445524215698,0.06300283223390579,0.690441720187664
11,3,1,76,0.21394592425540873,0.12174615161214423,0.3498753011226654,0.6536656022071838,0.07384376227855682,0.579821839928627
11,3,2,33,0.20089463878310088,0.07699271249454491,0.31656235456466675,0.35885146260261536,0.05521071329712868,0.3036407493054867
11,3,3,8,0.19362732488662004,0.061304511473544744,0.26586300134658813,0.2770645022392273,0.10692467540502548,0.1701398268342018
23,2,1,48,0.18180121978123984,0.06226133362911401,0.27519816160202026,0.37037765979766846,0.07875478267669678,0.2916228771209717
23,2,2,77,0.24235562293173432,0.10742411383553617,0.4034595191478729,0.6107483506202698,0.08568701893091202,0.5250613316893578
23,3,1,48,0.18180121978123984,0.06226133362911401,0.27519816160202026,0.37037765979766846,0.07875478267669678,0.2916228771209717
23,3,2,29,0.2164541688458673,0.09457784392875049,0.33483970165252686,0.4572790265083313,0.0761522725224495,0.3811267539858818
23,3,3,48,0.19570276839658618,0.11403601756897298,0.3135084807872772,0.6760983467102051,0.06756212562322617,0.6085362210869789
37,2,1,14,0.14557670376130513,0.09882524570052782,0.31173354387283325,0.37299492955207825,0.041061095893383026,0.3319338336586952
37,2,2,140,0.3294157834989684,0.21946689897641755,0.6137208938598633,1.1636145114898682,0.0662754476070404,1.0973390638828278
37,3,1,14,0.14557670376130513,0.09882524570052782,0.31173354387283325,0.37299492955207825,0.041061095893383026,0.3319338336586952
37,3,2,25,0.2390372496843338,0.10576415684774841,0.40639740228652954,0.4787448048591614,0.08895297348499298,0.3897918313741684
37,3,3,115,0.2711506616162217,0.17069785555715877,0.42038285732269287,1.0530329942703247,0.04146576300263405,1.0115672312676907
53,2,1,25,0.27210244208574297,0.06949106608382256,0.35985684394836426,0.4284030497074127,0.10404587537050247,0.32435717433691025
53,2,2,92,0.22170455381274223,0.09315156953410994,0.3587269186973572,0.5468508005142212,0.07358650863170624,0.47326429188251495
53,3,1,25,0.27210244208574297,0.06949106608382256,0.35985684394836426,0.4284030497074127,0.10404587537050247,0.32435717433691025
53,3,2,57,0.14966134962282682,0.055322433796965415,0.19823680818080902,0.391330361366272,0.06436441838741302,0.32696594297885895
53,3,3,35,0.21335203519889287,0.08895188515220433,0.342017263174057,0.4099864959716797,0.077244333922863,0.3327421620488167
71,2,1,99,0.21883203999863732,0.09186071697127346,0.3555848300457001,0.49816957116127014,0.06728014349937439,0.43088942766189575
71,2,2,14,0.2321201153099537,0.08425376572995709,0.31615838408470154,0.4250038266181946,0.11725056916475296,0.3077532574534416
71,3,1,99,0.21883203999863732,0.09186071697127346,0.3555848300457001,0.49816957116127014,0.06728014349937439,0.43088942766189575
71,3,2,12,0.22030713657538095,0.07701554265338843,0.29245397448539734,0.4129891097545624,0.11155399680137634,0.30143511295318604
71,3,3,2,0.13724075257778168,0.0,0.13724075257778168,0.13724075257778168,0.13724075257778168,0.0
