run_id,case_id,display_case,date,run_name,base_run_name,mission_duration_requested_h,mission_duration,trajectory_length,solver_runtime,solver_status,constraints_satisfied,gamma,formulation,route_level_reward_available,number_of_waypoints,number_of_valid_cells_sampled,collected_information_score,collected_STD_score,collected_boundary_score,mean_STD_along_path,mean_boundary_along_path,max_STD_along_path,max_boundary_along_path,percentage_path_in_top10_STD,percentage_path_in_top10_boundary,trajectory_overlap_ratio_with_baseline,trajectory_difference_from_baseline,crossing_reward,boundary_crossing_count,number_of_distinct_regions_visited,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,difference_from_baseline
C01_representative__1auv_12h__baseline_STD,C01_representative,C01_representative,2024-08-24,baseline_STD,baseline_STD,12.0,10.783333333333333,37.356,875.3025315999985,SUCCESS,True,0.0,information_map = STD_norm,False,25,161,97.4887466430664,97.4887466430664,125.01278686523438,0.6055201888084412,0.7764769196510315,0.9415364265441895,0.9240098595619202,0.34782608695652173,0.037267080745341616,1.0,0.0,0.0,0,1,1.0,0.0,0.0,0.0
C01_representative__1auv_12h__boundary_alpha050,C01_representative,C01_representative,2024-08-24,boundary_alpha050,boundary_alpha050,12.0,11.05,38.229,780.5574223999865,SUCCESS,True,0.0,information_map = 0.5*STD_norm + 0.5*boundary_score_norm,False,26,166,118.08561706542969,96.48713684082031,139.68409729003906,0.5812478065490723,0.84147047996521,0.8996381163597107,0.964505672454834,0.26506024096385544,0.16265060240963855,0.07213114754098361,0.9278688524590164,2.0141963958740234,6,2,0.8433734939759037,0.1566265060240964,0.03614457831325301,0.9278688524590164
C01_representative__1auv_12h__crossing_gamma025,C01_representative,C01_representative,2024-08-24,crossing_gamma025,crossing_gamma025,12.0,11.05,38.287,1146.9677008000435,SUCCESS,True,0.25,information_map = 0.5*STD_norm + 0.3*boundary_score_norm + 0.2*((1-0.25)*boundary_score_norm + 0.25*crossing_proxy),False,25,164,113.17124938964844,94.11848449707031,142.18063354492188,0.5738931894302368,0.8669551014900208,0.9171054363250732,0.9760733246803284,0.20121951219512196,0.21951219512195122,0.06557377049180328,0.9344262295081968,2.8582987785339355,10,2,0.823170731707317,0.17682926829268292,0.024390243902439025,0.9344262295081968
C01_representative__1auv_12h__crossing_gamma050,C01_representative,C01_representative,2024-08-24,crossing_gamma050,crossing_gamma050,12.0,11.216666666666667,38.791,655.2905672999332,SUCCESS,True,0.5,information_map = 0.5*STD_norm + 0.3*boundary_score_norm + 0.2*((1-0.50)*boundary_score_norm + 0.50*crossing_proxy),False,27,154,102.30172729492188,89.58655548095703,132.2306365966797,0.5817309021949768,0.8586404919624329,0.9171054363250732,0.964505672454834,0.3116883116883117,0.17532467532467533,0.06779661016949153,0.9322033898305084,0.8992593288421631,2,2,0.9285714285714286,0.07142857142857142,0.03896103896103896,0.9322033898305084
C01_representative__1auv_6h__baseline_STD_6h,C01_representative,C01_representative,2024-08-24,baseline_STD_6h,baseline_STD,6.0,5.583333333333333,19.415,646.8958129999228,SUCCESS,True,0.0,information_map = STD_norm,False,12,82,48.34087371826172,48.34087371826172,71.60762023925781,0.5895228385925293,0.8732636570930481,0.888751208782196,0.9760733246803284,0.25609756097560976,0.3048780487804878,1.0,0.0,0.23918457329273224,4,2,0.8536585365853658,0.14634146341463414,0.0,0.0
C01_representative__1auv_6h__boundary_alpha050_6h,C01_representative,C01_representative,2024-08-24,boundary_alpha050_6h,boundary_alpha050,6.0,5.366666666666666,18.649,539.9872914999723,SUCCESS,True,0.0,information_map = 0.5*STD_norm + 0.5*boundary_score_norm,False,12,81,59.465187072753906,47.156394958496094,71.77399444580078,0.5821776986122131,0.8860986828804016,0.888751208782196,0.9760733246803284,0.2716049382716049,0.4074074074074074,0.10884353741496598,0.891156462585034,0.25226157903671265,6,2,0.8395061728395061,0.16049382716049382,0.0,0.891156462585034
C01_representative__1auv_6h__crossing_gamma050_6h,C01_representative,C01_representative,2024-08-24,crossing_gamma050_6h,crossing_gamma050,6.0,5.566666666666666,19.224,540.6969991999213,SUCCESS,True,0.5,information_map = 0.5*STD_norm + 0.3*boundary_score_norm + 0.2*((1-0.50)*boundary_score_norm + 0.50*crossing_proxy),False,14,81,51.63741683959961,45.98347854614258,70.38103485107422,0.567697286605835,0.8689016699790955,0.7883745431900024,0.9739767909049988,0.24691358024691357,0.2716049382716049,0.08666666666666667,0.9133333333333333,0.0,0,1,1.0,0.0,0.0,0.9133333333333333
