run_id,case_id,display_case,date,run_name,base_run_name,mission_duration_requested_h,mission_duration,trajectory_length,solver_runtime,solver_status,constraints_satisfied,gamma,formulation,route_level_reward_available,input_nc,run_dir,status,returncode
C01_representative__1auv_12h__baseline_STD,C01_representative,C01_representative,2024-08-24,baseline_STD,baseline_STD,12.0,10.783333333333333,37.356,875.3025315999985,SUCCESS,True,0.0,information_map = STD_norm,False,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_inputs\C01_representative__1auv_12h__baseline_STD_planner_interface.nc,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_runs\C01_representative__1auv_12h__baseline_STD,SUCCESS,0
C01_representative__1auv_12h__boundary_alpha050,C01_representative,C01_representative,2024-08-24,boundary_alpha050,boundary_alpha050,12.0,11.05,38.229,780.5574223999865,SUCCESS,True,0.0,information_map = 0.5*STD_norm + 0.5*boundary_score_norm,False,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_inputs\C01_representative__1auv_12h__boundary_alpha050_planner_interface.nc,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_runs\C01_representative__1auv_12h__boundary_alpha050,SUCCESS,0
C01_representative__1auv_12h__crossing_gamma025,C01_representative,C01_representative,2024-08-24,crossing_gamma025,crossing_gamma025,12.0,11.05,38.287,1146.9677008000435,SUCCESS,True,0.25,information_map = 0.5*STD_norm + 0.3*boundary_score_norm + 0.2*((1-0.25)*boundary_score_norm + 0.25*crossing_proxy),False,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_inputs\C01_representative__1auv_12h__crossing_gamma025_planner_interface.nc,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_runs\C01_representative__1auv_12h__crossing_gamma025,SUCCESS,0
C01_representative__1auv_12h__crossing_gamma050,C01_representative,C01_representative,2024-08-24,crossing_gamma050,crossing_gamma050,12.0,11.216666666666667,38.791,655.2905672999332,SUCCESS,True,0.5,information_map = 0.5*STD_norm + 0.3*boundary_score_norm + 0.2*((1-0.50)*boundary_score_norm + 0.50*crossing_proxy),False,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_inputs\C01_representative__1auv_12h__crossing_gamma050_planner_interface.nc,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_runs\C01_representative__1auv_12h__crossing_gamma050,SUCCESS,0
C01_representative__1auv_6h__baseline_STD_6h,C01_representative,C01_representative,2024-08-24,baseline_STD_6h,baseline_STD,6.0,5.583333333333333,19.415,646.8958129999228,SUCCESS,True,0.0,information_map = STD_norm,False,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_inputs\C01_representative__1auv_6h__baseline_STD_6h_planner_interface.nc,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_runs\C01_representative__1auv_6h__baseline_STD_6h,SUCCESS,0
C01_representative__1auv_6h__boundary_alpha050_6h,C01_representative,C01_representative,2024-08-24,boundary_alpha050_6h,boundary_alpha050,6.0,5.366666666666666,18.649,539.9872914999723,SUCCESS,True,0.0,information_map = 0.5*STD_norm + 0.5*boundary_score_norm,False,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_inputs\C01_representative__1auv_6h__boundary_alpha050_6h_planner_interface.nc,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_runs\C01_representative__1auv_6h__boundary_alpha050_6h,SUCCESS,0
C01_representative__1auv_6h__crossing_gamma050_6h,C01_representative,C01_representative,2024-08-24,crossing_gamma050_6h,crossing_gamma050,6.0,5.566666666666666,19.224,540.6969991999213,SUCCESS,True,0.5,information_map = 0.5*STD_norm + 0.3*boundary_score_norm + 0.2*((1-0.50)*boundary_score_norm + 0.50*crossing_proxy),False,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_inputs\C01_representative__1auv_6h__crossing_gamma050_6h_planner_interface.nc,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_runs\C01_representative__1auv_6h__crossing_gamma050_6h,SUCCESS,0
