run_id,case_id,strategy,run_kind,status,run_dir,input_nc
C06_representative__2auv_12h__multi_baseline_STD,C06_representative,multi_baseline_STD,native_2auv_shared_map,REUSED_STEP11D,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\C06_representative__2auv_12h__8ed98c3720,
C06_representative__2auv_12h__multi_boundary_alpha050,C06_representative,multi_boundary_alpha050,native_2auv_shared_map,REUSED_STEP11D,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\C06_representative__2auv_12h__147bcac175,
C06_representative__1auv_12h__candidate_region_A,C06_representative,candidate_region_A,1auv_candidate,REUSED_STEP11D,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\C06_representative__1auv_12h__3e6c32c843,
C06_representative__1auv_12h__candidate_region_B,C06_representative,candidate_region_B,1auv_candidate,REUSED_STEP11D,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\C06_representative__1auv_12h__72f3669739,
C06_representative__1auv_12h__candidate_region_A_with_crossing,C06_representative,candidate_region_A_with_crossing,1auv_candidate,REUSED_STEP11D,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\C06_representative__1auv_12h__92175415e3,
C06_representative__1auv_12h__candidate_region_B_with_crossing,C06_representative,candidate_region_B_with_crossing,1auv_candidate,FALLBACK_TO_region_B,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\C06_representative__1auv_12h__d5af02ac4e,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_inputs\C06_representative__1auv_12h__d5af02ac4e_planner_interface.nc
C06_representative__1auv_12h__candidate_region_B_sequential_penalized,C06_representative,candidate_region_B_sequential_penalized,1auv_candidate_sequential,REUSED_STEP11D,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\C06_representative__1auv_12h__004707b0eb,
C06_representative__2auv_12h__vehicle_specific_regime_maps,C06_representative,vehicle_specific_regime_maps,post_solver_proxy_pair,POST_SOLVER_PROXY,,
C06_representative__2auv_12h__vehicle_specific_with_crossing_proxy,C06_representative,vehicle_specific_with_crossing_proxy,post_solver_proxy_pair,POST_SOLVER_PROXY,,
C06_representative__2auv_12h__sequential_overlap_reduction,C06_representative,sequential_overlap_reduction,post_solver_proxy_pair,POST_SOLVER_PROXY,,
