run_id,strategy,case_id,fleet_collected_STD,fleet_collected_boundary,fleet_region_A_coverage,fleet_region_B_coverage,fleet_region_coverage,trajectory_overlap_ratio,duplicate_sampled_cells,inter_vehicle_min_distance,inter_vehicle_mean_distance,complementarity_score,fleet_total_area_covered,solver_status,solver_runtime
C01_representative__multi_auv_12h__baseline_STD,baseline_STD,C01_representative,187.14154052734375,219.0780487060547,0.044620811287477954,0.02356469580119966,0.06818550708867761,0.0,0,1.0,19.07207243052501,0.5340927535443388,308,SUCCESS,1127.303506199998
C01_representative__multi_auv_12h__prototype_vehicle_specific_maps,prototype_vehicle_specific_maps,C01_representative,145.27076721191406,144.86750030517578,0.028395061728395062,0.02442159383033419,0.05281665555872925,0.11009174311926606,24,0.0,4.020425609212,0.4713624562197316,218,SUCCESS,2946.0639395999897
C06_representative__multi_auv_12h__baseline_STD,baseline_STD,C06_representative,169.19347381591797,244.61536407470703,0.057958011842813566,0.0,0.057958011842813566,0.0,0,1.0,8.528279072098648,0.5289790059214068,323,SUCCESS,1373.136565599998
C06_representative__multi_auv_12h__prototype_vehicle_specific_maps,prototype_vehicle_specific_maps,C06_representative,127.68012619018555,162.4287109375,0.038758298941324244,0.03414232825997532,0.07290062720129956,0.0033444816053511705,1,0.0,27.311148173302534,0.5347780727979742,299,SUCCESS,2985.070809399971
October_control__multi_auv_12h__baseline_STD,baseline_STD,October_control,181.98470306396484,0.0,0.03935532233883059,0.0,0.03935532233883059,0.022222222222222223,7,0.0,12.582840696932426,0.5085665500583042,315,SUCCESS,1273.3629414000025
October_control__multi_auv_12h__prototype_vehicle_specific_maps,prototype_vehicle_specific_maps,October_control,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0.5,0,FAILED_OR_PARTIAL,11.854264699999476
