scope,case_id,strategy,old_source_output,old_crossing_count,new_crossing_count,delta_crossing_count,old_regions_visited,new_regions_visited,old_collected_STD,new_collected_STD,old_collected_boundary,new_collected_boundary,old_fleet_region_A_coverage,new_fleet_region_A_coverage,old_fleet_region_B_coverage,new_fleet_region_B_coverage,old_overlap,new_overlap,old_complementarity,new_complementarity
single_AUV,C01_representative,baseline_STD,fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322,0.0,2.0,2.0,1.0,2.0,97.4887466430664,90.6500473022461,125.01278686523438,107.18716430664062,,,,,,,,
single_AUV,C01_representative,prototype_boundary_alpha050,fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322,6.0,0.0,-6.0,2.0,1.0,96.48713684082033,74.78024291992188,139.68409729003906,104.01908111572266,,,,,,,,
single_AUV,C01_representative,prototype_crossing_gamma025,fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322,10.0,0.0,-10.0,2.0,1.0,94.11848449707033,76.11698913574219,142.18063354492188,114.20892333984375,,,,,,,,
single_AUV,C06_representative,baseline_STD,fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458,3.0,0.0,-3.0,2.0,1.0,84.7479248046875,84.7479248046875,120.92462158203124,120.92462158203125,,,,,,,,
single_AUV,C06_representative,prototype_boundary_alpha050,fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458,6.0,0.0,-6.0,2.0,1.0,71.7470703125,57.38108444213867,112.69155883789062,91.24017333984375,,,,,,,,
single_AUV,C06_representative,prototype_crossing_gamma025,fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458,3.0,0.0,-3.0,2.0,1.0,78.34056091308594,60.25867462158203,119.53223419189452,95.6002197265625,,,,,,,,
single_AUV,October_control,baseline_STD,fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458,6.0,0.0,-6.0,2.0,1.0,88.59339141845703,88.59339141845703,26.000843048095703,0.0,,,,,,,,
single_AUV,October_control,prototype_boundary_alpha050,fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458,8.0,0.0,-8.0,2.0,0.0,52.87086868286133,,108.47687530517578,,,,,,,,,
single_AUV,October_control,prototype_crossing_gamma025,fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458,0.0,0.0,0.0,1.0,0.0,53.383697509765625,,111.52294921875,,,,,,,,,
multi_AUV,C01_representative,baseline_STD,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,,,,,,,,,,0.0624044829342842,0.044620811287477954,0.0142226581657675,0.02356469580119966,0.0,0.0,0.5383135705500259,0.5340927535443388
multi_AUV,C01_representative,prototype_vehicle_specific_maps,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,,,,,,,,,,0.0466123280692817,0.028395061728395062,0.0308974987739087,0.02442159383033419,0.0161812297734627,0.11009174311926606,0.5306642985348639,0.4713624562197316
multi_AUV,C06_representative,baseline_STD,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,,,,,,,,,,0.0754245754245754,0.057958011842813566,0.0015,0.0,0.0,0.0,0.5384622877122878,0.5289790059214068
multi_AUV,C06_representative,prototype_vehicle_specific_maps,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,,,,,,,,,,0.0419580419580419,0.038758298941324244,0.03375,0.03414232825997532,0.0264026402640264,0.0033444816053511705,0.5246527008470078,0.5347780727979742
multi_AUV,October_control,baseline_STD,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,,,,,,,,,,0.0039980009995002,0.03935532233883059,0.0754622688655672,0.0,0.0188679245283018,0.022222222222222223,0.5302961726683828,0.5085665500583042
multi_AUV,October_control,prototype_vehicle_specific_maps,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,,,,,,,,,,0.0379810094952523,0.0,0.0407296351824088,0.0,0.0031746031746031,0.0,0.537768020751529,0.5
