run_id,case_id,display_case,date,run_name,mission_duration_requested_h,mission_duration,trajectory_length,solver_runtime,solver_status,gamma,formulation,descriptor_source,crossing_proxy_method,collected_STD,collected_boundary,crossing_count,regions_visited,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,difference_from_baseline
C01_representative__single_auv_12h__baseline_STD,C01_representative,C01 representative,2024-08-24,baseline_STD,12.0,11.0,38.053,1578.4713331999956,SUCCESS,0.0,information_map = STD_norm,Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,90.6500473022461,107.18716430664062,2,2,0.8888888888888888,0.1111111111111111,0.0,0.0
C01_representative__single_auv_12h__prototype_boundary_alpha050,C01_representative,C01 representative,2024-08-24,prototype_boundary_alpha050,12.0,8.933333333333334,31.056,1602.924844299996,SUCCESS,0.0,information_map = 0.5*STD_norm + 0.5*prototype_boundary_score_norm,Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,74.78024291992188,104.01908111572266,0,1,1.0,0.0,0.0,0.9855072463768116
C01_representative__single_auv_12h__prototype_crossing_gamma025,C01_representative,C01 representative,2024-08-24,prototype_crossing_gamma025,12.0,8.95,31.081,1508.7610649999988,SUCCESS,0.25,information_map = 0.5*STD_norm + 0.3*prototype_boundary + 0.2*((1-0.25)*prototype_boundary + 0.25*prototype_crossing_proxy),Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,76.11698913574219,114.20892333984375,0,1,1.0,0.0,0.03007518796992481,0.9637681159420289
C06_representative__single_auv_12h__baseline_STD,C06_representative,C06 representative,2023-12-22,baseline_STD,12.0,10.566666666666666,36.475,1693.510363399997,SUCCESS,0.0,information_map = STD_norm,Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,84.7479248046875,120.92462158203125,0,1,1.0,0.0,0.01875,0.0
C06_representative__single_auv_12h__prototype_boundary_alpha050,C06_representative,C06 representative,2023-12-22,prototype_boundary_alpha050,12.0,8.783333333333333,30.849,1154.1762285000004,SUCCESS,0.0,information_map = 0.5*STD_norm + 0.5*prototype_boundary_score_norm,Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,57.38108444213867,91.24017333984375,0,1,1.0,0.0,0.24369747899159663,0.9351145038167938
C06_representative__single_auv_12h__prototype_crossing_gamma025,C06_representative,C06 representative,2023-12-22,prototype_crossing_gamma025,12.0,8.433333333333334,29.147,1017.4973318999982,SUCCESS,0.25,information_map = 0.5*STD_norm + 0.3*prototype_boundary + 0.2*((1-0.25)*prototype_boundary + 0.25*prototype_crossing_proxy),Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,60.25867462158203,95.6002197265625,0,1,1.0,0.0,0.17073170731707318,0.8725099601593626
October_control__single_auv_12h__baseline_STD,October_control,October reference,2024-10-30,baseline_STD,12.0,10.85,37.587,1755.3768771000032,SUCCESS,0.0,information_map = STD_norm,Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,88.59339141845703,0.0,0,1,1.0,0.0,1.0,0.0
October_control__single_auv_12h__prototype_boundary_alpha050,October_control,October reference,2024-10-30,prototype_boundary_alpha050,12.0,,,9.585439300019061,FAILED,0.0,information_map = 0.5*STD_norm + 0.5*prototype_boundary_score_norm,Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,,,0,0,,,,
October_control__single_auv_12h__prototype_crossing_gamma025,October_control,October reference,2024-10-30,prototype_crossing_gamma025,12.0,,,6.205257699999493,FAILED,0.25,information_map = 0.5*STD_norm + 0.3*prototype_boundary + 0.2*((1-0.25)*prototype_boundary + 0.25*prototype_crossing_proxy),Step11Y prototype_based arrays from Step08 predicted-class descriptors,near-boundary two-side band proxy,,,0,0,,,,
