image_idx_0_based,image_z_1_based,png_path,old_class_no_scaler,new_class_with_scaler_raw,new_class_with_scaler_mapped_to_no,changed
97,98,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z098.png,1,1,1,False
98,99,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z099.png,1,1,1,False
99,100,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z100.png,1,1,1,False
100,101,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z101.png,1,1,1,False
101,102,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z102.png,2,2,2,False
102,103,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z103.png,2,2,2,False
103,104,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z104.png,2,2,2,False
114,115,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z115.png,1,1,1,False
115,116,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z116.png,1,1,1,False
116,117,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z117.png,1,1,1,False
117,118,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z118.png,1,1,1,False
119,120,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z120.png,1,1,1,False
120,121,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z121.png,1,1,1,False
121,122,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z122.png,1,1,1,False
124,125,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z125.png,2,2,2,False
125,126,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z126.png,2,2,2,False
128,129,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z129.png,5,4,5,False
129,130,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z130.png,5,4,5,False
130,131,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z131.png,5,4,5,False
131,132,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z132.png,2,2,2,False
132,133,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z133.png,2,2,2,False
133,134,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z134.png,2,2,2,False
134,135,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z135.png,2,2,2,False
142,143,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z143.png,2,2,2,False
146,147,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z147.png,2,2,2,False
147,148,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z148.png,2,2,2,False
152,153,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z153.png,5,4,5,False
153,154,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z154.png,5,4,5,False
154,155,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z155.png,5,4,5,False
155,156,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z156.png,5,4,5,False
156,157,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z157.png,5,4,5,False
157,158,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z158.png,5,4,5,False
158,159,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z159.png,5,4,5,False
159,160,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z160.png,3,5,3,False
160,161,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z161.png,3,5,3,False
161,162,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z162.png,5,4,5,False
163,164,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z164.png,2,2,2,False
167,168,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z168.png,5,4,5,False
168,169,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z169.png,5,4,5,False
169,170,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z170.png,5,4,5,False
170,171,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z171.png,5,4,5,False
171,172,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z172.png,2,2,2,False
172,173,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z173.png,2,2,2,False
173,174,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z174.png,2,2,2,False
174,175,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z175.png,4,3,4,False
175,176,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z176.png,4,3,4,False
176,177,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z177.png,4,3,4,False
177,178,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z178.png,5,4,5,False
178,179,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z179.png,5,4,5,False
179,180,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z180.png,5,4,5,False
180,181,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z181.png,5,4,5,False
182,183,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z183.png,5,4,5,False
183,184,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z184.png,4,2,2,True
184,185,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z185.png,4,2,2,True
185,186,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z186.png,4,2,2,True
186,187,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z187.png,4,3,4,False
187,188,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z188.png,4,3,4,False
188,189,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z189.png,4,2,2,True
189,190,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z190.png,3,5,3,False
190,191,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z191.png,3,5,3,False
191,192,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z192.png,3,5,3,False
192,193,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z193.png,3,5,3,False
193,194,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z194.png,3,5,3,False
194,195,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z195.png,3,5,3,False
196,197,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z197.png,3,5,3,False
197,198,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z198.png,3,5,3,False
198,199,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z199.png,3,5,3,False
199,200,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z200.png,3,5,3,False
200,201,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z201.png,3,5,3,False
201,202,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z202.png,3,5,3,False
202,203,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z203.png,3,3,4,True
203,204,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z204.png,3,3,4,True
204,205,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z205.png,3,5,3,False
206,207,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z207.png,5,4,5,False
207,208,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z208.png,5,4,5,False
208,209,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z209.png,3,5,3,False
211,212,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z212.png,3,5,3,False
212,213,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z213.png,3,5,3,False
213,214,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z214.png,3,5,3,False
214,215,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z215.png,4,3,4,False
215,216,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z216.png,4,3,4,False
216,217,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z217.png,4,3,4,False
217,218,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z218.png,4,3,4,False
218,219,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z219.png,4,3,4,False
219,220,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z220.png,4,3,4,False
220,221,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z221.png,3,3,4,True
221,222,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z222.png,3,3,4,True
222,223,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z223.png,3,5,3,False
223,224,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z224.png,3,5,3,False
224,225,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z225.png,3,5,3,False
225,226,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z226.png,3,5,3,False
226,227,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z227.png,3,5,3,False
227,228,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z228.png,3,3,4,True
228,229,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z229.png,4,3,4,False
229,230,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z230.png,4,3,4,False
230,231,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z231.png,4,3,4,False
231,232,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z232.png,4,3,4,False
232,233,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z233.png,4,2,2,True
233,234,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z234.png,4,2,2,True
234,235,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z235.png,4,2,2,True
235,236,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z236.png,5,4,5,False
236,237,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z237.png,5,4,5,False
237,238,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z238.png,5,2,2,True
238,239,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z239.png,5,4,5,False
239,240,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z240.png,5,4,5,False
240,241,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z241.png,5,4,5,False
241,242,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z242.png,5,4,5,False
242,243,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z243.png,5,4,5,False
243,244,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z244.png,5,4,5,False
244,245,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z245.png,5,4,5,False
245,246,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z246.png,2,2,2,False
246,247,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z247.png,2,2,2,False
248,249,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z249.png,2,2,2,False
255,256,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z256.png,2,2,2,False
256,257,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z257.png,2,2,2,False
257,258,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z258.png,2,2,2,False
260,261,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z261.png,5,4,5,False
261,262,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z262.png,5,4,5,False
262,263,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z263.png,3,5,3,False
263,264,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z264.png,3,5,3,False
264,265,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z265.png,3,5,3,False
265,266,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z266.png,3,5,3,False
266,267,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z267.png,3,5,3,False
