class_no_scaler,class_with_scaler,n_no_scaler,n_with_scaler,overlap_count,jaccard,prototype_mean_abs_diff,prototype_max_abs_diff,spread_mean_abs_diff,spread_max_abs_diff
1,1,50,50,44,0.7857142857142857,0.040032196789979935,0.06686580181121826,0.0377502404153347,0.08025650680065155
2,2,50,50,42,0.7241379310344828,0.1250937432050705,0.19880691170692444,0.10350852459669113,0.270525187253952
3,5,50,50,45,0.8181818181818182,0.10258858650922775,0.1906183958053589,0.03579677268862724,0.09526804089546204
4,3,22,20,15,0.5555555555555556,0.12972111999988556,0.2766110301017761,0.08313575387001038,0.20567987859249115
5,4,37,37,36,0.9473684210526315,0.031188132241368294,0.04413905739784241,0.01548126433044672,0.040617167949676514
