Index,case_id,date,predicted_class,mission_duration_requested_h,descriptor,alpha,run_name,physical_run_id,deduplicated_baseline,prototype_based_maps,TEMPpred_used_as_objective,information_map_formula,solver_status,solver_runtime,solver_gap,solver_returncode,run_dir,total_script_runtime,trajectory_length,mission_duration,number_of_valid_cells_sampled,collected_STD,collected_descriptor,collected_information_score,percentage_path_in_top10_STD,percentage_path_in_top10_descriptor,trajectory_overlap_ratio_with_baseline,path_difference_from_baseline,regions_visited,crossing_count,fraction_path_region_A,fraction_path_region_B,baseline_STD,baseline_runtime,STD_retention,regime_balance,runtime_score,recommendation_score
58,C06_representative,2023-12-22,6,12.0,interest_map,0.75,interest_map_alpha075,C06_representative__single_auv_12h__interest_map_alpha075,False,True,False,(1-0.75)*STD_norm + 0.75*interest_map,SUCCESS,172.27027510000335,,0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260529_175726\planner_runs\C06_representative__single_auv_12h__intere__6a6be58366,14157.921726600005,36.14,10.35,165,82.37942504882812,59.10220718383789,70.95843505859375,0.15151515151515152,0.1393939393939394,0.06578947368421052,0.9342105263157895,1,0,0.4727272689342499,0.0,85.01887512207031,332.8594240000093,0.9689545401600238,0.0,0.005771330364789043,0.6798428010398556
52,C06_representative,2023-12-22,6,12.0,representative_zone,0.5,representative_zone_alpha050,C06_representative__single_auv_12h__representative_zone_alpha050,False,True,False,(1-0.50)*STD_norm + 0.50*representative_zone,SUCCESS,259.73162210000737,,0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260529_175726\planner_runs\C06_representative__single_auv_12h__repres__d80c86a99e,14157.892626800007,39.412,11.3,162,66.06440734863281,131.423828125,108.82490539550781,0.04938271604938271,0.4506172839506173,0.035483870967741936,0.964516129032258,0,0,0.0,0.0,85.01887512207031,332.8594240000093,0.7770557685428956,0.0,0.0038353614032149716,0.6055388917669883
62,C06_representative,2023-12-22,6,24.0,boundary_score,0.5,boundary_score_alpha050,C06_representative__single_auv_24h__boundary_score_alpha050,False,True,False,(1-0.50)*STD_norm + 0.50*boundary_score,SUCCESS,278.1904833000008,,0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260529_175726\planner_runs\C06_representative__single_auv_24h__bounda__6aa68db614,14157.941141699994,75.182,21.783333333333335,310,174.56707763671875,243.32945251464844,223.94644165039062,0.3096774193548387,0.38387096774193546,0.14606741573033707,0.8539325842696629,1,0,0.27419355511665344,0.0,169.27395629882812,358.9462293999968,1.0312695553032765,0.0,0.0035817839783796,0.6830996610853894
73,C06_representative,2023-12-22,6,24.0,interest_map,0.75,interest_map_alpha075,C06_representative__single_auv_24h__interest_map_alpha075,False,True,False,(1-0.75)*STD_norm + 0.75*interest_map,SUCCESS,203.8153294000076,,0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260529_175726\planner_runs\C06_representative__single_auv_24h__intere__4a22a0a755,14157.9941578,75.491,21.816666666666666,305,167.2742919921875,109.15286254882812,135.38864135742188,0.28524590163934427,0.3016393442622951,0.10564663023679417,0.8943533697632058,1,0,0.37049180269241333,0.0,169.27395629882812,358.9462293999968,0.9881868165052484,0.0,0.004882447045977618,0.6708652220333137
67,C06_representative,2023-12-22,6,24.0,representative_zone,0.5,representative_zone_alpha050,C06_representative__single_auv_24h__representative_zone_alpha050,False,True,False,(1-0.50)*STD_norm + 0.50*representative_zone,SUCCESS,305.4611045999918,,0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260529_175726\planner_runs\C06_representative__single_auv_24h__repres__9b417b8e6f,14157.965316600006,76.793,22.2,324,140.3585205078125,253.62301635742188,216.91668701171875,0.09876543209876543,0.4074074074074074,0.03642384105960265,0.9635761589403974,0,0,0.0,0.0,169.27395629882812,358.9462293999968,0.8291796539571055,0.0,0.0032630568283869153,0.6267213826507853
76,C06_representative,2023-12-22,6,48.0,boundary_score,0.25,boundary_score_alpha025,C06_representative__single_auv_48h__boundary_score_alpha025,False,True,False,(1-0.25)*STD_norm + 0.25*boundary_score,SUCCESS,352.00911719999567,,0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260529_175726\planner_runs\C06_representative__single_auv_48h__bounda__6ede766825,14158.009610499998,151.964,43.96666666666667,617,342.06219482421875,465.02691650390625,376.27838134765625,0.293354943273906,0.2252836304700162,0.17545541706615533,0.8245445829338447,1,0,0.4602917432785034,0.0,334.7425842285156,367.7019273000042,1.0218663861144905,0.0,0.00283278802522671,0.6770248254842629
88,C06_representative,2023-12-22,6,48.0,interest_map,0.75,interest_map_alpha075,C06_representative__single_auv_48h__interest_map_alpha075,False,True,False,(1-0.75)*STD_norm + 0.75*interest_map,SUCCESS,350.90713429999596,,0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260529_175726\planner_runs\C06_representative__single_auv_48h__intere__8cf0b09487,14158.100205099996,152.444,44.05,627,337.1956787109375,218.3414764404297,271.19635009765625,0.2679425837320574,0.2583732057416268,0.13602941176470587,0.8639705882352942,1,0,0.41786283254623413,0.0,334.7425842285156,367.7019273000042,1.0073283012021776,0.0,0.0028416587858872844,0.6824446595346451
82,C06_representative,2023-12-22,6,48.0,representative_zone,0.5,representative_zone_alpha050,C06_representative__single_auv_48h__representative_zone_alpha050,False,True,False,(1-0.50)*STD_norm + 0.50*representative_zone,SUCCESS,510.7821815000061,,0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260529_175726\planner_runs\C06_representative__single_auv_48h__repres__b0c64cc04e,14158.059015399995,152.329,44.06666666666667,627,277.17218017578125,435.86859130859375,383.3836975097656,0.1339712918660287,0.2567783094098884,0.08231173380035026,0.9176882661996497,1,0,0.0,0.009569377638399601,334.7425842285156,367.7019273000042,0.8280158941073559,0.0,0.0019539562652788217,0.6174042957269882
91,October_control,2024-10-30,2,12.0,boundary_score,0.25,boundary_score_alpha025,October_control__single_auv_12h__boundary_score_alpha025,False,True,False,(1-0.25)*STD_norm + 0.25*boundary_score,SUCCESS,292.9799272999953,,0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260529_175726\planner_runs\October_control__single_auv_12h__boundary__df75c95a06,14158.139597400004,37.024,10.633333333333333,153,89.29461669921875,23.99143409729004,69.80351257324219,0.26143790849673204,0.0,0.18518518518518517,0.8148148148148149,1,0,0.0,0.7254902124404907,95.92245483398438,253.25095729999884,0.930904206463058,0.0,0.0034015927862297143,0.4875413078097517
101,October_control,2024-10-30,2,12.0,interest_map,0.25,interest_map_alpha025,October_control__single_auv_12h__interest_map_alpha025,False,True,False,(1-0.25)*STD_norm + 0.25*interest_map,SUCCESS,285.4167189,,0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260529_175726\planner_runs\October_control__single_auv_12h__interest__28dfee9d42,14158.183518200007,36.933,10.633333333333333,163,90.96549987792969,12.315450668334961,83.13761901855469,0.24539877300613497,0.0,0.034482758620689655,0.9655172413793104,1,0,0.0,0.5950919985771179,95.92245483398438,253.25095729999884,0.9483233100671389,0.0,0.0034914162966483172,0.5235800693991763
97,October_control,2024-10-30,2,12.0,representative_zone,0.5,representative_zone_alpha050,October_control__single_auv_12h__representative_zone_alpha050,False,True,False,(1-0.50)*STD_norm + 0.50*representative_zone,SUCCESS,208.4736355000059,,0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260529_175726\planner_runs\October_control__single_auv_12h__represent__35d79d00dd,14158.167451000001,38.621,11.15,156,83.34883117675781,123.81829833984375,122.92574310302734,0.1858974358974359,0.4807692307692308,0.028662420382165606,0.9713375796178344,1,0,0.0,0.2371794879436493,95.92245483398438,253.25095729999884,0.8689188711966549,0.0,0.004773870456838335,0.6342232783968486
106,October_control,2024-10-30,2,24.0,boundary_score,0.25,boundary_score_alpha025,October_control__single_auv_24h__boundary_score_alpha025,False,True,False,(1-0.25)*STD_norm + 0.25*boundary_score,SUCCESS,313.43130699999165,,0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260529_175726\planner_runs\October_control__single_auv_24h__boundary__b2dcc87a7c,14158.207273299995,75.308,21.666666666666668,312,179.4517822265625,62.275230407714844,144.71212768554688,0.27884615384615385,0.0,0.11702127659574468,0.8829787234042553,1,0,0.0,0.5961538553237915,185.92510986328125,263.1204294999916,0.9651831447539342,0.0,0.003180344888494283,0.5194278095552117
116,October_control,2024-10-30,2,24.0,interest_map,0.25,interest_map_alpha025,October_control__single_auv_24h__interest_map_alpha025,False,True,False,(1-0.25)*STD_norm + 0.25*interest_map,SUCCESS,281.90607779999846,,0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260529_175726\planner_runs\October_control__single_auv_24h__interest__7202b7c943,14158.263095799994,75.777,21.85,326,190.50711059570312,23.890342712402344,175.60244750976562,0.3282208588957055,0.0,0.09897610921501707,0.9010238907849829,1,0,0.0,0.8067484498023987,185.92510986328125,263.1204294999916,1.024644335215352,0.0,0.0035347420167726263,0.5391835895265418
112,October_control,2024-10-30,2,24.0,representative_zone,0.5,representative_zone_alpha050,October_control__single_auv_24h__representative_zone_alpha050,False,True,False,(1-0.50)*STD_norm + 0.50*representative_zone,SUCCESS,227.14637980000407,,0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260529_175726\planner_runs\October_control__single_auv_24h__represent__678d0a611a,14158.2429481,77.065,22.366666666666667,316,161.79312133789062,254.38644409179688,246.87899780273438,0.13291139240506328,0.44936708860759494,0.06375838926174497,0.9362416107382551,1,0,0.0,0.08860759437084198,185.92510986328125,263.1204294999916,0.8702058665280019,0.0,0.004383150856378314,0.6421481441414568
121,October_control,2024-10-30,2,48.0,boundary_score,0.25,boundary_score_alpha025,October_control__single_auv_48h__boundary_score_alpha025,False,True,False,(1-0.25)*STD_norm + 0.25*boundary_score,SUCCESS,297.5014605000033,,0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260529_175726\planner_runs\October_control__single_auv_48h__boundary__76c00db54a,14158.459403300003,152.22,44.0,630,347.5450134277344,170.27117919921875,292.2484130859375,0.2365079365079365,0.0,0.15992647058823528,0.8400735294117647,2,2,0.05079365149140358,0.5571428537368774,366.07757568359375,280.2860117999953,0.9493753141769128,0.10158730298280716,0.0033500673608931604,0.5528339356702833
131,October_control,2024-10-30,2,48.0,interest_map,0.25,interest_map_alpha025,October_control__single_auv_48h__interest_map_alpha025,False,True,False,(1-0.25)*STD_norm + 0.25*interest_map,SUCCESS,298.5630642000033,,0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260529_175726\planner_runs\October_control__single_auv_48h__interest__af4a8e7e9e,14158.546184899998,154.319,44.56666666666667,636,367.7621154785156,43.281532287597656,336.97503662109375,0.28459119496855345,0.0,0.16010978956999086,0.8398902104300091,1,0,0.0,0.7358490824699402,366.07757568359375,280.2860117999953,1.0046015924132372,0.0,0.0033381952567167962,0.5273368601780075
127,October_control,2024-10-30,2,48.0,representative_zone,0.5,representative_zone_alpha050,October_control__single_auv_48h__representative_zone_alpha050,False,True,False,(1-0.50)*STD_norm + 0.50*representative_zone,SUCCESS,211.0906360000081,,0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260529_175726\planner_runs\October_control__single_auv_48h__represent__fb96e20fe2,14158.510758899996,152.21,44.06666666666667,625,327.20916748046875,453.80096435546875,462.4715576171875,0.1536,0.264,0.06796941376380629,0.9320305862361937,1,0,0.0,0.29760000109672546,366.07757568359375,280.2860117999953,0.8938246678165298,0.0,0.004714965350945347,0.6493510696405586
