mission_duration_requested_h,descriptor,alpha,mean_solver_runtime,max_solver_runtime,runs
12.0,boundary_score,0.0,302.23129843333544,332.8594240000093,3
12.0,boundary_score,0.25,289.95887076666986,292.9799272999953,3
12.0,boundary_score,0.5,257.8073351666632,309.62397559999954,3
12.0,boundary_score,0.75,169.68391050000113,181.88043879999896,3
12.0,boundary_score,1.0,103.41720400000243,104.67608859999746,3
12.0,interest_map,0.0,302.23129843333544,332.8594240000093,3
12.0,interest_map,0.25,287.20826163333066,312.89979499999026,3
12.0,interest_map,0.5,293.5154685333352,323.25589509999554,3
12.0,interest_map,0.75,184.89421263333256,197.335522399997,3
12.0,interest_map,1.0,89.2822361333286,91.49352789999102,3
12.0,representative_zone,0.0,302.23129843333544,332.8594240000093,3
12.0,representative_zone,0.25,277.6714576999996,307.85078039999644,3
12.0,representative_zone,0.5,239.64302810000177,259.73162210000737,3
12.0,representative_zone,0.75,155.41962483333677,161.87397499999497,3
12.0,representative_zone,1.0,118.42286859999876,125.7084390000091,3
24.0,boundary_score,0.0,317.8069211666637,358.9462293999968,3
24.0,boundary_score,0.25,304.58928653332504,319.67101379999076,3
24.0,boundary_score,0.5,277.5241784666675,344.63020929999766,3
24.0,boundary_score,0.75,186.15963483333084,202.68058689999452,3
24.0,boundary_score,1.0,123.45393460000439,133.37485830001242,3
24.0,interest_map,0.0,317.8069211666637,358.9462293999968,3
24.0,interest_map,0.25,306.0516796333298,349.13150119999773,3
24.0,interest_map,0.5,303.8825984666716,349.7826478000061,3
24.0,interest_map,0.75,205.2001241666682,215.02874160000647,3
24.0,interest_map,1.0,101.72179989999859,103.14849059999688,3
24.0,representative_zone,0.0,317.8069211666637,358.9462293999968,3
24.0,representative_zone,0.25,294.59837783333205,335.39115409999795,3
24.0,representative_zone,0.5,263.7000399999961,305.4611045999918,3
24.0,representative_zone,0.75,175.94423436666452,184.6222274999891,3
24.0,representative_zone,1.0,129.76597453333184,135.37853309999628,3
48.0,boundary_score,0.0,346.1856996333324,390.5691597999976,3
48.0,boundary_score,0.25,312.822397333337,352.00911719999567,3
48.0,boundary_score,0.5,360.8091524333334,501.1676832999947,3
48.0,boundary_score,0.75,217.07469453333275,287.32401490000484,3
48.0,boundary_score,1.0,156.03576903333305,203.71718099999998,3
48.0,interest_map,0.0,346.1856996333324,390.5691597999976,3
48.0,interest_map,0.25,347.5511720666691,418.85246900000493,3
48.0,interest_map,0.5,407.1923193333302,579.5499320999952,3
48.0,interest_map,0.75,261.2298045000013,350.90713429999596,3
48.0,interest_map,1.0,131.8949643333326,170.5667334000027,3
48.0,representative_zone,0.0,346.1856996333324,390.5691597999976,3
48.0,representative_zone,0.25,357.6517544333328,491.6522595999995,3
48.0,representative_zone,0.5,328.08141303334077,510.7821815000061,3
48.0,representative_zone,0.75,243.7462388999993,348.2546408999915,3
48.0,representative_zone,1.0,178.79012713333455,223.72572590000345,3
