descriptor,alpha,mean_STD,mean_descriptor,mean_difference,mean_regime_balance,mean_runtime,mean_score
boundary_score,0.0,208.42368910047742,197.46407572428384,0.0,0.012101209825939603,322.07463974444386,0.48603571194268874
boundary_score,0.25,203.9672156439887,218.82960870530871,0.8578126194844593,0.01749072555038664,302.45685154444396,0.6189504463801828
boundary_score,0.5,168.32505374484592,282.58968522813586,0.9221330363809391,0.0,298.7135553555547,0.6162545269695944
boundary_score,0.75,156.519351111518,286.2088394165039,0.9399210661809233,0.0,190.97274662222156,0.5970349928857066
boundary_score,1.0,150.7190661960178,281.55403391520184,0.9598343399574899,0.0,127.63563587777996,0.5917110666859855
interest_map,0.0,208.42368910047742,88.1359068552653,0.0,0.012101209825939603,322.07463974444386,0.48197468705876595
interest_map,0.25,209.29556613498264,92.21753840976291,0.8468955488595933,0.006359300679630703,313.60370444444317,0.6092762381355324
interest_map,0.5,204.379030863444,95.97279824150934,0.8444058817582698,0.012903225918610891,334.8634621111123,0.6080747990720264
interest_map,0.75,157.7181315951877,127.09805679321289,0.9445824615282429,0.0,217.10804710000068,0.6028639918163099
interest_map,1.0,142.29116990831164,126.70543034871419,0.9711329251725517,0.0,107.63300012221993,0.5833939439132246
representative_zone,0.0,208.42368910047742,199.92232089572482,0.0,0.012101209825939603,322.07463974444386,0.48936829407960125
representative_zone,0.25,200.52274492051868,235.73579576280383,0.8824862132422103,0.0043572986291514505,309.9738633222215,0.6300031624584083
representative_zone,0.5,184.40315755208334,276.6501871744792,0.9405625905304164,0.0,277.14149371111284,0.6390208176279459
representative_zone,0.75,170.97667100694446,286.1466640896267,0.9611070887822755,0.0,191.7033660333335,0.6264874016693495
representative_zone,1.0,165.4758097330729,286.3024139404297,0.9694660220416706,0.0,142.32632342222172,0.6184397878913597
