route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,77.838,98.11719
1,1,39.5753,-9.298139,112.82455,77.838,98.11719
1,2,39.564743,-9.303485,110.81001,77.838,98.11719
1,3,39.54364,-9.306158,100.8377,77.838,98.11719
1,4,39.535725,-9.316852,99.41543,77.838,98.11719
1,5,39.533085,-9.338238,105.595375,77.838,98.11719
1,6,39.55155,-9.322198,110.74477,77.838,98.11719
1,7,39.562107,-9.322198,118.601494,77.838,98.11719
1,8,39.604317,-9.308832,201.1149,77.838,98.11719
1,9,39.65708,-9.292792,285.97046,77.838,98.11719
1,10,39.667633,-9.287446,267.97223,77.838,98.11719
1,11,39.67819,-9.287446,220.52269,77.838,98.11719
1,12,39.683464,-9.298139,180.40012,77.838,98.11719
1,13,39.694016,-9.295465,145.71823,77.838,98.11719
1,14,39.68874,-9.284773,175.97603,77.838,98.11719
1,15,39.709846,-9.282099,138.96138,77.838,98.11719
1,16,39.715122,-9.292792,132.87534,77.838,98.11719
1,17,39.720398,-9.279426,128.36008,77.838,98.11719
1,18,39.720398,-9.263387,129.39427,77.838,98.11719
1,19,39.715122,-9.252693,142.41353,77.838,98.11719
1,20,39.709846,-9.263387,148.1696,77.838,98.11719
1,21,39.68874,-9.263387,205.94087,77.838,98.11719
1,22,39.683464,-9.274079,218.10994,77.838,98.11719
1,23,39.67819,-9.260714,274.54083,77.838,98.11719
1,24,39.664997,-9.260714,348.57452,77.838,98.11719
1,25,39.670273,-9.271406,297.21573,77.838,98.11719
1,26,39.649166,-9.282099,317.0527,77.838,98.11719
1,27,39.62806,-9.287446,277.80438,77.838,98.11719
1,28,39.58585,-9.295465,123.24043,77.838,98.11719
1,29,39.577934,-9.279426,107.41668,77.838,98.11719
1,30,39.58849,-9.271406,114.00075,77.838,98.11719
1,31,39.64125,-9.26606,306.48956,77.838,98.11719
1,32,39.651806,-9.268733,319.19476,77.838,98.11719
1,33,39.651806,-9.255366,320.05737,77.838,98.11719
1,34,39.64125,-9.252693,281.8221,77.838,98.11719
1,35,39.58849,-9.258039,106.742355,77.838,98.11719
1,36,39.577934,-9.255366,98.20537,77.838,98.11719
1,37,39.562107,-9.271406,98.32447,77.838,98.11719
1,38,39.55683,-9.284773,101.427284,77.838,98.11719
1,39,39.567383,-9.287446,106.25201,77.838,98.11719
1,40,39.571243,-9.291356,110.0299,77.838,98.11719
