source_tempres_z,source_date_inferred,target_family,target_file,target_variable,target_day_index,target_date_inferred,target_is_apriori_or_assimilated,domain_tested,rmse,mae,bias,max_abs_error,pearson,spearman,normalized_rmse,gradient_corr,contour_score,ssim,n_valid,rank,notes,is_temperature_validation,score
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,0,2024-10-30,apriori_main,full_overlap,1.090999609305295,1.001411412071381,1.001411412071381,1.6633695939771727,-0.4964949317464131,-0.5584188097639238,1.378394958059277,0.12794062245510773,0.2101304707665104,0.16496120482811277,8102,139,Temperature validation target.,True,-1.705854343194881
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,0,2024-10-30,apriori_main,operational_roi,1.1088221389728996,1.016213290107798,1.016213290107798,1.6169989878740587,-0.5558204848854919,-0.5947038512773841,1.400912367620341,0.18081497542998087,0.2019655925191511,0.14772679518050036,5915,145,Temperature validation target.,True,-1.765342568531267
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,0,2024-10-30,apriori_main,candb_roi,1.090999609305295,1.001411412071381,1.001411412071381,1.6633695939771727,-0.4964949317464131,-0.5584188097639238,1.378394958059277,0.12794062245510773,0.2101304707665104,0.16496120482811277,8102,140,Temperature validation target.,True,-1.705854343194881
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,0,2024-10-30,apriori_main,user_direct_roi,1.1363629899254846,1.0675390156413784,1.0675390156413784,1.6633695939771727,-0.6796041397106048,-0.708465915221059,1.8112256772771391,0.16978309614699788,0.18820123054650742,0.031107800792468995,3922,155,Temperature validation target.,True,-2.3118376536409913
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,0,2024-10-30,apriori_main,full_overlap,0.7087736916915864,0.6328674753653064,0.6328674753653064,1.1795888751499817,0.01737845263232038,-0.03799581285940047,0.8954816066843863,0.1861677954669989,0.3052416782686836,0.30405584078945064,8102,65,Temperature validation target.,True,-0.6323984171842246
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,0,2024-10-30,apriori_main,operational_roi,0.7370799053812493,0.6678994411534364,0.6678994411534364,1.130633487167028,0.09292692819128498,0.07465678008504974,0.9312443529757661,0.16246759922735943,0.3437068793217868,0.2828287665603835,5915,62,Temperature validation target.,True,-0.585230185509908
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,0,2024-10-30,apriori_main,candb_roi,0.7087736916915864,0.6328674753653064,0.6328674753653064,1.1795888751499817,0.01737845263232038,-0.03799581285940047,0.8954816066843863,0.1861677954669989,0.3052416782686836,0.30405584078945064,8102,66,Temperature validation target.,True,-0.6323984171842246
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,0,2024-10-30,apriori_main,user_direct_roi,0.7238916452370746,0.6536101685919721,0.6536101685919721,1.1795888751499817,-0.21384641581422895,-0.29675452218646264,1.153796055524264,0.2555474920769883,0.24336817935331054,0.1846406380266645,3922,107,Temperature validation target.,True,-1.1181846356233434
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,0,2024-10-30,apriori_main,full_overlap,0.4561046197287811,0.4077225729261596,0.4077225729261596,0.7665353936506989,0.5762305316923972,0.518242414343611,0.5762534677551552,0.08682272339329723,0.4711001493614564,0.534831865103469,8102,13,Temperature validation target.,True,0.27893850031461886
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,0,2024-10-30,apriori_main,operational_roi,0.484597503101438,0.444954494070692,0.444954494070692,0.7665353936506989,0.657644666370311,0.5991926888725929,0.6122520569814608,0.034789775626472445,0.5041318488832757,0.49932346702451946,5915,3,Temperature validation target.,True,0.3148534216437243
