run_id,strategy,case_id,mission_duration_requested_h,role_assignment,w_STD,w_region,w_boundary,solver_status,solver_runtime,fleet_collected_STD,fleet_collected_boundary,fleet_region_A_coverage,fleet_region_B_coverage,region_balance,regime_specialization_score,inter_vehicle_mean_distance,inter_vehicle_min_distance,trajectory_overlap_ratio,duplicate_sampled_cells,fleet_total_area_covered,complementarity_score,baseline_fleet_STD,baseline_runtime,STD_retention,STD_loss_relative_to_baseline,region_B_coverage_gain,runtime_score,recommendation_score
C01_representative__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,C01_representative,12.0,shared_STD,1.0,0.0,0.0,REUSED,307.0359218120575,186.4933624267578,231.39166259765625,0.0,0.014995715509854327,0.0,0.0,15.916228450241032,1.0,0.0,0,310,0.255248500428449,186.4933624267578,307.0359218120575,1.0,0.0,0.0,0.0032463746244833476,0.4039112476086878
C01_representative__proxy_12h__vehicle_specific_9010,vehicle_specific_9010,C01_representative,12.0,AUV1=region_A;AUV2=region_B,0.9,0.1,0.0,SUCCESS,587.0604588985443,185.9956817626953,190.94000244140625,0.0,0.026563838903170524,0.0,0.19127516448497772,5.000264779823846,0.0,0.07801418439716312,22,282,0.2876125886380633,186.4933624267578,307.0359218120575,0.9973313759932987,0.0026686240067013145,0.011568123393316197,0.0017005054240052653,0.4363790122522618
C01_representative__proxy_12h__vehicle_specific_8020,vehicle_specific_8020,C01_representative,12.0,AUV1=region_A;AUV2=region_B,0.8,0.2,0.0,SUCCESS,530.4339420795441,182.17102813720703,164.86322021484375,0.0,0.04198800342759212,0.0,0.23999999463558197,1.7948654904431616,0.0,0.21285140562248997,53,249,0.27148294845293025,186.4933624267578,307.0359218120575,0.9768231199582328,0.02317688004176721,0.026992287917737792,0.0018817014135132561,0.4303528802799109
C01_representative__proxy_12h__vehicle_specific_7030,vehicle_specific_7030,C01_representative,12.0,AUV1=region_A;AUV2=region_B,0.7,0.3,0.0,SUCCESS,522.5989933013916,167.97958374023438,202.74256134033203,0.03117505995203837,0.037275064267352186,0.9108839555095241,0.4539784938097,25.076676839839894,0.0,0.020066889632107024,6,299,0.5190680378476136,186.4933624267578,307.0359218120575,0.9007268760367039,0.09927312396329613,0.02227934875749786,0.0019098585230174128,0.5595097271536817
C01_representative__proxy_12h__vehicle_specific_6040,vehicle_specific_6040,C01_representative,12.0,AUV1=region_A;AUV2=region_B,0.6,0.4,0.0,SUCCESS,544.9662654399872,151.71084594726562,210.65310668945312,0.05935251798561151,0.03898886032562125,0.7929288971775141,0.612633228302002,30.80819789930446,0.0,0.003236245954692557,1,309,0.5557080625723859,186.4933624267578,307.0359218120575,0.8134919332952,0.18650806670480002,0.023993144815766927,0.001831614997666775,0.5553822866025312
C01_representative__proxy_12h__vehicle_specific_5050,vehicle_specific_5050,C01_representative,12.0,AUV1=region_A;AUV2=region_B,0.5,0.5,0.0,SUCCESS,483.0207884311676,153.5636978149414,210.80970764160156,0.05815347721822542,0.04027420736932305,0.8183512095827136,0.5968749821186066,29.234495463930216,0.0,0.003134796238244514,1,319,0.5556374175131396,186.4933624267578,307.0359218120575,0.8234271494528446,0.17657285054715544,0.025278491859468726,0.002066026963927004,0.5580966357845487
C01_representative__proxy_12h__vehicle_specific_2575,vehicle_specific_2575,C01_representative,12.0,AUV1=region_A;AUV2=region_B,0.25,0.75,0.0,SUCCESS,271.9236674308777,140.87936401367188,195.56221771240234,0.05935251798561151,0.03641816623821765,0.7605284755636375,0.6298381388187408,29.717081998339275,0.0,0.003436426116838488,1,291,0.5541994389883614,186.4933624267578,307.0359218120575,0.7554122151076552,0.24458778489234478,0.021422450728363324,0.0036640281490181357,0.5375882402077299
C06_representative__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,C06_representative,12.0,shared_STD,1.0,0.0,0.0,REUSED,326.3576309680939,161.41756439208984,230.79408264160156,0.051559516231699555,0.0,0.0,0.21739129722118378,10.628886005094492,1.0,0.0,0,314,0.3223936549863908,161.41756439208984,326.3576309680939,1.0,0.0,0.0,0.003054763064611332,0.4436309975974674
C01_representative__proxy_12h__vehicle_specific_00100,vehicle_specific_00100,C01_representative,12.0,AUV1=region_A;AUV2=region_B,0.0,1.0,0.0,SUCCESS,140.23792934417725,136.78722381591797,222.67076873779297,0.048561151079136694,0.032562125107112254,0.8027813135247069,0.5067441165447235,31.281156287383936,0.0,0.003236245954692557,1,309,0.5246873113414009,186.4933624267578,307.0359218120575,0.7334696636704102,0.2665303363295898,0.01756640959725793,0.007080251067424946,0.5098387729972185
C06_representative__proxy_12h__vehicle_specific_9010,vehicle_specific_9010,C06_representative,12.0,AUV1=region_A;AUV2=region_B,0.9,0.1,0.0,SUCCESS,637.7242057323456,172.8098373413086,242.65631103515625,0.04328453214513049,0.0,0.0,0.20061728358268738,3.9207935080711396,0.0,0.23076923076923078,60,260,0.2576115994541598,161.41756439208984,326.3576309680939,1.07057641460595,-0.07057641460594999,0.0,0.0015656209534965478,0.4382977390690742
