run_id,command,returncode,runtime_s,runtime_source,status,error,input_nc,solver_status,solver_runtime_s,solver_gap,run_dir
C01_representative__multi_auv_12h__baseline_shared_STD,REUSED_EXISTING,0,307.0359218120575,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__mult__430c103dd1.nc,REUSED,307.0359218120575,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__mult__430c103dd1
C01_representative__proxy_12h__vehicle_specific_9010__AUV1_region_A,REUSED_EXISTING,0,301.4890103340149,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__87334ae7c3.nc,REUSED,301.4890103340149,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__87334ae7c3
C01_representative__proxy_12h__vehicle_specific_9010__AUV2_region_B,REUSED_EXISTING,0,285.5714485645294,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__b3de5654b7.nc,REUSED,285.5714485645294,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__b3de5654b7
C01_representative__proxy_12h__vehicle_specific_8020__AUV1_region_A,REUSED_EXISTING,0,280.6241319179535,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__a4b445f480.nc,REUSED,280.6241319179535,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__a4b445f480
C01_representative__proxy_12h__vehicle_specific_8020__AUV2_region_B,REUSED_EXISTING,0,249.80981016159058,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__b888de420e.nc,REUSED,249.80981016159058,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__b888de420e
C01_representative__proxy_12h__vehicle_specific_7030__AUV1_region_A,REUSED_EXISTING,0,273.3740084171295,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__2483d0cef7.nc,REUSED,273.3740084171295,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__2483d0cef7
C01_representative__proxy_12h__vehicle_specific_7030__AUV2_region_B,REUSED_EXISTING,0,249.22498488426208,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__2b9c085288.nc,REUSED,249.22498488426208,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__2b9c085288
C01_representative__proxy_12h__vehicle_specific_6040__AUV1_region_A,REUSED_EXISTING,0,284.67998123168945,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__b57532c714.nc,REUSED,284.67998123168945,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__b57532c714
C01_representative__proxy_12h__vehicle_specific_6040__AUV2_region_B,REUSED_EXISTING,0,260.28628420829773,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__25f6c76a85.nc,REUSED,260.28628420829773,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__25f6c76a85
C01_representative__proxy_12h__vehicle_specific_5050__AUV1_region_A,REUSED_EXISTING,0,243.2515082359314,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__8826010f51.nc,REUSED,243.2515082359314,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__8826010f51
